"Strategy","Units","Contacts_Small","Contacts_Large"
"Size=5,D=0.005",17,130.154160008571,199.934422738457
"Size=2,D=0.005",887,4259.59577690758,4799.43172686233
"Growth, size=5,W=6mo,D=0.1",2,3.12614121844723,3.12614121844723
"Random allocation",30,95.8555691274702,95.8555691274702
"RITA",3755,12307.8214058769,12307.8214058769
"Network, partners>4",5620,28509.8676440671,28509.8676440671
