"pia","puta","contacts_small","contacts_large","strategy"
0,0,10,10,"RITA+Secondary,W=6mo"
0,336.671960338841,3,3,"RITA+Secondary,W=6mo"
0,506.145431143995,11,8,"RITA+Secondary,W=6mo"
2,5280.4250236044,19,18,"RITA+Secondary,W=6mo"
2,3484.29748115231,22,11,"RITA+Secondary,W=6mo"
0,1542.25384633078,82,47,"RITA+Secondary,W=6mo"
2,2047.61887440122,22,10,"RITA+Secondary,W=6mo"
0,1629.53995982047,13,10,"RITA+Secondary,W=6mo"
0,544.947880448988,15,15,"RITA+Secondary,W=6mo"
1,5289.6255990053,27,19,"RITA+Secondary,W=6mo"
0,1283.17303414773,17,13,"RITA+Secondary,W=6mo"
2,2571.99430003373,5,5,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,255.419139486693,9,9,"RITA+Secondary,W=6mo"
2,2683.49751515282,10,8,"RITA+Secondary,W=6mo"
0,622.467636898532,19,11,"RITA+Secondary,W=6mo"
0,1235.95930739721,4,4,"RITA+Secondary,W=6mo"
0,1856.27923648532,21,11,"RITA+Secondary,W=6mo"
0,1008.17753345867,12,10,"RITA+Secondary,W=6mo"
0,2491.75313848202,2,2,"RITA+Secondary,W=6mo"
0,703.455460047878,5,5,"RITA+Secondary,W=6mo"
3,4456.55053355946,24,9,"RITA+Secondary,W=6mo"
0,2458.33299374163,22,20,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
2,3188.07919941979,9,5,"RITA+Secondary,W=6mo"
0,319.164046468341,6,6,"RITA+Secondary,W=6mo"
1,1256.20352228078,23,16,"RITA+Secondary,W=6mo"
0,2338.65991058316,12,11,"RITA+Secondary,W=6mo"
0,2498.95095879973,20,20,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,888.681092075813,17,13,"RITA+Secondary,W=6mo"
0,2014.58262201623,19,19,"RITA+Secondary,W=6mo"
0,378.951856120888,12,12,"RITA+Secondary,W=6mo"
0,1138.91305878037,0,0,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,1041.39992459531,4,4,"RITA+Secondary,W=6mo"
1,654.856514725124,13,13,"RITA+Secondary,W=6mo"
0,360.833974948675,3,3,"RITA+Secondary,W=6mo"
0,1168.72641639397,4,4,"RITA+Secondary,W=6mo"
1,2672.2272724767,33,16,"RITA+Secondary,W=6mo"
2,4669.12248813303,126,102,"RITA+Secondary,W=6mo"
3,6575.93412951159,33,18,"RITA+Secondary,W=6mo"
0,2241.44561299132,6,6,"RITA+Secondary,W=6mo"
0,670.657749739427,16,16,"RITA+Secondary,W=6mo"
0,1930.63515712445,9,9,"RITA+Secondary,W=6mo"
0,297.557477381046,8,6,"RITA+Secondary,W=6mo"
1,249.621891495332,37,28,"RITA+Secondary,W=6mo"
2,4059.04002432514,45,29,"RITA+Secondary,W=6mo"
0,3740.65169084637,71,42,"RITA+Secondary,W=6mo"
1,2198.41636882945,28,20,"RITA+Secondary,W=6mo"
0,2654.83209337087,24,24,"RITA+Secondary,W=6mo"
1,1211.33023234728,34,22,"RITA+Secondary,W=6mo"
0,436.224887365247,14,9,"RITA+Secondary,W=6mo"
0,3628.34910976076,30,30,"RITA+Secondary,W=6mo"
1,4719.9471080883,24,18,"RITA+Secondary,W=6mo"
0,688.278336797934,3,3,"RITA+Secondary,W=6mo"
0,914.308035799273,2,2,"RITA+Secondary,W=6mo"
0,2830.3257940171,57,33,"RITA+Secondary,W=6mo"
0,770.934172647429,4,4,"RITA+Secondary,W=6mo"
0,3569.52229627672,2,2,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,1999.72006047068,10,10,"RITA+Secondary,W=6mo"
0,355.630296581676,8,8,"RITA+Secondary,W=6mo"
0,970.108030441785,17,15,"RITA+Secondary,W=6mo"
0,1184.11943409164,7,7,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,420.33544849048,6,5,"RITA+Secondary,W=6mo"
0,664.964303722621,1,1,"RITA+Secondary,W=6mo"
0,1796.30971994857,6,6,"RITA+Secondary,W=6mo"
3,3713.73390196576,13,9,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,792.55504241499,16,16,"RITA+Secondary,W=6mo"
0,727.331896756607,5,5,"RITA+Secondary,W=6mo"
0,247.805240847789,2,2,"RITA+Secondary,W=6mo"
5,3172.13258086153,14,9,"RITA+Secondary,W=6mo"
2,3411.24798767228,16,9,"RITA+Secondary,W=6mo"
2,3958.05068387331,18,10,"RITA+Secondary,W=6mo"
2,556.604280274134,20,13,"RITA+Secondary,W=6mo"
0,4758.73685942835,20,11,"RITA+Secondary,W=6mo"
2,729.922581470615,17,14,"RITA+Secondary,W=6mo"
1,487.054060215497,6,6,"RITA+Secondary,W=6mo"
2,2373.13543439417,29,12,"RITA+Secondary,W=6mo"
1,3405.81288684594,33,33,"RITA+Secondary,W=6mo"
0,260.870209175663,11,11,"RITA+Secondary,W=6mo"
1,2263.64101938191,1,1,"RITA+Secondary,W=6mo"
0,2327.32212446025,19,16,"RITA+Secondary,W=6mo"
0,263.731098762049,4,4,"RITA+Secondary,W=6mo"
0,0,15,15,"RITA+Secondary,W=6mo"
0,4020.18861387639,31,30,"RITA+Secondary,W=6mo"
1,2456.42524132783,5,5,"RITA+Secondary,W=6mo"
6,5545.32083882864,133,93,"RITA+Secondary,W=6mo"
1,2846.76321701436,12,8,"RITA+Secondary,W=6mo"
1,3441.56651872013,16,8,"RITA+Secondary,W=6mo"
1,911.137230649267,30,18,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
1,4375.83479074968,14,10,"RITA+Secondary,W=6mo"
0,2902.93669864796,10,5,"RITA+Secondary,W=6mo"
1,0,18,18,"RITA+Secondary,W=6mo"
0,810.633959566315,12,12,"RITA+Secondary,W=6mo"
0,2211.12653861234,25,17,"RITA+Secondary,W=6mo"
0,116.976879617908,6,6,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,123.036873418366,6,6,"RITA+Secondary,W=6mo"
0,0,9,9,"RITA+Secondary,W=6mo"
2,873.539129569274,15,15,"RITA+Secondary,W=6mo"
3,5037.39401897628,58,26,"RITA+Secondary,W=6mo"
1,3051.70584211001,44,23,"RITA+Secondary,W=6mo"
0,867.871199783459,3,3,"RITA+Secondary,W=6mo"
0,0,4,4,"RITA+Secondary,W=6mo"
1,5740.02844733473,15,11,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
1,617.964606852687,22,13,"RITA+Secondary,W=6mo"
0,3289.08011524034,5,5,"RITA+Secondary,W=6mo"
0,690.647157567666,8,8,"RITA+Secondary,W=6mo"
2,1031.81930408888,14,13,"RITA+Secondary,W=6mo"
3,3471.98631529979,34,18,"RITA+Secondary,W=6mo"
1,766.115361747011,6,5,"RITA+Secondary,W=6mo"
0,385.799492967203,5,5,"RITA+Secondary,W=6mo"
0,274.045933621897,3,3,"RITA+Secondary,W=6mo"
3,4359.32594145663,22,17,"RITA+Secondary,W=6mo"
0,707.506350255886,3,2,"RITA+Secondary,W=6mo"
2,4659.0272132683,51,34,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,1462.83007079004,3,3,"RITA+Secondary,W=6mo"
0,0,21,21,"RITA+Secondary,W=6mo"
3,4539.0862162392,36,24,"RITA+Secondary,W=6mo"
1,2161.28113664186,49,24,"RITA+Secondary,W=6mo"
2,2811.08791322486,44,23,"RITA+Secondary,W=6mo"
0,0,12,12,"RITA+Secondary,W=6mo"
0,4281.60466625161,8,8,"RITA+Secondary,W=6mo"
1,842.692783585277,15,11,"RITA+Secondary,W=6mo"
2,3767.33198740548,20,11,"RITA+Secondary,W=6mo"
0,1920.96798970439,76,69,"RITA+Secondary,W=6mo"
1,2335.80916940424,10,10,"RITA+Secondary,W=6mo"
3,165.294510892994,2,2,"RITA+Secondary,W=6mo"
0,0,4,4,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,117.731844407186,10,10,"RITA+Secondary,W=6mo"
0,62.4001061930012,17,12,"RITA+Secondary,W=6mo"
4,2873.39326868353,15,14,"RITA+Secondary,W=6mo"
0,1805.76753515351,3,3,"RITA+Secondary,W=6mo"
0,1628.41075759806,1,1,"RITA+Secondary,W=6mo"
0,2775.22801609297,83,44,"RITA+Secondary,W=6mo"
4,3388.32098597708,28,18,"RITA+Secondary,W=6mo"
