"pia","puta","contacts","strategy"
1,440.080064216258,10,"Random"
0,0,7,"Random"
0,3414.32474270719,21,"Random"
0,1539.54645783422,18,"Random"
0,134.031444822856,11,"Random"
0,0,11,"Random"
0,608.752723248543,6,"Random"
0,0,3,"Random"
0,655.106639842949,10,"Random"
0,229.103679128242,18,"Random"
0,0,22,"Random"
0,0,7,"Random"
0,564.301840777229,17,"Random"
0,103.199237424863,10,"Random"
0,0,1,"Random"
0,1152.15268757537,9,"Random"
0,639.093004243473,1,"Random"
0,91.8114214588775,2,"Random"
0,737.935184859947,6,"Random"
0,0,20,"Random"
0,1189.13137527539,1,"Random"
0,3206.90320619439,3,"Random"
0,1249.92794921582,59,"Random"
0,0,15,"Random"
0,2993.79621202429,4,"Random"
0,66.7482586256788,5,"Random"
1,683.540598075925,5,"Random"
0,891.411185735737,6,"Random"
0,0,1,"Random"
1,541.555135535866,5,"Random"
1,2051.97735435637,47,"Random"
0,125.256162242244,7,"Random"
0,2551.43296325074,15,"Random"
0,0,7,"Random"
0,1233.54392497103,3,"Random"
0,570.477005746202,11,"Random"
0,0,32,"Random"
0,965.738516037403,9,"Random"
0,0,18,"Random"
0,913.837579779084,15,"Random"
0,2914.52499251937,17,"Random"
0,0,6,"Random"
0,103.073232395495,32,"Random"
0,1851.15660772651,15,"Random"
0,0,14,"Random"
0,0,8,"Random"
0,0,14,"Random"
0,1703.15690573243,11,"Random"
0,0,6,"Random"
0,0,15,"Random"
0,2410.90240860271,2,"Random"
0,0,11,"Random"
0,1682.04053447273,8,"Random"
0,0,8,"Random"
0,1834.97599401449,1,"Random"
0,2718.91813660743,9,"Random"
0,0,12,"Random"
0,728.954342319135,17,"Random"
0,908.935758655546,2,"Random"
0,503.332976312003,5,"Random"
0,0,30,"Random"
0,4932.44314463761,75,"Random"
0,2152.64054086238,27,"Random"
0,1065.46711124129,6,"Random"
0,4101.63791309952,2,"Random"
0,717.924721138448,5,"Random"
0,43.1802537576395,4,"Random"
0,313.524163273137,1,"Random"
0,0,12,"Random"
0,1700.3341534734,11,"Random"
0,629.711150447464,24,"Random"
0,1566.66925960588,5,"Random"
0,595.573975036868,1,"Random"
0,916.964106532421,26,"Random"
0,912.00329420809,9,"Random"
0,578.034821544499,18,"Random"
0,0,26,"Random"
0,205.024872056046,11,"Random"
0,142.142464193448,10,"Random"
0,0,9,"Random"
0,129.261124770225,1,"Random"
0,2166.50528436389,5,"Random"
0,2363.22939209261,12,"Random"
0,0,3,"Random"
0,710.178857295202,35,"Random"
0,730.586175833673,5,"Random"
0,227.394758496834,9,"Random"
0,2220.34340507071,10,"Random"
0,0,1,"Random"
0,115.132801911557,9,"Random"
0,1813.98706714223,1,"Random"
0,0,6,"Random"
0,0,13,"Random"
0,484.451910278868,17,"Random"
0,2010.9277088641,10,"Random"
0,251.708871148536,3,"Random"
0,1110.23282637425,28,"Random"
0,69.6154197077658,11,"Random"
0,0,10,"Random"
0,679.705229705864,8,"Random"
0,1263.54045305709,1,"Random"
0,1173.09437056593,2,"Random"
0,0,3,"Random"
0,68.9257498128609,7,"Random"
0,0,14,"Random"
0,3290.86013882425,1,"Random"
0,831.659395309099,17,"Random"
0,465.96214822749,5,"Random"
0,807.887410968609,14,"Random"
0,0,4,"Random"
0,2885.35396295793,1,"Random"
0,1279.66784661314,14,"Random"
0,760.287601340313,20,"Random"
0,0,7,"Random"
0,333.600282165577,1,"Random"
0,723.950920657171,7,"Random"
1,503.159779812372,10,"Random"
0,2722.01737803382,8,"Random"
0,1360.91835962266,28,"Random"
0,1648.28751891091,6,"Random"
0,241.696422793523,3,"Random"
0,4584.14180527564,13,"Random"
0,0,5,"Random"
0,323.422811049374,9,"Random"
0,0,27,"Random"
0,67.0197781852637,6,"Random"
0,1718.91330801325,1,"Random"
2,2322.14033874609,29,"Random"
0,1270.08819215787,16,"Random"
0,0,1,"Random"
0,588.963597125962,10,"Random"
1,751.358982213135,7,"Random"
0,0,9,"Random"
0,972.613378357635,1,"Random"
0,527.474720586692,17,"Random"
0,0,4,"Random"
0,0,13,"Random"
0,0,1,"Random"
0,0,1,"Random"
0,0,20,"Random"
0,2841.01397812608,61,"Random"
0,0,4,"Random"
1,1053.46436523802,14,"Random"
0,0,2,"Random"
0,1397.56785762616,33,"Random"
0,287.498574373082,8,"Random"
0,0,8,"Random"
0,2231.52950039259,1,"Random"
0,1398.03093529591,20,"Random"
0,0,15,"Random"
0,98.7675788102251,3,"Random"
0,0,9,"Random"
0,0,8,"Random"
0,0,1,"Random"
0,406.045354734911,6,"Random"
0,0,5,"Random"
0,2678.89006044028,30,"Random"
0,471.658119113819,1,"Random"
0,0,5,"Random"
0,0,3,"Random"
0,0,11,"Random"
0,0,7,"Random"
0,3871.89942955882,1,"Random"
0,0,1,"Random"
0,179.82733622184,9,"Random"
0,175.720233273029,13,"Random"
0,0,3,"Random"
0,0,9,"Random"
0,0,4,"Random"
0,0,7,"Random"
0,0,6,"Random"
0,1527.74736963649,2,"Random"
0,0,29,"Random"
0,0,10,"Random"
0,3118.89570340807,8,"Random"
0,516.615362036444,7,"Random"
0,21.9297950619953,6,"Random"
0,0,4,"Random"
0,1407.97439265402,3,"Random"
0,106.821208911088,5,"Random"
0,0,3,"Random"
0,857.688438546812,3,"Random"
0,0,20,"Random"
0,128.785570966782,6,"Random"
1,0,20,"Random"
0,1884.4592265556,27,"Random"
0,434.37604905728,1,"Random"
0,464.069140426069,6,"Random"
0,0,8,"Random"
0,759.35085446156,10,"Random"
0,0,38,"Random"
0,867.171009752821,14,"Random"
0,0,22,"Random"
0,0,21,"Random"
0,0,6,"Random"
0,0,4,"Random"
0,0,4,"Random"
0,3095.13792339005,6,"Random"
0,0,1,"Random"
0,0,1,"Random"
0,2084.75810631401,6,"Random"
0,0,2,"Random"
0,545.018208600931,15,"Random"
0,0,9,"Random"
0,0,5,"Random"
0,0,3,"Random"
0,1123.59454347047,10,"Random"
0,1003.63893573153,9,"Random"
0,1798.36635786101,36,"Random"
0,2175.01142631238,16,"Random"
0,2804.72627416783,17,"Random"
0,4117.67989672443,3,"Random"
0,14.4630026893369,1,"Random"
0,0,15,"Random"
0,79.716118093012,11,"Random"
0,0,17,"Random"
0,286.802170629551,21,"Random"
0,1005.22732076703,10,"Random"
0,1250.8544948081,8,"Random"
0,0,7,"Random"
0,0,31,"Random"
0,694.249347678936,7,"Random"
0,0,14,"Random"
0,589.514301350477,4,"Random"
0,1032.74918038142,5,"Random"
0,0,1,"Random"
0,175.044928178256,55,"Random"
0,0,5,"Random"
0,0,15,"Random"
0,1110.90239411274,6,"Random"
0,610.044207814869,3,"Random"
0,2768.64262333149,1,"Random"
0,76.3706459158329,5,"Random"
0,0,6,"Random"
0,597.562471264262,13,"Random"
0,0,12,"Random"
0,196.331090446687,3,"Random"
0,0,10,"Random"
0,0,9,"Random"
0,1027.00199926404,11,"Random"
0,1216.98567011857,13,"Random"
0,1037.79992555003,13,"Random"
0,833.47786998842,8,"Random"
0,151.485382370737,12,"Random"
0,0,12,"Random"
0,589.6587162005,1,"Random"
0,800.571902016668,9,"Random"
0,462.698940745394,11,"Random"
0,271.744978475756,14,"Random"
0,0,14,"Random"
0,5673.09796562767,5,"Random"
0,489.936961160377,3,"Random"
0,148.373419304353,5,"Random"
0,0,1,"Random"
0,0,20,"Random"
0,942.198295883018,4,"Random"
0,0,14,"Random"
0,0,25,"Random"
0,3558.48750643009,15,"Random"
0,914.862947533948,8,"Random"
0,0,2,"Random"
0,403.375996094152,19,"Random"
0,0,14,"Random"
0,2703.09475214666,19,"Random"
0,410.705395261613,10,"Random"
1,0,10,"Random"
0,0,3,"Random"
0,0,10,"Random"
1,0,4,"Random"
0,208.30869701567,9,"Random"
0,2784.93363190663,6,"Random"
0,0,1,"Random"
0,0,4,"Random"
0,0,12,"Random"
0,348.264095294955,1,"Random"
0,0,1,"Random"
0,116.310212579383,15,"Random"
0,0,1,"Random"
0,204.746381862998,54,"Random"
0,299.56556907243,9,"Random"
0,1719.73130854644,11,"Random"
0,306.001361952116,5,"Random"
0,0,16,"Random"
0,193.229028793367,11,"Random"
0,0,23,"Random"
0,330.468456708223,6,"Random"
0,0,8,"Random"
0,556.104523450713,36,"Random"
0,0,5,"Random"
0,2036.6994468867,7,"Random"
0,0,1,"Random"
0,243.112049584477,16,"Random"
0,277.620276421481,29,"Random"
0,0,7,"Random"
0,0,27,"Random"
0,104.958004784255,16,"Random"
0,671.946226923325,3,"Random"
0,849.53121945515,4,"Random"
0,1728.15436875536,24,"Random"
0,196.064077476574,9,"Random"
0,3308.30845439381,10,"Random"
0,1518.33564721525,2,"Random"
0,0,15,"Random"
0,682.835645618486,8,"Random"
0,2196.59420143009,12,"Random"
0,756.745120450373,1,"Random"
0,0,13,"Random"
0,0,3,"Random"
0,320.85216267239,10,"Random"
0,0,23,"Random"
0,185.005018002088,1,"Random"
2,706.914702175788,26,"Random"
0,0,7,"Random"
0,1033.35720186027,6,"Random"
0,0,49,"Random"
0,2082.42967654467,9,"Random"
0,2876.72416611331,9,"Random"
0,2797.14250722831,6,"Random"
0,2200.0250269835,52,"Random"
1,2770.68711896231,21,"Random"
0,546.34595389714,24,"Random"
0,324.806112344375,1,"Random"
0,748.673768737163,1,"Random"
0,102.501918482378,15,"Random"
0,1784.69604601288,7,"Random"
0,4162.83218073547,7,"Random"
0,1522.26355147686,17,"Random"
0,0,2,"Random"
0,0,11,"Random"
0,325.66452104482,6,"Random"
0,3485.83567204032,27,"Random"
0,0,10,"Random"
0,581.625404645195,4,"Random"
0,865.401489806896,6,"Random"
0,0,36,"Random"
