"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"5231",1,508.936920741354,1334.04072181537,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"5254",0,461.574785767863,2890.54382472981,2,41,39,41,41,"Growth,size=2,W=6mo,D=0.01"
"5265",0,153.936563050468,3464.75047220108,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"5270",0,888.467249098848,4908.68428929494,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"5279",1,1123.73787384285,451.683189242939,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"5307",0,509.677758009032,1799.91679695525,2,9,7,9,9,"Growth,size=2,W=6mo,D=0.01"
"5313",0,709.16017509426,2430.80079685701,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"5337",0,0,797.004688543965,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"5363",0,1410.10122608887,4867.88655313017,2,115,113,115,115,"Growth,size=2,W=6mo,D=0.01"
"5364",0,1347.71705633257,1563.5017848406,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"5369",0,1553.4561838801,2652.50126401837,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"5387",0,1321.22686690677,748.35028808854,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"5406",0,0,2342.34013514186,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"5426",0,126.014450203301,4117.16216597188,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"5430",0,659.069716994237,2306.51323297964,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"5443",0,2042.51497873313,1692.88814118321,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"5453",0,0,2991.83915543086,2,12,11,13,12,"Growth,size=2,W=6mo,D=0.01"
"5466",0,1184.62970008079,1603.09644701653,3,35,29,32,34,"Growth,size=2,W=6mo,D=0.01"
"5470",0,1987.18198867924,757.904690919282,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"5478",0,128.083287203565,919.809478800853,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"5481",0,2019.40636862108,914.25179948322,2,15,14,16,15,"Growth,size=2,W=6mo,D=0.01"
"5489",0,651.883347059118,1918.44067614466,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"5491",0,5727.0682421055,1330.49734340478,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"5494",0,1528.52577729938,2989.02353519698,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"5498",0,1229.31422054053,1469.49631039702,2,2,0,2,2,"Growth,size=2,W=6mo,D=0.01"
"5527",0,471.039993601244,2087.70633909602,2,10,9,11,10,"Growth,size=2,W=6mo,D=0.01"
"5542",0,1655.77787300559,1915.39773476604,2,110,108,110,110,"Growth,size=2,W=6mo,D=0.01"
"5544",0,2747.36079450174,2496.14164670452,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"5553",0,1271.88669546414,1595.60184003256,2,60,58,60,60,"Growth,size=2,W=6mo,D=0.01"
"5556",0,0,6134.25956167267,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"5565",0,0,2276.29798061164,2,41,39,41,41,"Growth,size=2,W=6mo,D=0.01"
"5572",0,2051.12909326802,1218.79708595927,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"5574",1,1059.45359432527,263.766128605478,2,3,2,4,3,"Growth,size=2,W=6mo,D=0.01"
"5583",0,256.459557104243,4623.63620935227,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"5584",0,2078.68818530186,2008.60595046748,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"5591",0,420.594531316506,537.312301251978,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"5594",1,973.475168225152,1889.21975236571,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"5598",0,720.206512488914,918.442578707247,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"5600",0,4048.34945091608,1798.03071260755,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"5610",0,1152.03314456632,2189.64192767273,2,32,30,32,32,"Growth,size=2,W=6mo,D=0.01"
"5611",0,215.596943726394,4442.39812077306,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"5619",0,0,2089.06902083303,2,5,3,5,5,"Growth,size=2,W=6mo,D=0.01"
"5621",0,1387.88461349124,1574.30882053758,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"5628",0,345.579523490775,1519.66270887768,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"5634",0,6459.10989063982,1069.1647053063,3,16,10,13,15,"Growth,size=2,W=6mo,D=0.01"
"5645",0,1530.77315193388,403.206592606321,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"5648",1,1165.42681822948,2357.89487533563,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"5672",0,0,4158.23896876735,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"5686",0,794.188423997224,1546.8742082509,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"5690",0,0,1854.08163972876,2,44,42,44,44,"Growth,size=2,W=6mo,D=0.01"
"5706",0,794.202593437262,1637.71358566147,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"5710",0,1466.43246303449,2598.67767271048,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"5715",0,259.910433083574,2345.3567310087,2,33,31,33,33,"Growth,size=2,W=6mo,D=0.01"
"5724",0,5160.95533355991,661.95928792299,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"5737",0,2307.15816984928,880.201390003207,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"5753",0,7703.38160658488,2743.1125754269,3,31,25,28,30,"Growth,size=2,W=6mo,D=0.01"
"5760",0,1514.68218703209,1697.59841046958,2,6,4,6,6,"Growth,size=2,W=6mo,D=0.01"
"5776",0,595.084493796968,2295.13864020007,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"5780",0,801.084855822213,2538.41236191669,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"5785",0,689.409946246087,2829.0356932407,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"5786",0,0,696.711530537474,2,47,45,47,47,"Growth,size=2,W=6mo,D=0.01"
"5797",0,157.249425363007,3032.17794105492,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"5815",0,0,3304.52101216381,2,60,58,60,60,"Growth,size=2,W=6mo,D=0.01"
"5817",0,1073.32094033617,2181.02738883758,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"5835",0,3923.91941660788,881.202255731963,3,42,36,39,41,"Growth,size=2,W=6mo,D=0.01"
"5849",0,1108.89408492693,2517.66090147389,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"5864",0,39.0886468526777,915.510749083589,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"5870",0,713.7586350381,4052.1226425648,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"5871",0,1878.10801420265,1800.8390518134,2,8,7,9,8,"Growth,size=2,W=6mo,D=0.01"
"5872",0,0,3642.02061233023,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"5874",0,1406.12745888851,4295.78864329874,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"5879",0,1993.15824476068,3024.262967054,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"5887",0,863.323353161435,1163.48144448008,2,2,1,3,2,"Growth,size=2,W=6mo,D=0.01"
"5894",1,299.620044783889,921.68142047545,2,9,8,10,9,"Growth,size=2,W=6mo,D=0.01"
"5900",0,2151.42409369264,1230.2015282148,2,41,39,41,41,"Growth,size=2,W=6mo,D=0.01"
