"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median","Low","High","PIA","PIA_Low","PIA_High"
"Size=5,D=0.005","small",2114.26931780803,756935.233092604,358.01268396467,254.050854642478,0,832.817539589224,0.0862068965517241,0,0
"Size=5,D=0.005","large",4194.61517997013,756935.233092604,180.454034664985,143.275076302187,0,419.24859618396,0.0862068965517241,0,0
"Size=2,D=0.005","small",11193.5560224952,2864447.19056582,255.901447655174,185.67092307734,0,658.679647091371,0.0665071770334928,0,0
"Size=2,D=0.005","large",11437.5820099334,2864447.19056582,250.44167447963,183.774202412199,0,647.227204506503,0.0665071770334928,0,0
"Growth,size=5,W=6mo,D=0.01","small",237.007151737091,89664.8214060161,378.321163512738,316.46973602917,139.342883854517,779.395980428391,0.3,0,1
"Growth,size=5,W=6mo,D=0.01","large",413.516968028933,89664.8214060161,216.834684761333,190.46756389474,79.5633539899859,449.733075491103,0.3,0,1
"Random allocation","-",94.8235347020174,27578.0188202279,290.83516984356,154.230417680766,0,589.280704042792,0,0,0
"RITA","-",12257.8771034261,3865723.56995501,315.366481270606,225.24355569021,0,863.510196958495,0.0556887823074873,0,1
"Network,partners>4","-",28509.8676440671,6311034.80554591,221.363174474759,125.549600372867,0,595.969094367831,0.049644128113879,0,0.199998934138852
