"pia","ida","contacts","simid","strategy"
0,3437.40291305406,6,5020,"Random"
0,2830.33037731969,7,3060,"Random"
0,886.773505348718,6,952,"Random"
0,1471.94808112704,2,5770,"Random"
0,1592.92143736534,10,5273,"Random"
0,1020.61508933541,6,1865,"Random"
0,0,10,2695,"Random"
0,760.832722990138,4,2965,"Random"
0,0,13,5249,"Random"
0,0,4,8010,"Random"
1,192.094475652073,5,8336,"Random"
0,1801.89574766373,1,4732,"Random"
0,0,1,1128,"Random"
0,470.140298415181,18,5519,"Random"
0,0,13,6849,"Random"
0,480.12604975325,42,5627,"Random"
0,2243.06571773571,2,2750,"Random"
0,0,8,2420,"Random"
0,1334.96050023682,17,1242,"Random"
1,162.812764538785,7,9661,"Random"
0,1736.89418771607,9,84,"Random"
0,544.061943715358,7,6994,"Random"
0,391.68590353264,13,1061,"Random"
0,2984.79373172996,10,9262,"Random"
0,2841.01397812608,61,8907,"Random"
0,0,6,693,"Random"
0,0,1,4061,"Random"
0,0,47,7898,"Random"
0,0,26,9792,"Random"
0,775.807260248933,11,9028,"Random"
0,0,10,3286,"Random"
1,0,45,673,"Random"
0,0,7,5791,"Random"
0,205.676156406927,10,8902,"Random"
0,0,5,5058,"Random"
0,452.484924386544,3,5025,"Random"
0,3223.79551026887,19,1711,"Random"
0,286.127334375783,12,3456,"Random"
0,64.8459601399099,17,4943,"Random"
0,0,8,7073,"Random"
0,0,4,5341,"Random"
0,647.381693422015,15,6118,"Random"
0,3214.00680143893,14,5542,"Random"
0,2294.63215218779,10,5005,"Random"
1,1508.21575504436,4,3096,"Random"
0,188.427459715514,35,23,"Random"
0,0,6,355,"Random"
0,0,12,2489,"Random"
0,682.935237678798,24,4514,"Random"
0,938.066273769804,1,4193,"Random"
0,2191.36052608458,5,6505,"Random"
0,0,9,2682,"Random"
0,170.426186843335,15,6325,"Random"
0,149.603900550178,2,1116,"Random"
0,1843.59608954705,25,7052,"Random"
0,1358.02353333644,28,8235,"Random"
0,178.149674990223,17,9583,"Random"
0,1801.35643949757,1,1113,"Random"
0,542.846122073351,7,3444,"Random"
0,0,1,1540,"Random"
0,3570.30934500948,4,6782,"Random"
0,1524.51322204275,11,5978,"Random"
1,1901.54966033273,7,9617,"Random"
0,383.114063870101,8,76,"Random"
0,0,4,2605,"Random"
0,0,41,8050,"Random"
0,0,9,7529,"Random"
0,0,1,6066,"Random"
0,665.031912275972,13,3524,"Random"
0,1999.72006047068,11,184,"Random"
0,0,3,5265,"Random"
0,1938.70532624805,10,1615,"Random"
0,109.009427059659,11,1685,"Random"
0,0,5,8596,"Random"
0,0,5,5770,"Random"
0,1744.51059698801,7,603,"Random"
1,0,9,5963,"Random"
0,0,6,2835,"Random"
0,31.7308750828875,16,9617,"Random"
0,949.185390860864,3,4617,"Random"
0,324.681442996195,4,2641,"Random"
0,2077.93902799468,9,2356,"Random"
0,1257.08978431,12,7844,"Random"
0,614.046107134962,22,9609,"Random"
0,609.354834726692,14,3034,"Random"
0,0,2,9071,"Random"
0,1834.97599401449,1,6580,"Random"
0,378.358430947477,2,8609,"Random"
0,3592.16326172166,1,84,"Random"
0,31.1643718003234,3,4512,"Random"
0,1069.22499170501,13,5390,"Random"
0,0,2,1204,"Random"
1,1873.29049467904,4,2190,"Random"
0,0,14,7686,"Random"
0,215.35429916092,15,2932,"Random"
0,0,5,3994,"Random"
0,0,14,8472,"Random"
0,0,1,7374,"Random"
0,291.959558067227,8,6210,"Random"
0,393.844757872258,16,2871,"Random"
0,452.995502940488,6,5887,"Random"
0,1472.81164525404,3,2693,"Random"
0,573.867267175206,10,360,"Random"
0,3249.13102686167,15,7381,"Random"
0,0,4,6726,"Random"
0,0,3,3331,"Random"
0,2456.86753545377,19,9779,"Random"
0,845.252750024419,1,6338,"Random"
0,3509.75825772288,15,2112,"Random"
1,885.026956196012,10,1822,"Random"
0,0,13,2811,"Random"
0,0,1,7382,"Random"
0,1895.16105183694,4,4109,"Random"
0,2979.6153608111,10,1915,"Random"
0,0,1,2916,"Random"
0,850.543242799853,3,1205,"Random"
0,1956.8619564824,13,2684,"Random"
0,1192.46727732717,4,7350,"Random"
0,5072.55206043245,2,9054,"Random"
0,0,4,9997,"Random"
0,0,6,9003,"Random"
0,0,5,4897,"Random"
0,0,12,6782,"Random"
0,1663.66838795289,1,5706,"Random"
0,0,5,8466,"Random"
0,0,6,5802,"Random"
0,2939.27104928763,15,4294,"Random"
0,0,10,9759,"Random"
0,0,1,8323,"Random"
0,2370.80292394251,5,1008,"Random"
0,822.641255981113,27,6109,"Random"
0,1186.05782754277,7,3916,"Random"
0,1143.3527117486,12,7991,"Random"
0,5264.96785511574,47,7906,"Random"
0,0,7,9509,"Random"
0,567.357375108585,6,2843,"Random"
1,2061.68328269517,13,7525,"Random"
0,4496.63947065076,8,4038,"Random"
0,760.467807045161,9,5610,"Random"
0,794.229392604255,5,5601,"Random"
0,0,3,5782,"Random"
0,816.942597910058,1,7922,"Random"
0,1051.31712516387,1,7203,"Random"
0,63.1065503842492,9,3147,"Random"
0,110.430966778436,1,1895,"Random"
0,509.545417446393,2,5872,"Random"
0,0,9,1108,"Random"
0,1551.07216764768,12,297,"Random"
0,0,11,714,"Random"
0,1640.99525765437,3,7040,"Random"
0,933.42248731717,8,4096,"Random"
0,659.661915503168,8,664,"Random"
0,0,13,179,"Random"
0,0,21,3773,"Random"
0,535.980243574068,2,8603,"Random"
1,707.067309109129,4,2520,"Random"
0,268.420261165166,13,5119,"Random"
0,0,1,7512,"Random"
0,1632.30826862379,1,8216,"Random"
0,0,24,662,"Random"
0,0,9,8998,"Random"
0,2461.30853510091,9,4104,"Random"
0,0,5,3977,"Random"
0,100.418971375039,5,4578,"Random"
0,2590.98099951669,15,5011,"Random"
0,875.59163724008,3,5185,"Random"
0,397.091887829321,8,7934,"Random"
0,5499.47277823438,16,944,"Random"
0,495.110162895164,12,694,"Random"
0,753.962982915328,14,3141,"Random"
0,103.847000320404,4,1093,"Random"
0,0,7,9626,"Random"
0,0,1,9443,"Random"
0,1916.07678613972,18,8079,"Random"
0,816.520859072531,26,3145,"Random"
0,1538.74861754154,8,5701,"Random"
0,1254.91957860824,3,6505,"Random"
0,948.321047400331,8,6029,"Random"
0,0,14,8671,"Random"
0,0,3,4333,"Random"
0,955.210626250866,13,9858,"Random"
1,0,9,1483,"Random"
0,684.525018832168,12,9685,"Random"
0,274.457951983464,4,1304,"Random"
0,0,6,1691,"Random"
0,1174.47019750407,4,7372,"Random"
0,1182.0264112318,15,6507,"Random"
0,0,4,5579,"Random"
0,0,55,3391,"Random"
0,0,6,5929,"Random"
0,1939.58999641161,13,7528,"Random"
0,207.122167277196,3,4929,"Random"
0,358.9992260225,1,3378,"Random"
0,1110.33783524368,12,3667,"Random"
0,1435.72614274745,8,138,"Random"
0,0,14,8977,"Random"
0,2637.00552559646,7,9003,"Random"
0,1382.61569545732,14,6479,"Random"
0,1094.82860169476,3,1200,"Random"
0,0,1,5754,"Random"
0,0,5,4937,"Random"
0,132.565228251834,10,6715,"Random"
0,1285.16737708263,1,4677,"Random"
0,1076.65152888807,31,7092,"Random"
0,438.827617937141,9,3900,"Random"
0,732.174146380927,15,1979,"Random"
0,1195.14173188507,4,9726,"Random"
0,2599.11933723719,7,7133,"Random"
0,636.601164810563,13,9472,"Random"
0,380.348587457663,7,9604,"Random"
0,0,3,5142,"Random"
0,1297.23537700597,14,4084,"Random"
0,4612.90038762977,18,4735,"Random"
0,2772.28817009761,14,4930,"Random"
1,0,8,7048,"Random"
0,3432.28708202392,14,4253,"Random"
0,0,29,7635,"Random"
0,102.236938723128,10,4668,"Random"
0,534.338613904317,17,1669,"Random"
0,660.684696144199,1,952,"Random"
0,4433.14385397723,13,5204,"Random"
0,1547.44423996467,8,306,"Random"
0,2370.25214258115,6,3195,"Random"
0,762.832339049331,3,7680,"Random"
0,2304.22655788017,15,2108,"Random"
0,109.091454612952,10,9475,"Random"
0,0,13,1478,"Random"
0,764.955251349959,1,6628,"Random"
2,437.847868256199,13,8934,"Random"
0,0,8,9596,"Random"
0,0,1,7200,"Random"
0,0,18,9378,"Random"
0,0,1,8528,"Random"
0,0,12,5489,"Random"
0,536.278332304087,5,8784,"Random"
0,0,1,3901,"Random"
0,2177.37818379816,1,2284,"Random"
0,0,6,7766,"Random"
0,0,5,5393,"Random"
0,638.510839291645,8,8542,"Random"
0,0,1,758,"Random"
0,1357.6608523945,5,2483,"Random"
1,3900.64077084808,11,9755,"Random"
0,778.008097421228,7,4288,"Random"
0,2983.11175822307,11,8177,"Random"
0,758.412925003746,1,6281,"Random"
0,1371.5589472056,9,8444,"Random"
0,0,5,7275,"Random"
0,0,5,3596,"Random"
0,0,15,4930,"Random"
0,0,2,8653,"Random"
0,2779.05145610853,15,9366,"Random"
0,0,25,7201,"Random"
0,628.228137821015,14,9469,"Random"
0,2606.045097789,18,3475,"Random"
0,2676.65797993924,15,8166,"Random"
0,682.835645618486,8,9612,"Random"
0,635.817856749106,19,2174,"Random"
0,439.574363594953,24,3085,"Random"
0,1398.3908864148,6,184,"Random"
0,184.904916477783,1,7882,"Random"
0,0,15,7600,"Random"
0,1739.67942842241,22,9816,"Random"
0,0,24,730,"Random"
0,1070.94525712152,14,141,"Random"
0,165.385136246285,38,9119,"Random"
0,3176.60461392364,23,4263,"Random"
0,1216.18471257191,4,2788,"Random"
0,495.423651305746,8,2733,"Random"
0,496.162551038409,9,2788,"Random"
0,0,4,9303,"Random"
0,0,3,6811,"Random"
0,2699.16528095135,14,1760,"Random"
0,348.288504366659,7,1581,"Random"
0,110.595255477368,3,5453,"Random"
0,0,1,2255,"Random"
0,571.501405594322,16,5730,"Random"
0,0,8,7656,"Random"
0,45.5601721691592,8,5187,"Random"
0,193.86577548822,9,8908,"Random"
0,2582.37904076587,3,4769,"Random"
0,2021.82843672062,12,287,"Random"
0,1186.82249893147,19,3187,"Random"
0,566.534632008639,6,1829,"Random"
0,0,1,5456,"Random"
0,136.835628578828,14,2998,"Random"
0,0,1,4856,"Random"
0,0,15,2975,"Random"
0,0,15,5498,"Random"
0,0,8,1996,"Random"
0,0,17,9859,"Random"
0,0,10,9526,"Random"
0,1296.99738991921,1,5211,"Random"
0,534.875337593293,11,2378,"Random"
0,464.857925227028,20,4955,"Random"
0,225.218708087184,15,3319,"Random"
0,0,12,5168,"Random"
0,1903.87542528632,24,8522,"Random"
0,0,13,2049,"Random"
0,19.3346977163401,24,4344,"Random"
0,650.007476344053,3,9950,"Random"
0,0,17,7172,"Random"
0,786.298412992913,4,1436,"Random"
0,2398.55925417251,8,4814,"Random"
0,2970.06148590455,1,8442,"Random"
0,213.795860151096,1,5076,"Random"
1,202.453638154019,2,901,"Random"
0,0,5,8226,"Random"
0,1225.26895264855,16,3916,"Random"
0,965.051067529976,19,641,"Random"
0,1656.80341943768,4,634,"Random"
0,1418.66176062346,3,2818,"Random"
0,0,11,1342,"Random"
0,101.627888791892,36,2356,"Random"
0,25.1240092445519,8,1814,"Random"
0,0,4,9526,"Random"
0,0,1,5481,"Random"
0,3289.08011524034,6,324,"Random"
0,0,19,3240,"Random"
0,0,10,7763,"Random"
0,0,41,1489,"Random"
0,1384.45867248868,8,6750,"Random"
0,1674.21605843741,16,9480,"Random"
0,2309.44043950504,28,2117,"Random"
0,4129.9892887375,13,7075,"Random"
0,0,7,7851,"Random"
0,4813.08254069251,11,3966,"Random"
0,0,30,9612,"Random"
0,798.226641894107,21,3676,"Random"
0,1834.37693030287,13,2805,"Random"
0,0,2,1737,"Random"
0,2214.99280340005,13,1505,"Random"
0,0,7,7265,"Random"
0,73.7937292904489,17,901,"Random"
0,0,15,6179,"Random"
0,1187.36629629838,17,4917,"Random"
0,337.378435049056,4,2379,"Random"
1,456.448124672228,7,5574,"Random"
0,163.009362139896,5,6640,"Random"
0,3441.56651872013,9,259,"Random"
0,209.348863403927,8,5610,"Random"
0,2329.86778182124,50,8114,"Random"
0,2065.18745258121,11,5723,"Random"
0,494.4542991588,13,6380,"Random"
0,2088.29746726498,10,7042,"Random"
0,3819.47159209497,8,4495,"Random"
0,0,1,2574,"Random"
0,2585.83633679722,3,4013,"Random"
0,3.57289876397999,19,3191,"Random"
0,0,10,7499,"Random"
0,179.876422508884,11,9207,"Random"
0,0,1,987,"Random"
0,0,5,1628,"Random"
0,708.873164755964,14,7879,"Random"
0,961.15044013631,13,23,"Random"
0,0,21,6467,"Random"
0,1191.87434879288,4,7822,"Random"
0,0,6,1478,"Random"
0,0,22,2537,"Random"
0,1853.53223443101,18,694,"Random"
0,3084.72420609653,10,6782,"Random"
0,695.79314136632,2,9462,"Random"
0,2790.50537880387,10,4769,"Random"
0,2212.44024819535,45,1116,"Random"
0,0,19,7263,"Random"
0,0,14,3581,"Random"
0,2136.67966673878,5,4742,"Random"
0,1061.84664532335,1,896,"Random"
0,1083.14486418056,17,5786,"Random"
0,0,4,1515,"Random"
0,2664.14752663791,8,9964,"Random"
0,1225.10884447539,13,3074,"Random"
0,824.584072664791,21,4160,"Random"
0,0,6,2357,"Random"
0,55.3467252843748,14,7203,"Random"
0,2877.89899669005,20,2114,"Random"
0,0,1,7381,"Random"
0,598.033636341248,11,7766,"Random"
0,636.248705548176,12,1128,"Random"
0,281.806156241555,14,3232,"Random"
0,1396.13789291064,13,1658,"Random"
0,0,1,6328,"Random"
0,2686.02768993253,21,6283,"Random"
0,1525.51526876561,1,1245,"Random"
0,171.129335304582,9,9443,"Random"
0,288.994528898812,10,3275,"Random"
0,370.892728556329,1,7001,"Random"
1,899.353740152243,7,9541,"Random"
0,163.399027538397,1,9564,"Random"
