"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"29",0,2164.28348864137,1893.42998379107,2,12,10,12,12,"Growth,size=2,W=6mo,D=0.01"
"33",0,0,4592.96240531945,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"40",1,3366.9252732774,2387.64655620392,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"51",0,273.231776013744,2171.32733860221,2,33,31,33,33,"Growth,size=2,W=6mo,D=0.01"
"53",0,480.339366816731,1783.20350074294,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"57",0,1931.14373137446,1666.30511033548,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"67",0,2131.74529788928,784.698108919365,2,5,4,6,5,"Growth,size=2,W=6mo,D=0.01"
"78",0,0,1951.70362291674,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"98",0,2043.83338605373,1496.97157536848,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"103",0,8439.99474918034,3565.27012040081,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"108",0,1234.06480776336,700.501666856429,2,13,11,13,13,"Growth,size=2,W=6mo,D=0.01"
"116",0,486.385461772749,2514.54393289198,2,38,36,38,38,"Growth,size=2,W=6mo,D=0.01"
"118",0,910.13458401877,2678.08479513586,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"129",1,0,1127.49776051483,2,74,72,74,74,"Growth,size=2,W=6mo,D=0.01"
"131",0,0,3478.55106701429,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"137",0,951.426099967623,1693.27923535419,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"156",0,71.6754993535469,4650.71056679298,2,36,34,36,36,"Growth,size=2,W=6mo,D=0.01"
"164",0,2776.73974565378,1800.94392214613,2,20,18,20,20,"Growth,size=2,W=6mo,D=0.01"
"169",0,878.910236221273,1236.47606261576,2,5,3,5,5,"Growth,size=2,W=6mo,D=0.01"
"175",0,1157.42541702502,2657.87712319655,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"176",1,3352.89695120254,1822.72939979781,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"190",0,0,3126.95201790141,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"196",0,0,5715.8668425742,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"197",0,0,2284.59892264538,2,32,30,32,32,"Growth,size=2,W=6mo,D=0.01"
"199",0,163.507566151802,1176.68248803404,2,9,7,9,9,"Growth,size=2,W=6mo,D=0.01"
"201",1,2094.76876611518,636.027722704476,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"206",0,0,1712.20294168582,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"219",0,491.240673078348,5116.22601085358,2,46,44,46,46,"Growth,size=2,W=6mo,D=0.01"
"223",0,1536.37598616534,3401.21997787264,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"224",0,777.246804549437,1786.75367374393,2,47,45,47,47,"Growth,size=2,W=6mo,D=0.01"
"228",0,502.401992305055,1223.77973402343,2,18,16,18,18,"Growth,size=2,W=6mo,D=0.01"
"238",0,1780.23310084208,1155.53411759987,2,77,75,77,77,"Growth,size=2,W=6mo,D=0.01"
"242",0,2639.88945224528,1481.34287146008,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"246",0,2262.65891193336,557.062743650129,2,8,6,8,8,"Growth,size=2,W=6mo,D=0.01"
"262",0,1124.92287655581,2157.62920583015,2,28,26,28,28,"Growth,size=2,W=6mo,D=0.01"
"265",0,172.386776399655,1742.7565806243,2,21,19,21,21,"Growth,size=2,W=6mo,D=0.01"
"273",0,1201.24588368388,2595.18659267315,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"288",0,3576.64560057529,2156.79146099234,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"307",0,2899.36656194036,2800.7823497736,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"312",0,7169.02405166639,5461.48591411102,2,16,14,16,16,"Growth,size=2,W=6mo,D=0.01"
"326",0,1754.22955232583,2875.89130902941,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"343",0,110.829230010285,2972.06040602588,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"362",0,978.154680375943,978.590171675012,2,55,53,55,55,"Growth,size=2,W=6mo,D=0.01"
"365",0,2412.4410267183,1057.22576766568,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"370",0,3118.3613858206,519.855614049305,2,48,46,48,48,"Growth,size=2,W=6mo,D=0.01"
"371",0,1165.69347479576,570.936708652339,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"373",0,4037.11807254325,1897.99677915977,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"393",0,0,3376.31888420737,2,9,8,10,9,"Growth,size=2,W=6mo,D=0.01"
"407",0,1016.72950234106,2860.66168436332,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"408",0,525.073356219569,3462.59860802661,2,3,1,3,3,"Growth,size=2,W=6mo,D=0.01"
"414",0,1498.82566848709,899.127663776351,2,30,28,30,30,"Growth,size=2,W=6mo,D=0.01"
"415",0,3262.53004484644,1510.55311282994,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"428",0,263.34737120153,2674.07955193268,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"432",0,3131.3205479269,3468.68362199411,2,17,15,17,17,"Growth,size=2,W=6mo,D=0.01"
"433",0,1036.01591493601,2891.76683528234,3,12,7,10,11,"Growth,size=2,W=6mo,D=0.01"
"434",0,3677.75602236689,3833.94531864139,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"436",0,1255.43276728478,2123.13711230697,2,10,8,10,10,"Growth,size=2,W=6mo,D=0.01"
"443",0,962.816538772953,1023.1815033068,2,41,39,41,41,"Growth,size=2,W=6mo,D=0.01"
"449",0,3746.08715793291,2884.06676444528,2,26,24,26,26,"Growth,size=2,W=6mo,D=0.01"
"471",0,1480.26052281386,3172.76311631529,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"478",0,296.174805100998,3103.18694856235,2,19,17,19,19,"Growth,size=2,W=6mo,D=0.01"
"482",0,173.296580883929,1538.48023699314,2,23,21,23,23,"Growth,size=2,W=6mo,D=0.01"
"488",0,2119.03713328265,1364.44999470405,2,21,20,22,21,"Growth,size=2,W=6mo,D=0.01"
"493",0,4412.91531498439,697.847840208967,2,39,37,39,39,"Growth,size=2,W=6mo,D=0.01"
"507",0,1545.44475023285,3354.71744582607,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"519",0,1581.23157485816,4634.37731469953,2,24,22,24,24,"Growth,size=2,W=6mo,D=0.01"
"535",0,1597.43543052393,1846.25128424804,3,46,40,43,45,"Growth,size=2,W=6mo,D=0.01"
"543",0,0,3282.83787614129,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"544",0,1222.86717468792,2175.04243463447,2,14,12,14,14,"Growth,size=2,W=6mo,D=0.01"
"551",0,4845.17246885591,2103.29603068694,2,40,38,40,40,"Growth,size=2,W=6mo,D=0.01"
"561",0,518.406875289242,2039.43862137721,2,15,13,15,15,"Growth,size=2,W=6mo,D=0.01"
"573",0,1881.287589684,836.714994152564,2,59,57,59,59,"Growth,size=2,W=6mo,D=0.01"
"580",0,789.141734887066,679.891911910189,2,27,25,27,27,"Growth,size=2,W=6mo,D=0.01"
"582",0,3243.47102469342,2711.16280140337,2,51,49,51,51,"Growth,size=2,W=6mo,D=0.01"
"587",0,1528.55891747281,1367.30646274932,2,25,23,25,25,"Growth,size=2,W=6mo,D=0.01"
"588",0,2734.76786561067,1119.22422683642,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"589",0,933.786209109123,4993.73254094238,2,22,20,22,22,"Growth,size=2,W=6mo,D=0.01"
"597",0,0,5987.4843590397,2,36,34,36,36,"Growth,size=2,W=6mo,D=0.01"
"604",0,4273.65518975579,1416.3711857341,3,54,48,51,53,"Growth,size=2,W=6mo,D=0.01"
"610",0,627.641991816411,1629.543844652,2,36,34,36,36,"Growth,size=2,W=6mo,D=0.01"
"620",0,1562.36666565388,2432.63323448041,2,11,9,11,11,"Growth,size=2,W=6mo,D=0.01"
"621",0,4161.01990685874,496.530444952832,2,51,49,51,51,"Growth,size=2,W=6mo,D=0.01"
"628",0,212.352327501915,2251.10183620098,2,29,27,29,29,"Growth,size=2,W=6mo,D=0.01"
