"pia","puta","contacts","strategy"
0,1161.36843720373,17,"RITA"
0,0,11,"RITA"
0,506.145431143995,4,"RITA"
0,570.442421623618,30,"RITA"
0,1968.50588433213,2,"RITA"
0,118.280744773227,3,"RITA"
0,698.532347534344,4,"RITA"
0,0.0297905058814649,2,"RITA"
0,27.8843463822302,17,"RITA"
0,798.57974622288,4,"RITA"
0,275.699095061419,20,"RITA"
0,388.974725291205,3,"RITA"
2,0,8,"RITA"
0,345.401931512225,3,"RITA"
0,0,9,"RITA"
1,576.023670835338,4,"RITA"
0,1743.82613683635,1,"RITA"
0,0,9,"RITA"
0,234.02105821341,9,"RITA"
0,1371.37760963489,2,"RITA"
0,1235.95930739721,5,"RITA"
0,738.93568305773,12,"RITA"
0,0,3,"RITA"
0,1037.03659736035,8,"RITA"
1,463.828791503852,19,"RITA"
0,24.3227540087082,11,"RITA"
0,703.455460047878,1,"RITA"
0,0,10,"RITA"
0,2035.65223252611,17,"RITA"
0,21.5401762846368,3,"RITA"
0,1168.28729658742,1,"RITA"
0,0,2,"RITA"
0,169.018454633091,84,"RITA"
0,1227.36374037053,5,"RITA"
0,1182.84616440135,5,"RITA"
0,319.164046468341,1,"RITA"
0,26.9140150849083,31,"RITA"
0,2498.95095879973,21,"RITA"
0,0,6,"RITA"
1,2270.89596943067,1,"RITA"
0,1112.44110172085,2,"RITA"
0,11.9815299390384,3,"RITA"
0,3451.99176278527,5,"RITA"
0,1104.49786212442,3,"RITA"
0,378.951856120888,13,"RITA"
0,1041.39992459531,5,"RITA"
1,654.856514725124,14,"RITA"
0,360.833974948675,4,"RITA"
0,1168.72641639397,5,"RITA"
0,712.005322074412,8,"RITA"
0,802.487923130586,4,"RITA"
0,4532.18048611677,18,"RITA"
0,5717.0692141087,19,"RITA"
0,4508.50234218512,13,"RITA"
0,799.962313277211,8,"RITA"
0,316.488549540677,1,"RITA"
0,998.309746882892,20,"RITA"
0,703.958207412958,21,"RITA"
0,297.557477381046,3,"RITA"
1,689.287580461332,15,"RITA"
0,4059.04002432514,17,"RITA"
0,1990.83676993487,12,"RITA"
0,0,6,"RITA"
1,2198.41636882945,9,"RITA"
0,413.044941828257,20,"RITA"
0,1529.47139989401,4,"RITA"
0,1211.33023234728,23,"RITA"
0,163.292766208666,11,"RITA"
0,436.224887365247,6,"RITA"
0,226.631308617032,9,"RITA"
0,3628.34910976076,31,"RITA"
0,914.308035799273,3,"RITA"
0,1453.88732719036,34,"RITA"
0,1999.72006047068,11,"RITA"
0,355.630296581676,9,"RITA"
0,753.309204956312,2,"RITA"
0,4065.76415874611,6,"RITA"
0,0,4,"RITA"
0,219.09881731991,2,"RITA"
0,631.007527940273,1,"RITA"
0,1540.10415515413,10,"RITA"
0,3062.87259156188,5,"RITA"
0,0,4,"RITA"
0,0,3,"RITA"
0,792.55504241499,17,"RITA"
0,530.512999513621,12,"RITA"
0,2062.4590247832,4,"RITA"
2,3411.24798767228,10,"RITA"
0,556.604280274134,8,"RITA"
0,985.318099635633,7,"RITA"
2,729.922581470615,4,"RITA"
0,1637.70304800299,10,"RITA"
1,2263.64101938191,2,"RITA"
0,1258.6247750927,4,"RITA"
1,1499.43003509646,14,"RITA"
0,0,4,"RITA"
0,906.200175121778,10,"RITA"
0,1196.634763183,16,"RITA"
0,1142.15603535634,17,"RITA"
0,1825.51316038945,4,"RITA"
0,0,33,"RITA"
0,0,16,"RITA"
