"pia","ida","contacts","simid","strategy"
0,1161.36843720373,17,"1","RITA"
0,995.821446490245,10,"1","RITA"
0,0,11,"3","RITA"
0,336.671960338841,4,"6","RITA"
0,0,17,"6","RITA"
0,506.145431143995,4,"11","RITA"
0,570.442421623618,30,"13","RITA"
0,1968.50588433213,2,"18","RITA"
0,401.541035574147,32,"18","RITA"
0,698.532347534344,4,"18","RITA"
0,1007.61920351325,5,"24","RITA"
0,798.57974622288,4,"24","RITA"
0,761.958399242004,12,"24","RITA"
0,2059.35520946673,6,"27","RITA"
0,0,1,"28","RITA"
2,0,8,"29","RITA"
0,345.401931512225,3,"29","RITA"
0,0,9,"29","RITA"
0,1743.82613683635,1,"29","RITA"
0,3248.1041609933,6,"29","RITA"
0,234.02105821341,9,"29","RITA"
0,1235.95930739721,5,"39","RITA"
0,361.641877772157,3,"42","RITA"
0,0,3,"47","RITA"
0,0,3,"49","RITA"
1,463.828791503852,19,"56","RITA"
0,703.455460047878,1,"62","RITA"
0,0,27,"64","RITA"
0,689.998279297458,10,"64","RITA"
0,406.996203142096,20,"64","RITA"
0,21.5401762846368,3,"65","RITA"
0,0,2,"67","RITA"
0,1227.36374037053,5,"68","RITA"
0,2397.948524662,10,"72","RITA"
0,319.164046468341,1,"72","RITA"
0,1014.43932134613,17,"79","RITA"
1,2270.89596943067,1,"84","RITA"
0,1116.39098150492,3,"84","RITA"
0,11.9815299390384,3,"84","RITA"
0,2014.58262201623,20,"87","RITA"
0,275.53979546438,11,"97","RITA"
0,1138.91305878037,1,"100","RITA"
0,3710.48874563368,119,"100","RITA"
0,1041.39992459531,5,"102","RITA"
0,1482.83554366571,1,"108","RITA"
0,360.833974948675,4,"116","RITA"
0,0,38,"123","RITA"
0,712.005322074412,8,"127","RITA"
0,3261.93841014416,15,"138","RITA"
0,901.415693242863,3,"138","RITA"
0,799.962313277211,8,"138","RITA"
0,316.488549540677,1,"138","RITA"
0,2241.44561299132,7,"138","RITA"
0,1070.94525712152,14,"141","RITA"
0,1124.49580454438,11,"148","RITA"
0,998.309746882892,20,"148","RITA"
0,297.557477381046,3,"148","RITA"
0,249.621891495332,10,"160","RITA"
0,180.904983957321,6,"160","RITA"
0,2148.60246456026,11,"162","RITA"
1,1381.14513680419,9,"168","RITA"
0,0,14,"168","RITA"
0,0,6,"172","RITA"
1,2198.41636882945,9,"172","RITA"
0,1211.33023234728,23,"177","RITA"
0,0,3,"177","RITA"
0,4031.64496485683,15,"179","RITA"
0,1148.52151528761,12,"180","RITA"
0,3759.34900397529,91,"183","RITA"
0,914.308035799273,3,"184","RITA"
0,20.9207735928321,19,"184","RITA"
0,3569.52229627672,3,"184","RITA"
0,355.630296581676,9,"191","RITA"
0,669.85375691581,3,"191","RITA"
0,0,4,"194","RITA"
0,219.09881731991,2,"194","RITA"
0,631.007527940273,1,"195","RITA"
0,1540.10415515413,10,"203","RITA"
0,324.899035334613,4,"204","RITA"
0,0,3,"205","RITA"
0,178.468257178963,9,"206","RITA"
0,792.55504241499,17,"214","RITA"
2,3411.24798767228,10,"217","RITA"
0,985.318099635633,7,"223","RITA"
0,545.680050146067,1,"223","RITA"
2,729.922581470615,4,"223","RITA"
0,1637.70304800299,10,"226","RITA"
1,2263.64101938191,2,"231","RITA"
0,1258.6247750927,4,"237","RITA"
0,3206.90320619439,3,"238","RITA"
1,1499.43003509646,14,"238","RITA"
0,263.731098762049,5,"238","RITA"
0,0,4,"238","RITA"
0,2930.60682325848,5,"241","RITA"
0,906.200175121778,10,"244","RITA"
0,1204.05076697512,19,"248","RITA"
0,1196.634763183,16,"248","RITA"
1,2.85451416938713,12,"248","RITA"
0,1825.51316038945,4,"252","RITA"
0,266.776373309015,11,"253","RITA"
0,0,16,"253","RITA"
0,2115.9438012937,2,"253","RITA"
0,2324.22342793308,6,"256","RITA"
0,4188.32863353214,17,"256","RITA"
0,1620.63684058745,9,"256","RITA"
0,1328.3078753414,16,"256","RITA"
0,3441.56651872013,9,"259","RITA"
0,911.137230649267,3,"261","RITA"
0,4375.83479074968,5,"265","RITA"
0,1.16737377437585,6,"269","RITA"
0,1616.62970495761,2,"269","RITA"
1,0,19,"269","RITA"
0,699.530811472051,4,"270","RITA"
0,680.841803922164,19,"270","RITA"
0,1057.2994366724,16,"271","RITA"
0,116.976879617908,7,"282","RITA"
0,0,1,"284","RITA"
0,1360.91835962266,28,"287","RITA"
0,0,11,"289","RITA"
0,1810.10192377941,11,"291","RITA"
2,873.539129569274,16,"297","RITA"
0,2542.42380800745,27,"297","RITA"
0,2328.64133910246,11,"297","RITA"
0,3051.70584211001,24,"297","RITA"
0,1744.90060792494,4,"299","RITA"
0,0,11,"301","RITA"
0,676.347515234407,17,"306","RITA"
0,446.537638617875,8,"310","RITA"
0,43.3644725961813,5,"312","RITA"
0,910.674137954806,6,"319","RITA"
0,0,5,"322","RITA"
1,4137.19618681895,4,"324","RITA"
0,0,2,"324","RITA"
0,546.368655911209,10,"324","RITA"
0,158.385591281694,11,"324","RITA"
0,690.647157567666,9,"324","RITA"
0,969.808443771924,2,"327","RITA"
1,853.644510048881,29,"330","RITA"
1,2082.05093517457,5,"336","RITA"
0,0,6,"336","RITA"
0,0,6,"341","RITA"
1,397.397067470325,2,"341","RITA"
0,0,11,"341","RITA"
0,534.900922597323,7,"350","RITA"
0,0,7,"350","RITA"
0,274.045933621897,4,"351","RITA"
0,707.506350255886,3,"355","RITA"
0,805.917780670017,3,"360","RITA"
0,573.867267175206,10,"360","RITA"
0,0,22,"375","RITA"
0,4539.0862162392,13,"377","RITA"
0,3311.66471304638,18,"377","RITA"
0,475.120694415106,19,"377","RITA"
0,1565.999885894,14,"384","RITA"
0,310.701845750789,2,"384","RITA"
2,627.095421035843,10,"384","RITA"
0,153.250420143135,9,"388","RITA"
0,2335.80916940424,11,"389","RITA"
0,0,4,"389","RITA"
0,0,15,"389","RITA"
0,1475.33253161117,6,"412","RITA"
0,1888.97413679662,2,"417","RITA"
0,0,12,"417","RITA"
0,382.373321387109,8,"417","RITA"
0,450.606265121896,1,"417","RITA"
0,1628.41075759806,2,"420","RITA"
0,982.711789250699,11,"422","RITA"
0,900.344004473607,29,"424","RITA"
0,737.871290194323,1,"424","RITA"
2,456.380354705972,12,"424","RITA"
0,0,17,"424","RITA"
0,172.910972605015,1,"436","RITA"
0,293.598704356957,7,"437","RITA"
0,285.043798216102,8,"441","RITA"
0,445.606931508291,10,"441","RITA"
0,1933.15113282061,11,"448","RITA"
0,0,3,"451","RITA"
0,1567.68235530726,7,"451","RITA"
0,1131.99702569984,6,"452","RITA"
0,470.727961540434,16,"470","RITA"
0,124.111500550713,17,"476","RITA"
0,146.427039974402,15,"485","RITA"
0,0,10,"485","RITA"
0,931.113579279985,2,"486","RITA"
0,1913.9477064064,10,"487","RITA"
0,196.310330762323,5,"488","RITA"
0,0,9,"489","RITA"
0,420.219715091678,6,"498","RITA"
0,0,6,"498","RITA"
0,249.444741763282,8,"505","RITA"
