"pia","puta","contacts","strategy"
0,2944.48008746835,2.00000000018382,"RITA"
0,1803.43483985154,5.05243718927585,"RITA"
0,0,5.00079118606978,"RITA"
0,822.114318150842,2.03771132649426,"RITA"
0,255.998471461591,3.00042205567042,"RITA"
0,541.169078188728,2.00010445012242,"RITA"
0,4843.16421005518,5.00120037137946,"RITA"
0,235.376475431893,3.00010457499225,"RITA"
0,656.954085602652,3.00957859167018,"RITA"
0,4515.45609945087,5.0000020795783,"RITA"
0,1087.21779844634,2.1668179230984,"RITA"
0,359.065765711821,2.00000003347361,"RITA"
0,1059.64229740511,3.00001079337426,"RITA"
0,1056.75347023753,4.00021496135775,"RITA"
0,0,3.0058772413173,"RITA"
0,580.416149130255,2.07598636749919,"RITA"
0,648.920923548644,1.13055528292025,"RITA"
0,148.52432285309,2.03740727441912,"RITA"
0,152.915855652814,4.00028261540433,"RITA"
0,0,2.01243220892539,"RITA"
0,2967.26975268266,3.02977268983608,"RITA"
0,1411.2298320243,4.00818588233737,"RITA"
0,1182.41672394624,4.01403749290196,"RITA"
0,2586.4064736674,3.00211038700613,"RITA"
0,1903.463815272,3.00006331554472,"RITA"
0,382.304377513961,3.01234876472433,"RITA"
0,1120.40503942923,1.18670983519059,"RITA"
0,249.651409302959,5.00414232799863,"RITA"
0,600.94738205467,2.05035206423872,"RITA"
0,66.8836202627274,2.11316165931564,"RITA"
0,1825.04910035009,3.00126953297129,"RITA"
0,1756.5763954199,2.04481945973523,"RITA"
0,0,5.12879847099948,"RITA"
0,1429.68621533491,2.04713592825067,"RITA"
0,241.765292925073,2.01903264888022,"RITA"
1,1394.22750342742,2.11769958176073,"RITA"
0,3655.79027388472,2.03147364082023,"RITA"
0,1035.96938849154,4.00000332827853,"RITA"
0,1211.12578164629,3.00019531503983,"RITA"
0,256.078946269328,5.00048083387893,"RITA"
0,1948.68595120453,3.00264270646168,"RITA"
0,0,4.00354282516605,"RITA"
0,613.515187845816,2.00828349254566,"RITA"
1,397.393951680921,5.00000358331022,"RITA"
0,105.426149617786,5.03965011335901,"RITA"
0,969.815385939244,2.01408680841354,"RITA"
0,799.273810881945,4.00112192244342,"RITA"
0,1514.77914836291,3.00000971906283,"RITA"
0,0,3.00001799636512,"RITA"
0,1434.27038562879,4.00012342641077,"RITA"
0,1697.13512820679,5.0000000309354,"RITA"
0,373.859147935753,2.05869455338266,"RITA"
0,41.7083409196985,2.05623256006793,"RITA"
0,276.435427743378,2.0000230931509,"RITA"
0,602.541680069316,4.00667073837053,"RITA"
0,2488.94096764956,2.08998798997206,"RITA"
0,1143.46097718345,4.01357698920824,"RITA"
0,0,3.00001876191625,"RITA"
0,0,4.00190029379536,"RITA"
0,790.106485115719,2.0008985374022,"RITA"
0,359.193898980613,4.00778065560149,"RITA"
0,703.452125067011,2.03495081310595,"RITA"
0,93.6406832028861,3.02727090816345,"RITA"
0,1360.95707657063,3.00517825680224,"RITA"
0,404.251980991786,3.04452662510493,"RITA"
1,271.642211977179,3.01501916724121,"RITA"
1,2956.57241978468,5.05222067292778,"RITA"
0,323.905788165956,3.12595026724242,"RITA"
0,128.67080669835,4.00044129021029,"RITA"
0,1200.62003616967,4.1068652099837,"RITA"
0,0,3.04315242001441,"RITA"
0,934.561720058349,5.00037986296569,"RITA"
0,68.4606773085186,4.00019173158026,"RITA"
0,3505.0692259988,4.00000438680924,"RITA"
0,1.61743410840745,4.00154352806182,"RITA"
0,730.768961210347,3.04614713912381,"RITA"
0,139.878619135458,5.00402663356362,"RITA"
0,1608.93563772542,3.00096847337981,"RITA"
0,46.9727751672826,3.00137273488298,"RITA"
0,363.649540263131,3.06314473201505,"RITA"
0,64.0741179469994,5.00000026478441,"RITA"
0,1581.38225429327,4.00634780071333,"RITA"
0,438.684556799871,3.00581826483547,"RITA"
0,971.561661196615,4.08609642821703,"RITA"
0,122.996832048999,3.00005228142338,"RITA"
0,2302.94193774373,2.01751785275834,"RITA"
0,2757.56207902535,4.0064636362952,"RITA"
0,1619.1160538171,2.01605879042953,"RITA"
0,825.946324311187,5.03492788513292,"RITA"
0,1647.51692840969,2.00315727133279,"RITA"
0,0,4.02535226025642,"RITA"
0,188.189606366891,5.02770266895871,"RITA"
0,0,4.09366067396832,"RITA"
