"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median_PUTA","Low_PUTA","High_PUTA","Total_PIA","PIA/contact","Median_PIA","Low_PIA","High_PIA"
"Size=5,D=0.005","small",2084.06508216814,768948.99543504,368.965922424587,271.680515504488,0,886.899586495338,33,0.0158344383207403,0,0,0
"Size=5,D=0.005","large",4126.90439032865,768948.99543504,186.32585655172,146.181738350745,0,441.705216755284,33,0.00799630834126787,0,0,0
"Size=2,D=0.005","small",11173.0054102817,2899375.00896761,259.498219368938,191.159555447949,0,657.217690373419,166,0.0148572379502513,0,0,0
"Size=2,D=0.005","large",11221.9917270868,2899375.00896761,258.365455926092,191.159555447949,0,659.086526196085,166,0.0147923830311977,0,0,0
"Growth,size=5,W=6mo,D=0.01","small",101.229430828262,66739.4204642405,659.288706043063,530.324674145619,144.634063089147,1389.96998071943,5,0.0493927503008747,0,0,0.199486980831149
"Growth,size=5,W=6mo,D=0.01","large",186.470079945113,66739.4204642405,357.909539610242,284.888296670519,124.206847250927,869.449303720496,5,0.0268139532169007,0,0,0.0979450066111754
"Random,10%","-",11908.8848318165,3307184.93635956,277.707357411324,120.237653532878,0,833.915116686937,168,0.0141071143413161,0,0,0
"RITA","-",12160.6545191621,4063655.24730139,334.164188358292,248.246359214424,0,888.108873814581,347,0.0285346483162742,0,0,0
"Network,partners>4","-",28509.8676440671,7139726.47521653,250.430011263216,165.941675113091,0,636.985521492384,435,0.0152578751129532,0,0,0
