"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"148",0,998.309746882892,2557.58205048394,2,NA,NA,90,71,"RITA+Secondary,W=6mo"
"148",0,297.557477381046,1656.58667633819,2,NA,NA,8,6,"RITA+Secondary,W=6mo"
"152",1,1984.19214497881,2700.30854274755,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
"160",1,249.621891495332,4382.86037648321,2,NA,NA,37,28,"RITA+Secondary,W=6mo"
"168",2,4059.04002432514,3275.01853697621,2,NA,NA,45,29,"RITA+Secondary,W=6mo"
"168",0,3740.65169084637,5144.32193100131,2,NA,NA,71,42,"RITA+Secondary,W=6mo"
"172",0,0,1315.10127396835,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"175",0,1529.47139989401,5531.66255414128,2,NA,NA,7,4,"RITA+Secondary,W=6mo"
"177",0,1388.79940829297,1653.52498308255,1,NA,NA,25,25,"RITA+Secondary,W=6mo"
"177",4,1257.67409777907,3445.28784734803,2,NA,NA,24,13,"RITA+Secondary,W=6mo"
"177",1,1211.33023234728,1379.48870517849,3,NA,NA,34,22,"RITA+Secondary,W=6mo"
"177",0,436.224887365247,3038.55909119941,2,NA,NA,14,9,"RITA+Secondary,W=6mo"
"179",1,4031.64496485683,1361.955639145,3,NA,NA,28,14,"RITA+Secondary,W=6mo"
"180",0,1148.52151528761,824.68310048078,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
"182",0,688.278336797934,2411.98026409274,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"184",0,914.308035799273,653.656835768968,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"184",0,2053.68826311088,2673.28408772344,1,NA,NA,68,68,"RITA+Secondary,W=6mo"
"184",0,445.249358747731,4959.63684901841,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
"184",0,20.9207735928321,5383.96543417331,1,NA,NA,18,18,"RITA+Secondary,W=6mo"
"184",0,1999.72006047068,4020.69974061983,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
"191",0,1206.47437456329,262.801001983795,3,NA,NA,18,15,"RITA+Secondary,W=6mo"
"191",0,970.108030441785,346.256450024297,2,NA,NA,17,15,"RITA+Secondary,W=6mo"
"194",0,0,3568.0339129007,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"194",0,420.33544849048,2607.75581353193,2,NA,NA,6,5,"RITA+Secondary,W=6mo"
"195",0,664.964303722621,3205.94135545284,2,NA,NA,1,1,"RITA+Secondary,W=6mo"
"204",0,2860.9257784485,2546.76509812023,2,NA,NA,28,25,"RITA+Secondary,W=6mo"
"204",0,0,2843.52496781903,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
"205",0,0,1396.21589954776,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"205",0,389.95316886589,2412.18631828024,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"205",0,12.4362379909439,1902.06217308774,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
"214",0,792.55504241499,913.451462243154,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
"214",0,1460.86593492325,3309.7844660649,2,NA,NA,16,11,"RITA+Secondary,W=6mo"
"217",5,3172.13258086153,2250.65115239886,4,NA,NA,14,9,"RITA+Secondary,W=6mo"
"217",2,3411.24798767228,2328.82376704745,2,NA,NA,16,9,"RITA+Secondary,W=6mo"
"217",2,556.604280274134,2679.17933058008,2,NA,NA,20,13,"RITA+Secondary,W=6mo"
"223",2,985.318099635633,918.55996915282,2,NA,NA,17,11,"RITA+Secondary,W=6mo"
"223",2,729.922581470615,5146.63568451942,2,NA,NA,17,14,"RITA+Secondary,W=6mo"
"226",2,2373.13543439417,3217.70757580383,3,NA,NA,29,12,"RITA+Secondary,W=6mo"
"231",1,2263.64101938191,527.780559383992,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
"236",0,950.234746594136,841.631479079211,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"237",0,1229.98138808206,1448.02674461279,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"238",1,1499.43003509646,1207.57927700535,1,NA,NA,13,13,"RITA+Secondary,W=6mo"
"244",2,1772.37490499785,1008.74379792024,2,NA,NA,28,19,"RITA+Secondary,W=6mo"
"252",0,2410.90739200674,1104.66206893939,2,NA,NA,13,10,"RITA+Secondary,W=6mo"
"253",0,0,1210.08882465711,1,NA,NA,32,32,"RITA+Secondary,W=6mo"
"253",0,0,576.944217988733,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
"253",0,4020.18861387639,2358.10472850241,2,NA,NA,31,30,"RITA+Secondary,W=6mo"
"256",0,0,1913.88170665591,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
"256",6,5545.32083882864,1551.22520185428,4,NA,NA,133,93,"RITA+Secondary,W=6mo"
"256",0,1328.3078753414,2288.28657977558,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
"256",1,2846.76321701436,3103.05563326493,2,NA,NA,12,8,"RITA+Secondary,W=6mo"
"261",1,911.137230649267,2596.95300415704,3,NA,NA,30,18,"RITA+Secondary,W=6mo"
"265",1,4375.83479074968,170.41857521238,2,NA,NA,14,10,"RITA+Secondary,W=6mo"
"268",1,451.414459614721,1063.95349493408,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
"268",1,3511.61774026822,1826.47111543632,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
"269",4,3296.37763469589,1014.76394564448,3,NA,NA,38,29,"RITA+Secondary,W=6mo"
"269",1,2244.38808346541,1406.8474201744,3,NA,NA,33,18,"RITA+Secondary,W=6mo"
"271",1,956.36678454633,941.417848925669,1,NA,NA,30,30,"RITA+Secondary,W=6mo"
"273",0,2211.12653861234,423.159041463218,2,NA,NA,25,17,"RITA+Secondary,W=6mo"
"282",0,116.976879617908,1757.5447074258,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
"284",0,0,3027.0768080015,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"287",0,1360.91835962266,1394.38058122444,2,NA,NA,45,27,"RITA+Secondary,W=6mo"
"287",0,1465.08237712365,1502.69742215433,1,NA,NA,23,23,"RITA+Secondary,W=6mo"
"287",0,950.789574030567,3534.91452000613,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
"287",0,0,4255.99209407707,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
"297",0,0,1393.50372896229,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
"310",0,100.990532631672,1351.15923067493,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"310",0,446.537638617875,3682.10091143365,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
"310",0,758.351540843992,4109.22249268356,1,NA,NA,29,29,"RITA+Secondary,W=6mo"
"311",0,2620.26692111854,442.271170358511,2,NA,NA,28,17,"RITA+Secondary,W=6mo"
"319",0,910.674137954806,132.281937364143,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"322",0,0,3672.82741257419,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"324",0,297.930724092517,1745.8299555726,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
"324",1,5740.02844733473,987.195072682407,3,NA,NA,15,11,"RITA+Secondary,W=6mo"
"324",1,617.964606852687,791.175558659249,2,NA,NA,22,13,"RITA+Secondary,W=6mo"
"324",0,158.385591281694,1179.15862328876,2,NA,NA,23,13,"RITA+Secondary,W=6mo"
"324",0,1886.4604694912,2782.16274100786,1,NA,NA,62,62,"RITA+Secondary,W=6mo"
"327",2,1031.81930408888,586.657790959279,2,NA,NA,14,13,"RITA+Secondary,W=6mo"
"336",3,3471.98631529979,511.537723562164,3,NA,NA,34,18,"RITA+Secondary,W=6mo"
"336",0,682.01965661379,2774.17708185811,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
"336",0,0,897.950226135422,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"341",1,766.115361747011,2907.79541478923,2,NA,NA,6,5,"RITA+Secondary,W=6mo"
"342",0,385.799492967203,1062.64085762084,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
"343",0,0,2159.35521458237,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
"343",0,1164.96577319488,4219.41507976857,2,NA,NA,29,29,"RITA+Secondary,W=6mo"
"350",0,897.307093769659,1315.14966540766,2,NA,NA,19,13,"RITA+Secondary,W=6mo"
"350",0,534.900922597323,1103.24047557776,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
"355",3,4359.32594145663,365.612220878308,3,NA,NA,22,17,"RITA+Secondary,W=6mo"
