"pia","puta","contacts","strategy"
0,0,11,"RITA"
0,336.671960338841,4,"RITA"
0,506.145431143995,4,"RITA"
0,1968.50588433213,2,"RITA"
0,118.280744773227,3,"RITA"
0,698.532347534344,4,"RITA"
0,1430.60080718409,48,"RITA"
0,798.57974622288,4,"RITA"
0,0,1,"RITA"
0,345.401931512225,3,"RITA"
0,0,9,"RITA"
0,3248.1041609933,6,"RITA"
0,1371.37760963489,2,"RITA"
0,1235.95930739721,5,"RITA"
0,738.93568305773,12,"RITA"
0,0,3,"RITA"
0,2491.75313848202,3,"RITA"
0,1037.03659736035,8,"RITA"
1,463.828791503852,19,"RITA"
0,703.455460047878,1,"RITA"
0,689.998279297458,10,"RITA"
0,21.5401762846368,3,"RITA"
0,1168.28729658742,1,"RITA"
0,0,2,"RITA"
0,1227.36374037053,5,"RITA"
0,0,23,"RITA"
1,2270.89596943067,1,"RITA"
0,1104.49786212442,3,"RITA"
0,1138.91305878037,1,"RITA"
0,1041.39992459531,5,"RITA"
0,1432.69630427703,3,"RITA"
0,1482.83554366571,1,"RITA"
0,2322.53453715126,1,"RITA"
0,712.005322074412,8,"RITA"
0,773.804032992197,4,"RITA"
0,0,13,"RITA"
0,3261.93841014416,15,"RITA"
0,901.415693242863,3,"RITA"
0,1435.72614274745,8,"RITA"
0,799.962313277211,8,"RITA"
0,778.693508365304,5,"RITA"
0,1070.94525712152,14,"RITA"
0,0,9,"RITA"
0,1535.02865007515,9,"RITA"
0,297.557477381046,3,"RITA"
0,1260.48716390626,18,"RITA"
1,689.287580461332,15,"RITA"
0,4059.04002432514,17,"RITA"
0,0,6,"RITA"
0,1211.33023234728,23,"RITA"
0,163.292766208666,11,"RITA"
0,436.224887365247,6,"RITA"
0,0,11,"RITA"
0,4031.64496485683,15,"RITA"
0,914.308035799273,3,"RITA"
0,753.309204956312,2,"RITA"
0,669.85375691581,3,"RITA"
0,1513.113278319,6,"RITA"
0,1184.11943409164,8,"RITA"
0,0,4,"RITA"
0,0,6,"RITA"
0,219.09881731991,2,"RITA"
0,0,4,"RITA"
0,0,3,"RITA"
0,178.468257178963,9,"RITA"
0,606.936550456592,4,"RITA"
2,3411.24798767228,10,"RITA"
0,556.604280274134,8,"RITA"
0,985.318099635633,7,"RITA"
0,1637.70304800299,10,"RITA"
0,950.234746594136,5,"RITA"
0,1258.6247750927,4,"RITA"
1,1499.43003509646,14,"RITA"
0,1239.6303610341,9,"RITA"
0,906.200175121778,10,"RITA"
0,0,12,"RITA"
0,1196.634763183,16,"RITA"
1,2.85451416938713,12,"RITA"
0,1825.51316038945,4,"RITA"
0,0,33,"RITA"
0,2324.22342793308,6,"RITA"
0,4188.32863353214,17,"RITA"
0,1613.6580074203,9,"RITA"
0,911.137230649267,3,"RITA"
0,4375.83479074968,5,"RITA"
0,1.16737377437585,6,"RITA"
0,116.976879617908,7,"RITA"
0,0,1,"RITA"
0,950.789574030567,15,"RITA"
0,2328.64133910246,11,"RITA"
0,0,6,"RITA"
0,3051.70584211001,24,"RITA"
0,0,11,"RITA"
0,1229.13628628686,10,"RITA"
0,676.347515234407,17,"RITA"
0,910.674137954806,6,"RITA"
0,0,5,"RITA"
1,4137.19618681895,4,"RITA"
0,546.368655911209,10,"RITA"
0,158.385591281694,11,"RITA"
0,690.647157567666,9,"RITA"
0,969.808443771924,2,"RITA"
1,1904.69695927581,19,"RITA"
1,2082.05093517457,5,"RITA"
1,397.397067470325,2,"RITA"
0,0,11,"RITA"
0,1164.96577319488,30,"RITA"
0,1069.30800952777,7,"RITA"
0,897.307093769659,14,"RITA"
0,534.900922597323,7,"RITA"
0,274.045933621897,4,"RITA"
0,1081.50547087924,15,"RITA"
0,1005.0465653186,6,"RITA"
0,707.506350255886,3,"RITA"
0,601.968505225248,15,"RITA"
0,805.917780670017,3,"RITA"
0,2826.81227519197,35,"RITA"
0,1462.83007079004,4,"RITA"
0,4539.0862162392,13,"RITA"
0,814.151752320313,7,"RITA"
0,0,10,"RITA"
0,1565.999885894,14,"RITA"
0,842.692783585277,5,"RITA"
0,588.480937579593,39,"RITA"
2,627.095421035843,10,"RITA"
0,606.489323459634,7,"RITA"
0,567.465805357749,70,"RITA"
0,153.250420143135,9,"RITA"
0,2335.80916940424,11,"RITA"
3,165.294510892994,3,"RITA"
0,0,4,"RITA"
0,117.731844407186,11,"RITA"
0,62.4001061930012,6,"RITA"
0,622.07505893893,8,"RITA"
0,629.682620096461,1,"RITA"
0,1045.32285159858,3,"RITA"
0,1150.30761111838,2,"RITA"
0,0,3,"RITA"
0,1475.33253161117,6,"RITA"
0,1888.97413679662,2,"RITA"
0,0,12,"RITA"
0,450.606265121896,1,"RITA"
0,1628.41075759806,2,"RITA"
0,982.711789250699,11,"RITA"
0,737.871290194323,1,"RITA"
0,454.624730793318,15,"RITA"
0,172.910972605015,1,"RITA"
0,479.574239147374,15,"RITA"
0,729.024031350085,19,"RITA"
0,285.043798216102,8,"RITA"
1,0,5,"RITA"
0,1933.15113282061,11,"RITA"
0,1567.68235530726,7,"RITA"
0,1525.39682266981,8,"RITA"
0,470.727961540434,16,"RITA"
0,2185.08617754051,17,"RITA"
0,0,44,"RITA"
0,124.111500550713,17,"RITA"
0,0,7,"RITA"
0,931.113579279985,2,"RITA"
0,1629.7165025093,9,"RITA"
0,196.310330762323,5,"RITA"
0,3767.04473553991,7,"RITA"
0,1539.76019552735,2,"RITA"
0,283.605595006998,59,"RITA"
0,1958.01183400977,12,"RITA"
0,1729.39046154131,10,"RITA"
1,1095.90871846057,7,"RITA"
0,1576.52322323834,8,"RITA"
0,3236.34278180231,20,"RITA"
0,203.020546707476,4,"RITA"
0,404.035455897184,1,"RITA"
0,0,7,"RITA"
0,622.291765512544,6,"RITA"
