"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"6",0,0,314.124516639154,2,17,15,17,17,"Size=2,D=0.005"
"11",0,0,1813.10662073927,2,14,12,14,14,"Size=2,D=0.005"
"18",0,4229.67885641899,1229.25012068026,2,20,18,20,20,"Size=2,D=0.005"
"23",0,2973.85980851511,552.715973339479,2,27,25,27,27,"Size=2,D=0.005"
"28",0,1442.03542910879,2068.52964177013,2,13,11,13,13,"Size=2,D=0.005"
"29",0,747.006277070017,1527.2916199843,2,8,6,8,8,"Size=2,D=0.005"
"32",0,507.257562419549,2332.40257529495,2,28,26,28,28,"Size=2,D=0.005"
"39",0,369.413080266529,2157.81401212861,2,25,23,25,25,"Size=2,D=0.005"
"56",0,555.915293103547,1279.30126567389,2,26,24,26,26,"Size=2,D=0.005"
"65",0,0,2211.69413516299,2,11,9,11,11,"Size=2,D=0.005"
"67",0,0,1413.18748188818,2,18,16,18,18,"Size=2,D=0.005"
"68",0,1062.16078351782,1527.67578995621,2,105,103,105,105,"Size=2,D=0.005"
"72",0,2365.02404912907,1627.84079640877,2,26,24,26,26,"Size=2,D=0.005"
"76",0,3486.86119968224,815.564079988516,2,16,14,16,16,"Size=2,D=0.005"
"83",0,2678.26245976034,574.804244172756,2,19,17,19,19,"Size=2,D=0.005"
"94",0,0,2057.79452934404,2,28,26,28,28,"Size=2,D=0.005"
"97",0,0,884.107095771737,2,14,12,14,14,"Size=2,D=0.005"
"100",0,1817.29023197673,2569.17447131015,2,0,0,2,0,"Size=2,D=0.005"
"107",0,1035.9180604876,1023.07098009104,2,22,20,22,22,"Size=2,D=0.005"
"109",0,276.210687104742,1146.37488861732,2,12,10,12,12,"Size=2,D=0.005"
"122",0,604.666042017777,874.274901617079,2,17,15,17,17,"Size=2,D=0.005"
"123",1,1232.12949579554,916.232443088689,2,16,14,16,16,"Size=2,D=0.005"
"127",0,3853.57551589521,1302.41981166508,2,17,15,17,17,"Size=2,D=0.005"
"141",0,653.859530618293,2464.67142185216,2,19,17,19,19,"Size=2,D=0.005"
"142",0,537.185063480741,2595.72542265791,2,20,18,20,20,"Size=2,D=0.005"
"144",0,630.937696763824,2536.60895456081,2,20,18,20,20,"Size=2,D=0.005"
"158",0,767.265995822475,1461.37950512685,2,51,49,51,51,"Size=2,D=0.005"
"166",0,214.187218509016,2027.75341199068,2,20,18,20,20,"Size=2,D=0.005"
"172",0,1075.81196386101,4104.4272226346,2,21,19,21,21,"Size=2,D=0.005"
"177",0,3361.35232444498,1079.1417840215,2,25,23,25,25,"Size=2,D=0.005"
"179",0,964.102518224917,1750.54846489204,2,17,15,17,17,"Size=2,D=0.005"
"183",0,1560.99613625013,930.478917051618,2,36,34,36,36,"Size=2,D=0.005"
"184",1,670.647228629949,1634.93240987816,2,15,13,15,15,"Size=2,D=0.005"
