"Strategy","Units","Contacts_Small","Contacts_Large"
"Size=5,D=0.005",406,2084,4127
"Size=2,D=0.005",2090,11173,11222
"Growth,size=5,W=6mo,D=0.01",20,101,186
"Random,10%",3639,11909,11909
"RITA",3733,12161,12161
"Network,partners>4",5620,28510,28510
