"pia","ida","contacts","simid","strategy"
0,0,10,"3","RITA"
0,2745.73413814989,3,"10","RITA"
0,95.0791536795441,6,"10","RITA"
1,394.673632076752,8,"10","RITA"
0,576.552673157163,1,"10","RITA"
0,710.881574601162,21,"10","RITA"
2,3004.60565337873,17,"16","RITA"
0,29.4491189245506,5,"22","RITA"
0,1536.46384670775,1,"29","RITA"
0,309.330746933467,3,"29","RITA"
0,3484.18670939657,16,"34","RITA"
0,1685.63735897608,3,"37","RITA"
0,1301.67897528573,2,"37","RITA"
0,40.2758443922849,8,"37","RITA"
1,549.812983371275,1,"46","RITA"
0,263.668329315491,15,"47","RITA"
0,19.1036603460557,1,"51","RITA"
0,0,7,"51","RITA"
0,20.6023284698158,4,"51","RITA"
0,2164.93377828095,4,"60","RITA"
0,319.870730979392,13,"68","RITA"
0,859.929748357078,11,"73","RITA"
0,3095.83712691219,21,"75","RITA"
0,1307.2177520948,14,"75","RITA"
0,368.319549522982,7,"78","RITA"
0,146.588409581174,10,"89","RITA"
0,1760.23124658076,1,"98","RITA"
0,0,12,"98","RITA"
0,373.991308933882,2,"102","RITA"
0,486.140484695429,2,"103","RITA"
0,0,5,"103","RITA"
0,667.035188537134,13,"106","RITA"
0,1230.77451697646,6,"108","RITA"
0,1071.64240555446,4,"108","RITA"
0,105.840919444903,9,"108","RITA"
0,2818.05143123667,23,"108","RITA"
0,417.583168846708,1,"108","RITA"
0,1652.35842240929,3,"108","RITA"
0,624.318389848527,2,"111","RITA"
0,85.4423446045248,5,"116","RITA"
0,238.96917552137,3,"131","RITA"
0,526.441789992961,4,"134","RITA"
0,1958.74898604548,2,"139","RITA"
0,1178.68660704232,1,"145","RITA"
0,1368.74199325675,4,"146","RITA"
0,1145.25089353165,20,"146","RITA"
0,1170.85135192283,3,"146","RITA"
0,2251.02503849795,2,"146","RITA"
0,610.670784933387,3,"146","RITA"
0,314.65544970335,21,"151","RITA"
0,860.04036529206,5,"156","RITA"
0,1052.2619903031,1,"156","RITA"
0,143.490031459688,8,"157","RITA"
0,4227.32559277208,5,"163","RITA"
0,2545.81949273894,16,"163","RITA"
0,540.423739397658,1,"163","RITA"
0,530.572332932552,5,"164","RITA"
0,952.749377868801,4,"169","RITA"
0,900.468276281337,3,"169","RITA"
0,740.315828630572,10,"169","RITA"
1,2838.69598385736,4,"171","RITA"
0,626.535681834191,2,"171","RITA"
0,331.332716473302,8,"182","RITA"
0,214.050188871845,1,"182","RITA"
0,3644.52694970329,15,"184","RITA"
0,928.43783527311,9,"188","RITA"
0,1741.20900932035,8,"197","RITA"
1,202.184925551491,9,"199","RITA"
0,0,3,"199","RITA"
0,2454.70298181614,6,"201","RITA"
1,0,13,"201","RITA"
0,0,10,"206","RITA"
0,0,2,"206","RITA"
0,919.036806934521,1,"206","RITA"
0,0,7,"206","RITA"
0,4963.96034739158,5,"207","RITA"
0,0,10,"210","RITA"
0,652.096618617056,3,"217","RITA"
1,65.1946623329213,3,"224","RITA"
0,1563.70200773381,1,"224","RITA"
0,1251.93423375817,33,"224","RITA"
0,1462.0330359491,16,"224","RITA"
0,820.910670544772,5,"224","RITA"
0,302.375000856672,12,"226","RITA"
0,1796.77636531498,1,"241","RITA"
0,1865.27154086494,10,"241","RITA"
0,620.062530293212,3,"241","RITA"
0,0,3,"242","RITA"
0,1179.86402633151,6,"242","RITA"
0,43.6886423917557,7,"246","RITA"
0,168.238624408776,9,"246","RITA"
0,279.892195738943,4,"247","RITA"
0,923.919189183466,2,"248","RITA"
0,750.477620721806,5,"249","RITA"
1,2222.01420621147,8,"252","RITA"
0,763.062497761982,2,"259","RITA"
0,1323.62016397504,1,"260","RITA"
0,0,7,"260","RITA"
0,1351.90966934614,3,"265","RITA"
0,1092.08894481698,1,"283","RITA"
0,2213.17859718995,1,"287","RITA"
0,1338.63495692123,4,"290","RITA"
0,179.004314675062,4,"294","RITA"
0,162.638391635065,10,"297","RITA"
0,1645.51788252785,9,"304","RITA"
0,1038.31346543867,2,"307","RITA"
0,3926.12865326219,5,"307","RITA"
0,0,9,"309","RITA"
0,0,1,"309","RITA"
0,198.967004586586,11,"311","RITA"
0,845.505987302895,15,"311","RITA"
