"Strategy","Units","Contacts_Small","Contacts_Large"
"Size=5,D=0.005",1955,92596,113061
"Size=2,D=0.005",10281,249510,249422
"Growth,size=5,W=6mo,D=0.01",98,4606,5650
"Growth,size=2,W=6mo,D=0.01",5550,131029,131361
"Random,30%",54525,597772,597772
"RITA",19189,164602,164602
"Network,partners>4",134461,1894120,1894120
"RITA+Secondary,W=6mo",18862,289179,224999
