"pia","puta","contacts_small","contacts_large","strategy"
0,0,10,10,"RITA+Secondary,W=6mo"
0,336.671960338841,3,3,"RITA+Secondary,W=6mo"
0,506.145431143995,11,8,"RITA+Secondary,W=6mo"
0,570.442421623618,29,29,"RITA+Secondary,W=6mo"
2,5280.4250236044,19,18,"RITA+Secondary,W=6mo"
0,213.976850486069,3,2,"RITA+Secondary,W=6mo"
0,401.541035574147,31,31,"RITA+Secondary,W=6mo"
2,3484.29748115231,22,11,"RITA+Secondary,W=6mo"
2,2047.61887440122,22,10,"RITA+Secondary,W=6mo"
0,1629.53995982047,13,10,"RITA+Secondary,W=6mo"
0,1491.5363311093,19,11,"RITA+Secondary,W=6mo"
1,5289.6255990053,27,19,"RITA+Secondary,W=6mo"
2,2571.99430003373,5,5,"RITA+Secondary,W=6mo"
0,101.612816409465,16,16,"RITA+Secondary,W=6mo"
0,622.467636898532,19,11,"RITA+Secondary,W=6mo"
0,1235.95930739721,4,4,"RITA+Secondary,W=6mo"
0,1856.27923648532,21,11,"RITA+Secondary,W=6mo"
0,1008.17753345867,12,10,"RITA+Secondary,W=6mo"
0,3903.45139147825,20,13,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,2491.75313848202,2,2,"RITA+Secondary,W=6mo"
0,1037.03659736035,7,7,"RITA+Secondary,W=6mo"
1,1406.13137308438,44,26,"RITA+Secondary,W=6mo"
0,703.455460047878,5,5,"RITA+Secondary,W=6mo"
3,4456.55053355946,24,9,"RITA+Secondary,W=6mo"
0,2458.33299374163,22,20,"RITA+Secondary,W=6mo"
0,3597.3488568691,13,13,"RITA+Secondary,W=6mo"
2,3188.07919941979,9,5,"RITA+Secondary,W=6mo"
0,1182.84616440135,4,4,"RITA+Secondary,W=6mo"
0,319.164046468341,6,6,"RITA+Secondary,W=6mo"
0,1256.27748984989,14,8,"RITA+Secondary,W=6mo"
0,1014.43932134613,16,16,"RITA+Secondary,W=6mo"
0,914.075380495652,16,16,"RITA+Secondary,W=6mo"
0,0,22,22,"RITA+Secondary,W=6mo"
0,49.2651926703295,2,2,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,888.681092075813,17,13,"RITA+Secondary,W=6mo"
0,191.742467343,14,14,"RITA+Secondary,W=6mo"
1,1481.0765475881,19,17,"RITA+Secondary,W=6mo"
0,275.53979546438,22,12,"RITA+Secondary,W=6mo"
0,1138.91305878037,0,0,"RITA+Secondary,W=6mo"
1,3710.48874563368,153,118,"RITA+Secondary,W=6mo"
1,2618.07924062733,10,10,"RITA+Secondary,W=6mo"
0,1041.39992459531,4,4,"RITA+Secondary,W=6mo"
1,654.856514725124,13,13,"RITA+Secondary,W=6mo"
0,360.833974948675,3,3,"RITA+Secondary,W=6mo"
0,940.63806230391,8,8,"RITA+Secondary,W=6mo"
1,1073.22709387259,6,6,"RITA+Secondary,W=6mo"
2,3073.14042191071,17,17,"RITA+Secondary,W=6mo"
0,712.005322074412,18,11,"RITA+Secondary,W=6mo"
0,0,6,6,"RITA+Secondary,W=6mo"
1,2672.2272724767,33,16,"RITA+Secondary,W=6mo"
1,4105.97816380047,17,15,"RITA+Secondary,W=6mo"
0,4508.50234218512,12,12,"RITA+Secondary,W=6mo"
2,4669.12248813303,126,102,"RITA+Secondary,W=6mo"
0,778.693508365304,4,4,"RITA+Secondary,W=6mo"
0,1535.02865007515,8,8,"RITA+Secondary,W=6mo"
0,1124.49580454438,10,10,"RITA+Secondary,W=6mo"
0,998.309746882892,90,71,"RITA+Secondary,W=6mo"
0,297.557477381046,8,6,"RITA+Secondary,W=6mo"
1,249.621891495332,37,28,"RITA+Secondary,W=6mo"
0,180.904983957321,5,5,"RITA+Secondary,W=6mo"
0,3740.65169084637,71,42,"RITA+Secondary,W=6mo"
0,1529.47139989401,7,4,"RITA+Secondary,W=6mo"
0,2654.83209337087,24,24,"RITA+Secondary,W=6mo"
0,436.224887365247,14,9,"RITA+Secondary,W=6mo"
0,1431.97605827502,13,13,"RITA+Secondary,W=6mo"
0,914.308035799273,2,2,"RITA+Secondary,W=6mo"
0,2830.3257940171,57,33,"RITA+Secondary,W=6mo"
0,1999.72006047068,10,10,"RITA+Secondary,W=6mo"
0,355.630296581676,8,8,"RITA+Secondary,W=6mo"
0,970.108030441785,17,15,"RITA+Secondary,W=6mo"
0,1184.11943409164,7,7,"RITA+Secondary,W=6mo"
0,420.33544849048,6,5,"RITA+Secondary,W=6mo"
0,1862.45889623772,1,1,"RITA+Secondary,W=6mo"
0,1540.10415515413,9,9,"RITA+Secondary,W=6mo"
0,1774.76113295951,17,9,"RITA+Secondary,W=6mo"
0,2860.9257784485,28,25,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,389.95316886589,4,4,"RITA+Secondary,W=6mo"
0,792.55504241499,16,16,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
5,3172.13258086153,14,9,"RITA+Secondary,W=6mo"
2,3411.24798767228,16,9,"RITA+Secondary,W=6mo"
2,3958.05068387331,18,10,"RITA+Secondary,W=6mo"
2,556.604280274134,20,13,"RITA+Secondary,W=6mo"
2,985.318099635633,17,11,"RITA+Secondary,W=6mo"
2,729.922581470615,17,14,"RITA+Secondary,W=6mo"
2,2373.13543439417,29,12,"RITA+Secondary,W=6mo"
1,2263.64101938191,1,1,"RITA+Secondary,W=6mo"
0,2327.32212446025,19,16,"RITA+Secondary,W=6mo"
0,263.731098762049,4,4,"RITA+Secondary,W=6mo"
0,0,11,11,"RITA+Secondary,W=6mo"
1,1161.86506369511,27,16,"RITA+Secondary,W=6mo"
0,2410.90739200674,13,10,"RITA+Secondary,W=6mo"
0,0,32,32,"RITA+Secondary,W=6mo"
0,0,15,15,"RITA+Secondary,W=6mo"
0,4020.18861387639,31,30,"RITA+Secondary,W=6mo"
0,2324.22342793308,5,5,"RITA+Secondary,W=6mo"
0,145.158820914082,6,6,"RITA+Secondary,W=6mo"
1,3441.56651872013,16,8,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
1,911.137230649267,30,18,"RITA+Secondary,W=6mo"
0,2902.93669864796,10,5,"RITA+Secondary,W=6mo"
4,3296.37763469589,38,29,"RITA+Secondary,W=6mo"
0,1057.2994366724,15,15,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,392.784549122007,11,11,"RITA+Secondary,W=6mo"
0,950.789574030567,14,14,"RITA+Secondary,W=6mo"
1,4396.0466122613,31,21,"RITA+Secondary,W=6mo"
0,446.248583548528,0,0,"RITA+Secondary,W=6mo"
0,1744.90060792494,3,3,"RITA+Secondary,W=6mo"
0,867.871199783459,3,3,"RITA+Secondary,W=6mo"
0,1229.13628628686,9,9,"RITA+Secondary,W=6mo"
0,676.347515234407,60,29,"RITA+Secondary,W=6mo"
0,100.990532631672,4,4,"RITA+Secondary,W=6mo"
0,2620.26692111854,28,17,"RITA+Secondary,W=6mo"
0,910.674137954806,5,5,"RITA+Secondary,W=6mo"
0,1803.56310514869,13,9,"RITA+Secondary,W=6mo"
0,158.385591281694,23,13,"RITA+Secondary,W=6mo"
2,1031.81930408888,14,13,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,1102.6004695175,0,0,"RITA+Secondary,W=6mo"
3,3471.98631529979,34,18,"RITA+Secondary,W=6mo"
1,766.115361747011,6,5,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,385.799492967203,5,5,"RITA+Secondary,W=6mo"
0,1164.96577319488,29,29,"RITA+Secondary,W=6mo"
0,0,17,17,"RITA+Secondary,W=6mo"
0,4899.46805629018,24,24,"RITA+Secondary,W=6mo"
0,2131.47436395144,1,1,"RITA+Secondary,W=6mo"
3,4359.32594145663,22,17,"RITA+Secondary,W=6mo"
0,707.506350255886,3,2,"RITA+Secondary,W=6mo"
0,805.917780670017,2,2,"RITA+Secondary,W=6mo"
2,4659.0272132683,51,34,"RITA+Secondary,W=6mo"
3,1678.77941171831,27,13,"RITA+Secondary,W=6mo"
3,4539.0862162392,36,24,"RITA+Secondary,W=6mo"
1,2161.28113664186,49,24,"RITA+Secondary,W=6mo"
0,848.069783729723,14,14,"RITA+Secondary,W=6mo"
1,4479.00195188612,9,9,"RITA+Secondary,W=6mo"
0,1565.999885894,28,15,"RITA+Secondary,W=6mo"
1,842.692783585277,15,11,"RITA+Secondary,W=6mo"
