"pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
0,355.630296581676,290.880426968596,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,1206.47437456329,262.801001983795,3,NA,NA,18,15,"RITA+Secondary,W=6mo"
0,1184.11943409164,3710.42566932216,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
1,156.643149760429,1819.24659187761,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,0,2931.43383068161,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,420.33544849048,2607.75581353193,2,NA,NA,6,5,"RITA+Secondary,W=6mo"
0,664.964303722621,3205.94135545284,2,NA,NA,1,1,"RITA+Secondary,W=6mo"
0,1796.30971994857,418.590163112702,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,1862.45889623772,1705.34155380049,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
0,1774.76113295951,2188.76719610142,2,NA,NA,17,9,"RITA+Secondary,W=6mo"
3,3713.73390196576,1512.31092467889,2,NA,NA,13,9,"RITA+Secondary,W=6mo"
0,0,1396.21589954776,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,679.846397857803,3076.39337151255,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,792.55504241499,913.451462243154,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
0,247.805240847789,1701.74018251076,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,498.962031182883,3800.59985992122,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
2,3958.05068387331,2596.8444856808,3,NA,NA,18,10,"RITA+Secondary,W=6mo"
2,556.604280274134,2679.17933058008,2,NA,NA,20,13,"RITA+Secondary,W=6mo"
2,985.318099635633,918.55996915282,2,NA,NA,17,11,"RITA+Secondary,W=6mo"
0,3172.99875550914,1880.10465034433,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
0,4758.73685942835,1750.13618971578,4,NA,NA,20,11,"RITA+Secondary,W=6mo"
2,729.922581470615,5146.63568451942,2,NA,NA,17,14,"RITA+Secondary,W=6mo"
2,2373.13543439417,3217.70757580383,3,NA,NA,29,12,"RITA+Secondary,W=6mo"
1,2263.64101938191,527.780559383992,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
0,950.234746594136,841.631479079211,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,2327.32212446025,1609.31078332732,2,NA,NA,19,16,"RITA+Secondary,W=6mo"
1,1499.43003509646,1207.57927700535,1,NA,NA,13,13,"RITA+Secondary,W=6mo"
0,1239.6303610341,1467.37895106771,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,49.3692202197437,712.082731400396,1,NA,NA,1,1,"RITA+Secondary,W=6mo"
2,1772.37490499785,1008.74379792024,2,NA,NA,28,19,"RITA+Secondary,W=6mo"
0,1142.15603535634,1155.6895463114,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
1,1161.86506369511,1138.83503214201,2,NA,NA,27,16,"RITA+Secondary,W=6mo"
0,266.776373309015,562.004656670484,2,NA,NA,25,15,"RITA+Secondary,W=6mo"
0,0,1210.08882465711,1,NA,NA,32,32,"RITA+Secondary,W=6mo"
0,0,1913.88170665591,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
0,4911.17951085382,2092.94830091049,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
6,5545.32083882864,1551.22520185428,4,NA,NA,133,93,"RITA+Secondary,W=6mo"
0,1620.63684058745,1992.9568883312,2,NA,NA,14,8,"RITA+Secondary,W=6mo"
0,1328.3078753414,2288.28657977558,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
1,3441.56651872013,2795.34617381211,2,NA,NA,16,8,"RITA+Secondary,W=6mo"
0,114.532402770665,3082.79060907993,2,NA,NA,18,18,"RITA+Secondary,W=6mo"
1,4375.83479074968,170.41857521238,2,NA,NA,14,10,"RITA+Secondary,W=6mo"
0,2902.93669864796,1359.61859706965,2,NA,NA,10,5,"RITA+Secondary,W=6mo"
1,2244.38808346541,1406.8474201744,3,NA,NA,33,18,"RITA+Secondary,W=6mo"
0,1057.2994366724,2219.08203930828,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
0,0,951.991628745975,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
0,116.976879617908,1757.5447074258,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,0,3027.0768080015,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
0,171.028454032087,5917.1708703013,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
3,5037.39401897628,535.52286513537,3,NA,NA,58,26,"RITA+Secondary,W=6mo"
1,4396.0466122613,749.305334040362,2,NA,NA,31,21,"RITA+Secondary,W=6mo"
0,867.871199783459,1652.16613366513,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,676.347515234407,5645.71294101508,3,NA,NA,60,29,"RITA+Secondary,W=6mo"
0,1328.3221424688,512.41841599192,1,NA,NA,15,15,"RITA+Secondary,W=6mo"
0,1803.56310514869,3680.56505456879,2,NA,NA,13,9,"RITA+Secondary,W=6mo"
0,0,3672.82741257419,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
1,5740.02844733473,987.195072682407,3,NA,NA,15,11,"RITA+Secondary,W=6mo"
1,617.964606852687,791.175558659249,2,NA,NA,22,13,"RITA+Secondary,W=6mo"
0,158.385591281694,1179.15862328876,2,NA,NA,23,13,"RITA+Secondary,W=6mo"
2,1031.81930408888,586.657790959279,2,NA,NA,14,13,"RITA+Secondary,W=6mo"
1,1904.69695927581,688.891699460919,1,NA,NA,18,18,"RITA+Secondary,W=6mo"
3,3471.98631529979,511.537723562164,3,NA,NA,34,18,"RITA+Secondary,W=6mo"
1,766.115361747011,2907.79541478923,2,NA,NA,6,5,"RITA+Secondary,W=6mo"
0,385.799492967203,1062.64085762084,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
0,0,2159.35521458237,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,1164.96577319488,4219.41507976857,2,NA,NA,29,29,"RITA+Secondary,W=6mo"
0,1069.30800952777,1866.44286587095,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,534.900922597323,1103.24047557776,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,0,1504.052808898,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,707.506350255886,2558.62281545541,2,NA,NA,3,2,"RITA+Secondary,W=6mo"
0,601.968505225248,2381.36266556629,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
3,1678.77941171831,1472.98169884857,3,NA,NA,27,13,"RITA+Secondary,W=6mo"
0,0,1587.66141055311,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
0,1462.83007079004,55.3333449573361,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
3,4539.0862162392,2141.69395466784,2,NA,NA,36,24,"RITA+Secondary,W=6mo"
1,2161.28113664186,3354.55690450145,3,NA,NA,49,24,"RITA+Secondary,W=6mo"
0,848.069783729723,1514.13154137079,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
2,2811.08791322486,5690.65494474128,3,NA,NA,44,23,"RITA+Secondary,W=6mo"
0,0,1658.23577491312,1,NA,NA,12,12,"RITA+Secondary,W=6mo"
1,7985.20994949146,2473.90146950015,3,NA,NA,82,38,"RITA+Secondary,W=6mo"
0,3965.13472392581,2986.79257645581,1,NA,NA,11,11,"RITA+Secondary,W=6mo"
1,4129.27170900818,2520.05807092962,2,NA,NA,69,38,"RITA+Secondary,W=6mo"
2,3767.33198740548,2432.9522818126,2,NA,NA,20,11,"RITA+Secondary,W=6mo"
0,0,3007.28362317241,1,NA,NA,37,37,"RITA+Secondary,W=6mo"
0,1920.96798970439,3552.59547341846,2,NA,NA,76,69,"RITA+Secondary,W=6mo"
0,330.21329614345,3881.96994912914,2,NA,NA,47,39,"RITA+Secondary,W=6mo"
3,165.294510892994,2408.17427133864,2,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,0,2552.72610768595,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,0,2814.08987923363,1,NA,NA,14,14,"RITA+Secondary,W=6mo"
0,117.731844407186,1694.14612069402,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
0,62.4001061930012,3939.71224899962,2,NA,NA,17,12,"RITA+Secondary,W=6mo"
1,1230.05451873775,2687.0281396661,3,NA,NA,14,7,"RITA+Secondary,W=6mo"
0,1475.33253161117,4628.92023659784,2,NA,NA,5,5,"RITA+Secondary,W=6mo"
4,2873.39326868353,3727.39753151346,2,NA,NA,15,14,"RITA+Secondary,W=6mo"
0,1805.76753515351,4261.21039827847,2,NA,NA,3,3,"RITA+Secondary,W=6mo"
4,3388.32098597708,2405.88242394545,2,NA,NA,28,18,"RITA+Secondary,W=6mo"
0,0,6220.62869849765,1,NA,NA,10,10,"RITA+Secondary,W=6mo"
1,874.088840130884,3508.06077662522,2,NA,NA,23,23,"RITA+Secondary,W=6mo"
0,439.8695539206,6363.52969357781,1,NA,NA,28,28,"RITA+Secondary,W=6mo"
1,2516.85573444372,4958.33492364684,2,NA,NA,18,10,"RITA+Secondary,W=6mo"
0,66.0520700346742,6596.20850205359,1,NA,NA,9,9,"RITA+Secondary,W=6mo"
0,386.613372213827,5571.44774582952,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
0,673.712359267372,315.853674441701,2,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,293.598704356957,2669.09729970686,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,112.306253464993,865.621148480404,1,NA,NA,18,18,"RITA+Secondary,W=6mo"
1,285.043798216102,6019.73455631853,2,NA,NA,7,7,"RITA+Secondary,W=6mo"
1,1683.73660051571,3767.91958793577,2,NA,NA,7,5,"RITA+Secondary,W=6mo"
1,2147.18705954395,756.656125064677,2,NA,NA,20,14,"RITA+Secondary,W=6mo"
0,2185.08617754051,487.788509183211,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
0,627.763368945741,1213.35091909969,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,124.111500550713,1075.23941854898,1,NA,NA,16,16,"RITA+Secondary,W=6mo"
1,7099.46418818192,963.157289335561,2,NA,NA,61,47,"RITA+Secondary,W=6mo"
0,1749.70866230664,1194.78979042022,2,NA,NA,9,8,"RITA+Secondary,W=6mo"
0,196.310330762323,546.829792985252,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,0,336.556154155718,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,1295.11067508421,1581.43494261199,2,NA,NA,26,20,"RITA+Secondary,W=6mo"
2,2033.28441831996,1790.25754320167,2,NA,NA,29,16,"RITA+Secondary,W=6mo"
0,420.219715091678,3613.66949638606,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
0,564.393137091203,2086.36530875114,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
1,751.087279362622,2676.19812208615,3,NA,NA,23,11,"RITA+Secondary,W=6mo"
0,3934.54294600039,3836.13413464182,2,NA,NA,15,14,"RITA+Secondary,W=6mo"
0,148.583588008147,4344.10404935783,2,NA,NA,11,11,"RITA+Secondary,W=6mo"
2,1958.01183400977,2354.08366757124,4,NA,NA,53,18,"RITA+Secondary,W=6mo"
1,1729.39046154131,2528.56891240734,2,NA,NA,27,18,"RITA+Secondary,W=6mo"
0,2535.60628407637,4605.32627317153,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
2,2644.27914168133,6072.54771084005,2,NA,NA,55,49,"RITA+Secondary,W=6mo"
0,3850.2664015852,1824.5876359693,2,NA,NA,7,7,"RITA+Secondary,W=6mo"
0,203.020546707476,72.5240275188735,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,404.035455897184,2375.4336938677,2,NA,NA,5,5,"RITA+Secondary,W=6mo"
0,0,1463.89718020476,1,NA,NA,6,6,"RITA+Secondary,W=6mo"
0,956.087715319367,2459.3474972767,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
0,832.701814556661,257.62161988185,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,1570.63612589941,441.108872416421,1,NA,NA,8,8,"RITA+Secondary,W=6mo"
0,816.11660487105,699.92133206215,1,NA,NA,38,38,"RITA+Secondary,W=6mo"
0,67.6962622775886,3147.32779680112,2,NA,NA,25,19,"RITA+Secondary,W=6mo"
0,5898.01778777498,2131.23975688061,2,NA,NA,12,11,"RITA+Secondary,W=6mo"
0,617.639230071677,3638.42751173657,2,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,914.782220698435,297.383584788704,2,NA,NA,26,18,"RITA+Secondary,W=6mo"
0,1542.86169830766,1440.55638718796,2,NA,NA,22,20,"RITA+Secondary,W=6mo"
0,1890.6681893394,691.06722488136,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,985.054351506982,2227.41460896468,2,NA,NA,17,17,"RITA+Secondary,W=6mo"
0,583.056144251178,2008.67519568369,3,NA,NA,34,29,"RITA+Secondary,W=6mo"
0,1856.20724356373,329.917363937527,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,0,4789.4075783324,1,NA,NA,2,2,"RITA+Secondary,W=6mo"
0,236.194254552626,2092.8363243116,2,NA,NA,9,9,"RITA+Secondary,W=6mo"
0,0,1944.13225152496,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,1073.5290526748,3324.08296089084,1,NA,NA,18,18,"RITA+Secondary,W=6mo"
0,2001.24239178477,373.867301172367,1,NA,NA,4,4,"RITA+Secondary,W=6mo"
0,1597.22253879495,3166.45101577964,1,NA,NA,3,3,"RITA+Secondary,W=6mo"
2,1109.43381085494,3932.4093070236,2,NA,NA,3,3,"RITA+Secondary,W=6mo"
0,0,3666.12096494855,1,NA,NA,7,7,"RITA+Secondary,W=6mo"
0,2136.35687976531,621.977258764204,2,NA,NA,1,1,"RITA+Secondary,W=6mo"
0,1108.68483004189,468.960745077292,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
0,5795.47744119725,1262.68816577176,2,NA,NA,15,10,"RITA+Secondary,W=6mo"
0,43.3951206972115,2843.92584153159,1,NA,NA,5,5,"RITA+Secondary,W=6mo"
2,2074.35226648684,5238.23929604616,2,NA,NA,19,11,"RITA+Secondary,W=6mo"
0,1469.09019020856,230.248595771786,2,NA,NA,26,15,"RITA+Secondary,W=6mo"
0,507.484379481171,5240.77214129528,2,NA,NA,103,85,"RITA+Secondary,W=6mo"
0,178.420418221919,450.633950521483,1,NA,NA,0,0,"RITA+Secondary,W=6mo"
0,0,933.892573632665,1,NA,NA,17,17,"RITA+Secondary,W=6mo"
