"Strategy","Contacts_Small","Contacts_Large","Total_PUTA","PUTA/contact_small","Median_small","Low_small","High_small","Total_PUTA_lg","PUTA/contact_large","Median_large","Low_large","High_large","PIA","PIA_Low","PIA_High"
"Size=5,D=0.005",130.154160008571,199.934422738457,7801.16170581468,59.9378591149214,0,0,182.217581007719,7801.16170581468,39.0186021944793,0,0,105.523819178827,0.0588235294117647,0,0
"Size=2,D=0.005",4259.59577690758,4799.43172686233,395380.191255342,92.8210590776722,0,0,343.046744304147,395380.191255342,82.3806262400622,0,0,310.53790984487,0.0124013528748591,0,0
"Growth, size=5,W=6mo,D=0.1",3.12614121844723,3.12614121844723,3304.87714493833,1057.17461688435,1057.17461688435,1057.17461688435,1057.17461688435,3304.87714493833,1057.17461688435,1057.17461688435,1057.17461688435,1057.17461688435,0,0,0
"Random allocation",95.8555691274702,95.8555691274702,22161.9595876841,231.201585775499,88.1366299067322,0,727.388084812575,22161.9595876841,231.201585775499,88.1366299067322,0,727.388084812575,0.0666666666666667,0,1
"RITA",12307.8214058769,12307.8214058769,3822787.70469901,310.598243071162,219.283554425441,0,860.519537759567,3822787.70469901,310.598243071162,219.283554425441,0,860.519537759567,0.051930758988016,0,1
"Network, partners>4",28509.8676440671,28509.8676440671,6325069.32048283,221.855443155629,127.866469374079,0,602.769493904675,6325069.32048283,221.855443155629,127.866469374079,0,602.769493904675,0.0501779359430605,0,0.19999931447914
