"simid","pia","ida","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"45912",0,2651.18295594989,707.486525145216,2,29,27,29,29,"Size=2,D=0.005"
"45913",0,775.541568071978,1100.95906728341,2,11,9,11,11,"Size=2,D=0.005"
"45918",0,0,1721.21494758498,2,19,17,19,19,"Size=2,D=0.005"
"45920",1,2621.99789910137,1720.53027262102,2,4,2,4,4,"Size=2,D=0.005"
"45928",0,1262.63400370804,3144.52454096633,2,20,18,20,20,"Size=2,D=0.005"
"45930",0,1209.69875174429,1323.15385001129,2,39,37,39,39,"Size=2,D=0.005"
"45941",0,3478.55765325969,1313.95018176993,2,23,21,23,23,"Size=2,D=0.005"
"45949",0,1639.09464184745,837.007017022005,2,22,20,22,22,"Size=2,D=0.005"
"45951",0,720.207672680863,3128.78466473855,2,12,10,12,12,"Size=2,D=0.005"
"45953",0,2527.45308663251,1800.12632350343,2,16,14,16,16,"Size=2,D=0.005"
"45959",0,2188.16722908627,253.401794158701,2,40,38,40,40,"Size=2,D=0.005"
"45964",0,902.11271481068,1817.54950893716,2,16,14,16,16,"Size=2,D=0.005"
"45975",0,811.140032389247,2844.40908400513,2,23,21,23,23,"Size=2,D=0.005"
"45979",0,384.675963963579,1257.85413436273,2,25,23,25,25,"Size=2,D=0.005"
"45984",0,151.461867359304,849.282729624586,2,12,10,12,12,"Size=2,D=0.005"
"45985",0,4911.46071793409,1112.8561906047,2,28,26,28,28,"Size=2,D=0.005"
"45989",0,330.91661110244,1408.41146607839,2,33,31,33,33,"Size=2,D=0.005"
"45992",0,4076.45674891705,649.783298005674,2,14,12,14,14,"Size=2,D=0.005"
"45996",0,785.355388896758,1140.19203817274,2,12,10,12,12,"Size=2,D=0.005"
"46000",0,5751.92336123002,336.493692463756,2,21,19,21,21,"Size=2,D=0.005"
"46005",0,1227.99277759688,887.083966534889,2,33,31,33,33,"Size=2,D=0.005"
"46017",1,584.144184312442,145.419192664968,2,13,11,13,13,"Size=2,D=0.005"
"46021",0,0,3139.87006084537,2,26,24,26,26,"Size=2,D=0.005"
"46022",0,1374.92253922874,2405.08691175605,2,23,21,23,23,"Size=2,D=0.005"
"46023",0,1665.71667047499,3733.42329148466,2,28,26,28,28,"Size=2,D=0.005"
"46025",1,354.507744416015,685.377826930499,2,49,47,49,49,"Size=2,D=0.005"
"46028",0,0,3957.63769042093,2,24,22,24,24,"Size=2,D=0.005"
"46029",0,1626.34084845233,622.664285009567,2,15,13,15,15,"Size=2,D=0.005"
"46033",0,0,1618.01057535804,2,20,18,20,20,"Size=2,D=0.005"
"46035",0,474.447947731668,1360.3033458741,2,9,7,9,9,"Size=2,D=0.005"
"46036",0,4299.87890999829,800.966291629039,2,25,23,25,25,"Size=2,D=0.005"
"46043",0,38.5306049003821,919.456173797956,2,29,27,29,29,"Size=2,D=0.005"
"46057",0,100.509004054068,1226.61120061408,2,39,37,39,39,"Size=2,D=0.005"
"46064",0,374.860293222624,2926.78234148385,2,14,12,14,14,"Size=2,D=0.005"
"46075",0,1189.8595646291,731.280999824872,2,12,10,12,12,"Size=2,D=0.005"
"46079",0,3180.28594946713,778.994625230275,2,32,30,32,32,"Size=2,D=0.005"
"46081",0,293.304335940548,829.79402383388,2,30,28,30,30,"Size=2,D=0.005"
"46085",0,1956.04129390835,1338.12819545231,2,34,32,34,34,"Size=2,D=0.005"
"46093",0,1259.75898436447,2106.43811599477,2,15,13,15,15,"Size=2,D=0.005"
"46098",0,2047.75133053773,3080.56961750474,2,27,25,27,27,"Size=2,D=0.005"
"46105",0,0,1712.92774346598,2,10,8,10,10,"Size=2,D=0.005"
"46106",1,0,2056.20297610102,2,30,28,30,30,"Size=2,D=0.005"
"46108",0,0,1516.37687494193,2,27,25,27,27,"Size=2,D=0.005"
"46114",0,0,2349.89725967056,2,27,25,27,27,"Size=2,D=0.005"
"46121",0,258.955891563882,1646.49363599411,2,33,31,33,33,"Size=2,D=0.005"
"46122",0,1165.6221390553,1638.00508344064,2,7,6,8,7,"Size=2,D=0.005"
"46124",0,0,2637.11354801521,2,26,24,26,26,"Size=2,D=0.005"
"46126",0,3698.30723681335,1271.29313709483,2,17,15,17,17,"Size=2,D=0.005"
"46128",0,2231.41177212789,1388.76215059937,2,26,24,26,26,"Size=2,D=0.005"
"46134",0,0,683.484420277091,2,10,8,10,10,"Size=2,D=0.005"
"46145",0,790.191108959776,1694.0529835106,2,14,12,14,14,"Size=2,D=0.005"
"46157",0,28.6389516327849,2106.74503184983,2,6,4,6,6,"Size=2,D=0.005"
"46159",0,1544.00450610361,1140.9463593074,3,34,28,31,33,"Size=2,D=0.005"
