"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median_PUTA","Low_PUTA","High_PUTA","Total_PIA","PIA/contact","Median_PIA","Low_PIA","High_PIA"
"Size=5,D=0.005","small",17831,739285.720678625,41.460698821077,34.899135219779,0.68965905240743,118.624540091277,26,0.00145813470921429,0,0,0
"Size=5,D=0.005","large",21778,739285.720678625,33.9464469041521,27.6113104443065,0.577025087969854,86.8852702987678,26,0.00119386536872073,0,0,0
"Size=2,D=0.005","small",50737,2931557.76622539,57.779485705213,46.7655854030235,0,183.570348199831,177,0.00348857835504661,0,0,0
"Size=2,D=0.005","large",50697,2931557.76622539,57.8250737957945,46.9776468794237,0,185.101813795538,177,0.00349133084797917,0,0,0
"Growth,size=5,W=6mo,D=0.01","small",631,62553.0777833693,99.1332452985251,108.327262417769,26.9013797978587,285.110541889116,5,0.00792393026941363,0,0,0.0305614035087719
"Growth,size=5,W=6mo,D=0.01","large",816,62553.0777833693,76.6581835580506,85.9578860578066,22.5394107821253,179.282634759475,5,0.00612745098039216,0,0,0.0251285647498831
"Random,10%","-",40750,3216354.40338852,78.9289424144422,37.5979560013782,0,407.947835765287,175,0.00429447852760736,0,0,0
"RITA","-",32071,4160044.35175306,129.713583977832,116.694872611637,0,651.988786916624,354,0.0110380094166069,0,0,0
"Network,partners>4","-",379101,25520703.3752167,67.3190083255299,36.0230570750962,0,241.996669578813,1365,0.0036006235805234,0,0,0
"RITA+Secondary,W=6mo","small",57957,6013276.71913476,103.754105960191,88.551088836384,0,445.961314858391,2149,0.0370792138999603,0,0,0.125
"RITA+Secondary,W=6mo","large",45032,6013276.71913476,133.533414441614,111.410535082436,0,520.345790295234,2149,0.0477216201812045,0,0,0.181818181818182
