"pia","puta","contacts_small","contacts_large","strategy"
1,4375.83479074968,14,10,"RITA+Secondary,W=6mo"
0,2902.93669864796,10,5,"RITA+Secondary,W=6mo"
4,3296.37763469589,38,29,"RITA+Secondary,W=6mo"
1,0,18,18,"RITA+Secondary,W=6mo"
0,699.530811472051,3,3,"RITA+Secondary,W=6mo"
0,116.976879617908,6,6,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
1,295.299862580619,10,10,"RITA+Secondary,W=6mo"
1,1764.67524245857,13,13,"RITA+Secondary,W=6mo"
0,676.347515234407,60,29,"RITA+Secondary,W=6mo"
0,910.674137954806,5,5,"RITA+Secondary,W=6mo"
0,0,4,4,"RITA+Secondary,W=6mo"
1,5740.02844733473,15,11,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
1,617.964606852687,22,13,"RITA+Secondary,W=6mo"
2,1031.81930408888,14,13,"RITA+Secondary,W=6mo"
1,1904.69695927581,18,18,"RITA+Secondary,W=6mo"
3,3471.98631529979,34,18,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
1,766.115361747011,6,5,"RITA+Secondary,W=6mo"
0,385.799492967203,5,5,"RITA+Secondary,W=6mo"
0,1164.96577319488,29,29,"RITA+Secondary,W=6mo"
0,534.900922597323,6,6,"RITA+Secondary,W=6mo"
0,0,6,6,"RITA+Secondary,W=6mo"
0,274.045933621897,3,3,"RITA+Secondary,W=6mo"
0,2131.47436395144,1,1,"RITA+Secondary,W=6mo"
3,4359.32594145663,22,17,"RITA+Secondary,W=6mo"
0,707.506350255886,3,2,"RITA+Secondary,W=6mo"
0,805.917780670017,2,2,"RITA+Secondary,W=6mo"
2,4659.0272132683,51,34,"RITA+Secondary,W=6mo"
3,1678.77941171831,27,13,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
2,1643.09847299334,35,28,"RITA+Secondary,W=6mo"
0,459.512252778764,4,4,"RITA+Secondary,W=6mo"
0,614.554194908189,4,4,"RITA+Secondary,W=6mo"
3,4539.0862162392,36,24,"RITA+Secondary,W=6mo"
1,2161.28113664186,49,24,"RITA+Secondary,W=6mo"
1,842.692783585277,15,11,"RITA+Secondary,W=6mo"
0,310.701845750789,12,11,"RITA+Secondary,W=6mo"
2,3767.33198740548,20,11,"RITA+Secondary,W=6mo"
0,600.382815575318,13,13,"RITA+Secondary,W=6mo"
0,1991.99302420602,13,13,"RITA+Secondary,W=6mo"
0,1920.96798970439,76,69,"RITA+Secondary,W=6mo"
0,330.21329614345,47,39,"RITA+Secondary,W=6mo"
3,165.294510892994,2,2,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,0,14,14,"RITA+Secondary,W=6mo"
0,117.731844407186,10,10,"RITA+Secondary,W=6mo"
0,62.4001061930012,17,12,"RITA+Secondary,W=6mo"
0,1045.32285159858,2,2,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,1475.33253161117,5,5,"RITA+Secondary,W=6mo"
4,2873.39326868353,15,14,"RITA+Secondary,W=6mo"
0,22.3492413396607,14,14,"RITA+Secondary,W=6mo"
0,1805.76753515351,3,3,"RITA+Secondary,W=6mo"
0,1628.41075759806,1,1,"RITA+Secondary,W=6mo"
0,2775.22801609297,83,44,"RITA+Secondary,W=6mo"
0,1187.15591371248,20,20,"RITA+Secondary,W=6mo"
4,3388.32098597708,28,18,"RITA+Secondary,W=6mo"
0,66.0520700346742,9,9,"RITA+Secondary,W=6mo"
0,0,7,7,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,673.712359267372,6,6,"RITA+Secondary,W=6mo"
0,293.598704356957,6,6,"RITA+Secondary,W=6mo"
1,285.043798216102,7,7,"RITA+Secondary,W=6mo"
1,0,4,4,"RITA+Secondary,W=6mo"
1,1683.73660051571,7,5,"RITA+Secondary,W=6mo"
0,1933.15113282061,10,10,"RITA+Secondary,W=6mo"
0,292.394023435674,7,7,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
1,2147.18705954395,20,14,"RITA+Secondary,W=6mo"
0,56.7039119056749,1,1,"RITA+Secondary,W=6mo"
0,1567.74486337211,11,11,"RITA+Secondary,W=6mo"
0,1920.11413614294,18,15,"RITA+Secondary,W=6mo"
0,881.466691071876,41,41,"RITA+Secondary,W=6mo"
0,0,9,9,"RITA+Secondary,W=6mo"
0,1749.70866230664,9,8,"RITA+Secondary,W=6mo"
0,196.310330762323,4,4,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
0,1295.11067508421,26,20,"RITA+Secondary,W=6mo"
0,1745.02559004422,23,16,"RITA+Secondary,W=6mo"
1,751.087279362622,23,11,"RITA+Secondary,W=6mo"
1,3767.04473553991,11,6,"RITA+Secondary,W=6mo"
0,3934.54294600039,15,14,"RITA+Secondary,W=6mo"
0,1638.2560429376,1,1,"RITA+Secondary,W=6mo"
0,148.583588008147,11,11,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
0,0,5,5,"RITA+Secondary,W=6mo"
1,1729.39046154131,27,18,"RITA+Secondary,W=6mo"
2,2644.27914168133,55,49,"RITA+Secondary,W=6mo"
0,3850.2664015852,7,7,"RITA+Secondary,W=6mo"
0,3236.34278180231,19,19,"RITA+Secondary,W=6mo"
0,203.020546707476,3,3,"RITA+Secondary,W=6mo"
0,404.035455897184,5,5,"RITA+Secondary,W=6mo"
0,832.701814556661,2,2,"RITA+Secondary,W=6mo"
0,1570.63612589941,8,8,"RITA+Secondary,W=6mo"
0,67.6962622775886,25,19,"RITA+Secondary,W=6mo"
0,5898.01778777498,12,11,"RITA+Secondary,W=6mo"
0,617.639230071677,4,4,"RITA+Secondary,W=6mo"
0,914.782220698435,26,18,"RITA+Secondary,W=6mo"
0,1890.6681893394,4,4,"RITA+Secondary,W=6mo"
0,583.056144251178,34,29,"RITA+Secondary,W=6mo"
0,1856.20724356373,2,2,"RITA+Secondary,W=6mo"
0,1623.03497770043,1,1,"RITA+Secondary,W=6mo"
1,3625.50185322634,23,15,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,236.194254552626,9,9,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
3,3664.6519922762,9,5,"RITA+Secondary,W=6mo"
0,1326.75094227562,1,1,"RITA+Secondary,W=6mo"
0,2001.24239178477,4,4,"RITA+Secondary,W=6mo"
2,1109.43381085494,3,3,"RITA+Secondary,W=6mo"
0,2136.35687976531,1,1,"RITA+Secondary,W=6mo"
0,1108.68483004189,0,0,"RITA+Secondary,W=6mo"
0,2285.16671028413,13,13,"RITA+Secondary,W=6mo"
0,4004.26628945752,11,11,"RITA+Secondary,W=6mo"
0,5795.47744119725,15,10,"RITA+Secondary,W=6mo"
0,1186.61889861147,33,33,"RITA+Secondary,W=6mo"
0,1132.40175005669,12,11,"RITA+Secondary,W=6mo"
2,2074.35226648684,19,11,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
0,507.484379481171,103,85,"RITA+Secondary,W=6mo"
0,599.820680206161,125,85,"RITA+Secondary,W=6mo"
0,178.420418221919,0,0,"RITA+Secondary,W=6mo"
0,665.856774753542,11,11,"RITA+Secondary,W=6mo"
0,564.21368766629,1,1,"RITA+Secondary,W=6mo"
0,886.659303383851,11,11,"RITA+Secondary,W=6mo"
0,2454.09538299874,18,11,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
0,15.7323036965977,1,1,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
1,1679.26785631766,5,5,"RITA+Secondary,W=6mo"
0,2629.60272883764,2,2,"RITA+Secondary,W=6mo"
1,7129.10405514112,19,15,"RITA+Secondary,W=6mo"
0,1182.29681063056,1,1,"RITA+Secondary,W=6mo"
0,207.392098550425,18,18,"RITA+Secondary,W=6mo"
0,1062.32564539232,42,39,"RITA+Secondary,W=6mo"
0,2303.16094589684,1,1,"RITA+Secondary,W=6mo"
0,3132.07924624833,14,14,"RITA+Secondary,W=6mo"
0,150.845887378313,23,14,"RITA+Secondary,W=6mo"
0,180.871113800868,9,9,"RITA+Secondary,W=6mo"
0,659.661915503168,18,11,"RITA+Secondary,W=6mo"
0,836.009555752328,14,11,"RITA+Secondary,W=6mo"
0,637.095392581193,9,9,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
1,2617.01524419667,33,25,"RITA+Secondary,W=6mo"
0,409.357912339007,1,1,"RITA+Secondary,W=6mo"
1,3764.05600416987,33,16,"RITA+Secondary,W=6mo"
0,1147.48626177493,11,11,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,1856.3494122468,25,14,"RITA+Secondary,W=6mo"
1,116.745897005776,3,3,"RITA+Secondary,W=6mo"
0,688.378583737697,8,8,"RITA+Secondary,W=6mo"
1,888.124409761931,29,28,"RITA+Secondary,W=6mo"
0,50.5566480255254,10,10,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,0,12,12,"RITA+Secondary,W=6mo"
3,4324.90564950747,31,24,"RITA+Secondary,W=6mo"
0,1641.72177808049,6,6,"RITA+Secondary,W=6mo"
0,628.168048404126,5,5,"RITA+Secondary,W=6mo"
0,4468.44290669576,11,11,"RITA+Secondary,W=6mo"
3,2584.65929056271,20,9,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
0,568.666823490474,7,7,"RITA+Secondary,W=6mo"
1,2275.19572604121,30,16,"RITA+Secondary,W=6mo"
0,1616.76241623497,8,8,"RITA+Secondary,W=6mo"
0,862.978287628077,9,9,"RITA+Secondary,W=6mo"
1,4038.44997621118,33,18,"RITA+Secondary,W=6mo"
1,5672.40209156273,16,11,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,3090.1607385247,36,36,"RITA+Secondary,W=6mo"
1,1327.46586730055,25,21,"RITA+Secondary,W=6mo"
3,8034.37980177171,38,19,"RITA+Secondary,W=6mo"
1,1686.49076542999,6,6,"RITA+Secondary,W=6mo"
0,2927.9867617173,0,0,"RITA+Secondary,W=6mo"
0,250.200067062304,7,7,"RITA+Secondary,W=6mo"
2,4544.44843269609,63,63,"RITA+Secondary,W=6mo"
1,1110.55678835991,8,8,"RITA+Secondary,W=6mo"
1,1359.13412737237,1,1,"RITA+Secondary,W=6mo"
0,0,4,4,"RITA+Secondary,W=6mo"
0,3643.99582812687,8,8,"RITA+Secondary,W=6mo"
0,1580.95572658688,32,32,"RITA+Secondary,W=6mo"
0,0,3,3,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,2049.12419256616,6,6,"RITA+Secondary,W=6mo"
1,4086.43670261529,1,1,"RITA+Secondary,W=6mo"
1,3151.92453016479,10,6,"RITA+Secondary,W=6mo"
0,124.017731306868,4,4,"RITA+Secondary,W=6mo"
0,0,6,6,"RITA+Secondary,W=6mo"
0,43.0570416320461,10,10,"RITA+Secondary,W=6mo"
0,1003.59298504123,17,13,"RITA+Secondary,W=6mo"
0,0,12,12,"RITA+Secondary,W=6mo"
0,746.786092224515,6,5,"RITA+Secondary,W=6mo"
0,574.088644550925,106,100,"RITA+Secondary,W=6mo"
3,4036.04670244924,19,11,"RITA+Secondary,W=6mo"
0,842.549678688925,22,18,"RITA+Secondary,W=6mo"
0,1164.63880079075,9,9,"RITA+Secondary,W=6mo"
2,4065.55541721834,15,13,"RITA+Secondary,W=6mo"
0,9176.23907883722,64,41,"RITA+Secondary,W=6mo"
1,2967.05440452287,18,14,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
0,665.588621270326,0,0,"RITA+Secondary,W=6mo"
0,561.267284905047,1,1,"RITA+Secondary,W=6mo"
2,1627.25391026528,13,13,"RITA+Secondary,W=6mo"
0,1431.88165482647,31,18,"RITA+Secondary,W=6mo"
0,1777.60247727499,1,1,"RITA+Secondary,W=6mo"
2,4014.67399906858,30,26,"RITA+Secondary,W=6mo"
0,542.748824457416,21,14,"RITA+Secondary,W=6mo"
0,1937.1365731332,44,44,"RITA+Secondary,W=6mo"
0,798.50756519858,11,11,"RITA+Secondary,W=6mo"
1,0,18,18,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,1746.3139595684,67,45,"RITA+Secondary,W=6mo"
0,112.615452182031,10,8,"RITA+Secondary,W=6mo"
0,0,13,13,"RITA+Secondary,W=6mo"
0,1341.96868038333,10,10,"RITA+Secondary,W=6mo"
0,487.986775710534,10,10,"RITA+Secondary,W=6mo"
0,1258.9429151365,20,18,"RITA+Secondary,W=6mo"
0,2803.41517933436,16,16,"RITA+Secondary,W=6mo"
1,2964.2086724367,13,7,"RITA+Secondary,W=6mo"
0,1712.83628751248,8,8,"RITA+Secondary,W=6mo"
0,3196.10837969437,2,1,"RITA+Secondary,W=6mo"
0,0,6,6,"RITA+Secondary,W=6mo"
1,2418.39686985551,26,26,"RITA+Secondary,W=6mo"
0,845.888720594944,2,2,"RITA+Secondary,W=6mo"
1,973.170510318743,6,6,"RITA+Secondary,W=6mo"
0,432.492968072426,0,0,"RITA+Secondary,W=6mo"
6,10771.8882757949,32,20,"RITA+Secondary,W=6mo"
1,177.669342136028,7,7,"RITA+Secondary,W=6mo"
2,5573.90515151526,30,15,"RITA+Secondary,W=6mo"
0,0,6,6,"RITA+Secondary,W=6mo"
0,1056.28601612099,1,1,"RITA+Secondary,W=6mo"
2,769.585221384215,15,15,"RITA+Secondary,W=6mo"
0,1843.46996576304,29,19,"RITA+Secondary,W=6mo"
0,2422.29056481558,9,9,"RITA+Secondary,W=6mo"
0,2217.8627196058,9,9,"RITA+Secondary,W=6mo"
0,0,13,13,"RITA+Secondary,W=6mo"
0,1173.81147225722,18,14,"RITA+Secondary,W=6mo"
0,334.162703458592,5,5,"RITA+Secondary,W=6mo"
0,0,9,9,"RITA+Secondary,W=6mo"
0,54.9639562405938,0,0,"RITA+Secondary,W=6mo"
0,586.015300441411,5,5,"RITA+Secondary,W=6mo"
0,2608.92262791211,10,9,"RITA+Secondary,W=6mo"
0,2962.22496796494,0,0,"RITA+Secondary,W=6mo"
1,2025.55301436996,19,13,"RITA+Secondary,W=6mo"
0,1353.30048875059,6,6,"RITA+Secondary,W=6mo"
1,0,5,5,"RITA+Secondary,W=6mo"
0,1582.28521223474,24,14,"RITA+Secondary,W=6mo"
0,1379.5979632721,10,7,"RITA+Secondary,W=6mo"
0,647.934354265888,9,9,"RITA+Secondary,W=6mo"
2,7506.01075701634,32,23,"RITA+Secondary,W=6mo"
1,1653.71170536374,32,23,"RITA+Secondary,W=6mo"
0,67.7073003956893,26,23,"RITA+Secondary,W=6mo"
1,1569.26223328149,26,16,"RITA+Secondary,W=6mo"
0,1556.46784130258,7,7,"RITA+Secondary,W=6mo"
0,1290.21338601146,3,3,"RITA+Secondary,W=6mo"
0,1007.58777547997,2,2,"RITA+Secondary,W=6mo"
1,1574.69604844914,20,14,"RITA+Secondary,W=6mo"
0,885.483193166749,10,9,"RITA+Secondary,W=6mo"
0,0,22,22,"RITA+Secondary,W=6mo"
0,3881.3682195836,18,14,"RITA+Secondary,W=6mo"
0,886.773505348718,5,5,"RITA+Secondary,W=6mo"
2,2509.85357524134,2,2,"RITA+Secondary,W=6mo"
0,1520.90191884321,27,17,"RITA+Secondary,W=6mo"
5,5838.7958115911,62,21,"RITA+Secondary,W=6mo"
4,3147.16678042071,28,14,"RITA+Secondary,W=6mo"
0,1120.12070952705,4,4,"RITA+Secondary,W=6mo"
0,3208.4240596889,38,32,"RITA+Secondary,W=6mo"
2,3384.99455667939,4,4,"RITA+Secondary,W=6mo"
3,7080.65884628403,29,18,"RITA+Secondary,W=6mo"
0,3793.89931759127,28,18,"RITA+Secondary,W=6mo"
1,865.441159078495,39,29,"RITA+Secondary,W=6mo"
4,1513.44329343724,19,16,"RITA+Secondary,W=6mo"
0,656.343557049132,1,1,"RITA+Secondary,W=6mo"
0,2167.43918714312,14,14,"RITA+Secondary,W=6mo"
0,5704.30877008914,14,12,"RITA+Secondary,W=6mo"
1,3010.23785916121,56,28,"RITA+Secondary,W=6mo"
3,2114.47971915571,38,37,"RITA+Secondary,W=6mo"
0,4928.22064772839,12,9,"RITA+Secondary,W=6mo"
0,2118.49742111528,2,2,"RITA+Secondary,W=6mo"
1,724.186322758899,2,2,"RITA+Secondary,W=6mo"
0,0,2,2,"RITA+Secondary,W=6mo"
0,194.39117691569,19,19,"RITA+Secondary,W=6mo"
0,3247.86272384439,7,7,"RITA+Secondary,W=6mo"
0,2370.80292394251,4,4,"RITA+Secondary,W=6mo"
0,0,4,4,"RITA+Secondary,W=6mo"
0,0,15,15,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
0,2762.80402735077,18,10,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
7,7990.74840136948,44,15,"RITA+Secondary,W=6mo"
0,0,23,23,"RITA+Secondary,W=6mo"
1,653.830749952457,36,17,"RITA+Secondary,W=6mo"
2,1098.51248070405,61,56,"RITA+Secondary,W=6mo"
1,3474.55405188269,32,17,"RITA+Secondary,W=6mo"
0,0,9,9,"RITA+Secondary,W=6mo"
0,4603.57211711418,1,1,"RITA+Secondary,W=6mo"
0,1414.8703580789,17,14,"RITA+Secondary,W=6mo"
1,2550.20746712362,2,2,"RITA+Secondary,W=6mo"
0,222.037879862507,4,4,"RITA+Secondary,W=6mo"
2,1876.94780991651,19,17,"RITA+Secondary,W=6mo"
0,0,10,10,"RITA+Secondary,W=6mo"
0,1616.15499639042,4,4,"RITA+Secondary,W=6mo"
0,6160.59135544383,5,5,"RITA+Secondary,W=6mo"
0,167.558726648159,5,5,"RITA+Secondary,W=6mo"
1,1442.28342506006,2,2,"RITA+Secondary,W=6mo"
0,1097.94376259311,3,3,"RITA+Secondary,W=6mo"
1,1820.29007593041,8,8,"RITA+Secondary,W=6mo"
0,391.68590353264,21,12,"RITA+Secondary,W=6mo"
2,5050.23916170089,35,34,"RITA+Secondary,W=6mo"
0,1973.35580392971,24,24,"RITA+Secondary,W=6mo"
0,84.4027157334976,5,5,"RITA+Secondary,W=6mo"
3,2054.15827949884,11,11,"RITA+Secondary,W=6mo"
0,2017.91345338727,18,18,"RITA+Secondary,W=6mo"
0,0,4,4,"RITA+Secondary,W=6mo"
0,404.566178535622,1,1,"RITA+Secondary,W=6mo"
0,482.857386362834,8,8,"RITA+Secondary,W=6mo"
0,0,8,8,"RITA+Secondary,W=6mo"
0,484.388504010362,3,3,"RITA+Secondary,W=6mo"
0,2666.76115644319,13,13,"RITA+Secondary,W=6mo"
1,6729.71735415911,11,9,"RITA+Secondary,W=6mo"
0,237.452792775396,24,12,"RITA+Secondary,W=6mo"
0,1461.31809634468,7,7,"RITA+Secondary,W=6mo"
0,4534.41034301865,27,17,"RITA+Secondary,W=6mo"
0,103.847000320404,3,3,"RITA+Secondary,W=6mo"
3,4565.77394012121,26,12,"RITA+Secondary,W=6mo"
2,3165.17083318876,12,11,"RITA+Secondary,W=6mo"
0,1633.38722612078,18,10,"RITA+Secondary,W=6mo"
0,1673.30198373298,16,15,"RITA+Secondary,W=6mo"
0,2606.96534381747,12,12,"RITA+Secondary,W=6mo"
0,58.35820248043,13,8,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
0,0,24,24,"RITA+Secondary,W=6mo"
5,3142.12838192323,51,38,"RITA+Secondary,W=6mo"
0,3595.69828782053,70,38,"RITA+Secondary,W=6mo"
0,415.97222969167,3,3,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
1,3228.24571003805,23,12,"RITA+Secondary,W=6mo"
0,118.350819822892,6,6,"RITA+Secondary,W=6mo"
1,3079.13092697333,5,3,"RITA+Secondary,W=6mo"
0,1256.5926525874,1,1,"RITA+Secondary,W=6mo"
0,187.354505391818,3,3,"RITA+Secondary,W=6mo"
0,0,1,1,"RITA+Secondary,W=6mo"
0,2380.65505648374,5,5,"RITA+Secondary,W=6mo"
0,957.802024099156,2,2,"RITA+Secondary,W=6mo"
5,3542.8219349681,21,12,"RITA+Secondary,W=6mo"
1,1968.96593743206,18,12,"RITA+Secondary,W=6mo"
1,1281.63185172153,8,5,"RITA+Secondary,W=6mo"
0,709.737421906053,55,46,"RITA+Secondary,W=6mo"
0,12.712748394403,4,4,"RITA+Secondary,W=6mo"
1,1904.05874018049,36,23,"RITA+Secondary,W=6mo"
0,0,0,0,"RITA+Secondary,W=6mo"
0,353.665188735859,4,4,"RITA+Secondary,W=6mo"
4,4346.18430730366,19,10,"RITA+Secondary,W=6mo"
3,4269.00910111639,18,10,"RITA+Secondary,W=6mo"
1,465.701376143445,27,25,"RITA+Secondary,W=6mo"
