"Strategy","Units","Contacts_Small","Contacts_Large"
"Size=5,D=0.005",406,2114.26931780803,4194.61517997013
"Size=2,D=0.005",2090,11193.5560224952,11437.5820099334
"Growth,size=5,W=6mo,D=0.005",4,35,61.6820297206403
"Random allocation",30,96.721645503828,96.721645503828
"RITA",3764,12330.2973964427,12330.2973964427
"Network,partners>4",5620,28509.8676440671,28509.8676440671
