"pia","puta","contacts","strategy"
0,0,1,"Random"
0,520.78447268736,19,"Random"
0,1887.31066432716,8,"Random"
0,1224.8509113339,2,"Random"
0,1197.12574137778,2,"Random"
1,0,16,"Random"
0,1892.27363131363,6,"Random"
0,0,4,"Random"
1,618.011004941564,6,"Random"
0,260.349920552668,2,"Random"
0,0,11,"Random"
0,0,2,"Random"
0,0,44,"Random"
0,0,19,"Random"
0,80.2087365099242,14,"Random"
0,0,3,"Random"
0,1835.57966890282,7,"Random"
0,2080.94394437328,17,"Random"
0,0,15,"Random"
0,861.823153020163,7,"Random"
0,295.454525851859,16,"Random"
0,2172.80581824233,5,"Random"
0,1490.07536823824,14,"Random"
0,2350.93252605295,3,"Random"
0,723.936992322161,14,"Random"
0,0,7,"Random"
0,52.1603507996338,5,"Random"
0,0,1,"Random"
0,0,2,"Random"
0,94.7024175711995,4,"Random"
0,1302.93690635007,1,"Random"
0,232.381953409499,6,"Random"
0,757.366658968974,17,"Random"
0,0,7,"Random"
0,0,1,"Random"
0,0,20,"Random"
0,495.676019049724,18,"Random"
0,192.271417334268,17,"Random"
0,0,1,"Random"
0,1362.6714594963,15,"Random"
0,0,5,"Random"
0,0,16,"Random"
0,0,1,"Random"
0,1059.50354410368,2,"Random"
0,0,11,"Random"
0,0,5,"Random"
0,0,3,"Random"
0,0,1,"Random"
0,131.106253691246,10,"Random"
0,837.348833226569,6,"Random"
0,2520.84274223,8,"Random"
0,469.294981234958,14,"Random"
0,390.429585741575,9,"Random"
0,1655.03358858368,6,"Random"
0,2702.86161154339,3,"Random"
0,1462.15038071649,6,"Random"
0,860.181200417305,14,"Random"
0,0,1,"Random"
0,1482.9576044073,1,"Random"
0,451.848002309935,19,"Random"
0,285.824748633112,13,"Random"
0,0,17,"Random"
0,1432.44775121922,15,"Random"
0,968.229760861555,2,"Random"
0,0,1,"Random"
0,0,4,"Random"
0,1960.9604604083,11,"Random"
0,3953.15562449108,5,"Random"
0,0,12,"Random"
1,2272.96683551564,4,"Random"
0,250.939528226136,22,"Random"
0,822.111783986152,18,"Random"
0,473.118100850783,7,"Random"
0,689.833848756735,21,"Random"
0,722.450264448978,9,"Random"
0,2091.97650056197,1,"Random"
0,839.516813812997,34,"Random"
0,0,10,"Random"
0,2327.99029354557,11,"Random"
0,0,1,"Random"
0,578.832727947386,10,"Random"
0,0,20,"Random"
0,148.744025303293,3,"Random"
0,713.908038759753,6,"Random"
0,208.427719833014,17,"Random"
0,2580.05239305771,1,"Random"
0,2443.92203987197,12,"Random"
0,436.833022176668,14,"Random"
0,2423.88602099843,17,"Random"
0,0,21,"Random"
0,425.992506168971,13,"Random"
0,1208.02350153355,8,"Random"
0,0,11,"Random"
0,0,44,"Random"
0,264.472531012334,5,"Random"
0,567.64056867301,10,"Random"
0,0,4,"Random"
0,978.510292454483,28,"Random"
0,861.603851539473,14,"Random"
0,2072.0395591311,7,"Random"
0,0,21,"Random"
0,524.47327979467,14,"Random"
0,713.056483559598,15,"Random"
0,1470.35467468247,11,"Random"
0,1755.72146447559,15,"Random"
0,209.491486592127,1,"Random"
0,0,1,"Random"
0,961.625166169997,11,"Random"
0,1251.44409653505,15,"Random"
0,1767.0713694414,9,"Random"
0,0,8,"Random"
0,0,6,"Random"
1,1539.11733418806,18,"Random"
0,969.808443771924,2,"Random"
0,331.260814796598,19,"Random"
0,1020.06664468689,5,"Random"
0,0,1,"Random"
0,0,25,"Random"
0,0,18,"Random"
0,0,12,"Random"
0,1864.51505382489,7,"Random"
0,0,22,"Random"
0,1210.70970048849,5,"Random"
0,294.899805656567,23,"Random"
0,0,2,"Random"
0,1337.95601917386,22,"Random"
0,0,6,"Random"
1,0,14,"Random"
0,709.799082553297,13,"Random"
0,633.035290616753,17,"Random"
0,741.052528653392,15,"Random"
0,248.588747006365,2,"Random"
1,4231.3998650755,10,"Random"
0,525.822717930592,24,"Random"
0,1196.95416834488,3,"Random"
0,0,2,"Random"
0,897.054435623202,9,"Random"
0,132.505409642128,17,"Random"
0,15.6919279507752,10,"Random"
0,0,10,"Random"
0,596.085821822431,4,"Random"
0,2437.15327885493,16,"Random"
0,834.644349823005,4,"Random"
0,0,14,"Random"
0,0,10,"Random"
0,0,24,"Random"
0,288.9617739886,1,"Random"
0,1497.70772023864,1,"Random"
0,3689.77879758179,11,"Random"
0,0,3,"Random"
0,1754.24281037658,19,"Random"
0,0,22,"Random"
0,0,12,"Random"
0,0,6,"Random"
0,305.180497789536,17,"Random"
0,580.451468948991,8,"Random"
0,0,8,"Random"
0,1269.50839419616,9,"Random"
0,586.713764364599,15,"Random"
0,1427.16783448989,9,"Random"
0,548.480741989869,16,"Random"
0,0,12,"Random"
0,0,1,"Random"
0,380.889539723617,1,"Random"
0,34.7721489391633,1,"Random"
0,912.392045739228,11,"Random"
0,139.561193129127,4,"Random"
0,77.8772108550792,6,"Random"
0,135.550113859194,13,"Random"
0,2466.95031565229,6,"Random"
0,727.095052517871,27,"Random"
0,0,6,"Random"
0,542.953391365465,1,"Random"
0,904.607234596808,11,"Random"
1,1204.4421389101,6,"Random"
0,2507.29400786358,11,"Random"
0,0,9,"Random"
0,0,4,"Random"
0,0,15,"Random"
0,1418.13369784503,1,"Random"
0,2029.8621025992,10,"Random"
0,310.301677580606,4,"Random"
0,162.09125903155,8,"Random"
0,0,3,"Random"
0,334.694773610336,10,"Random"
0,0,38,"Random"
0,1555.14201031824,12,"Random"
0,4749.72798682568,8,"Random"
0,0,8,"Random"
0,0,1,"Random"
0,0,10,"Random"
0,0,8,"Random"
0,2651.72653751663,1,"Random"
0,1670.25570302041,39,"Random"
0,0,6,"Random"
0,3048.72767266238,72,"Random"
0,632.124825521683,1,"Random"
0,0,19,"Random"
0,758.513514605835,12,"Random"
0,2167.85762549236,9,"Random"
0,0,29,"Random"
0,0,11,"Random"
0,0,1,"Random"
0,758.231398072217,36,"Random"
0,517.645979616384,23,"Random"
0,0,14,"Random"
0,1012.86611156705,12,"Random"
0,0,6,"Random"
0,0,12,"Random"
0,1822.70907981611,8,"Random"
0,373.228662937678,30,"Random"
7,0,1,"Random"
0,0,6,"Random"
0,749.407027268642,5,"Random"
0,0,10,"Random"
0,0,9,"Random"
0,0,1,"Random"
0,3947.7188799045,14,"Random"
0,2575.96552957037,8,"Random"
0,0,8,"Random"
0,1004.68418924997,11,"Random"
0,1502.05408285799,10,"Random"
0,0.461776604969145,2,"Random"
0,695.79314136632,2,"Random"
0,3542.02688499818,28,"Random"
0,0,33,"Random"
0,1864.94994104683,4,"Random"
0,0,2,"Random"
0,150.940343548572,15,"Random"
0,0,8,"Random"
1,0,35,"Random"
0,0,4,"Random"
0,0,6,"Random"
0,4496.7721346211,12,"Random"
0,0,5,"Random"
0,2357.9038785369,18,"Random"
0,0,9,"Random"
0,1704.73639789605,13,"Random"
0,297.662847890244,7,"Random"
0,270.150637937359,14,"Random"
0,2223.03379027764,14,"Random"
0,498.566185131672,19,"Random"
0,288.509052582715,1,"Random"
0,769.144552830403,4,"Random"
0,717.372061415975,2,"Random"
0,0,8,"Random"
0,0,18,"Random"
0,121.235648236356,8,"Random"
0,3608.19255032619,11,"Random"
