"pia","puta","contacts","strategy"
0,995.821446490245,10,"RITA"
0,0,11,"RITA"
0,0,17,"RITA"
0,506.145431143995,4,"RITA"
0,570.442421623618,30,"RITA"
0,1968.50588433213,2,"RITA"
0,698.532347534344,4,"RITA"
0,0.0297905058814649,2,"RITA"
0,1430.60080718409,48,"RITA"
0,27.8843463822302,17,"RITA"
0,1007.61920351325,5,"RITA"
0,798.57974622288,4,"RITA"
0,761.958399242004,12,"RITA"
0,388.974725291205,3,"RITA"
0,1283.17303414773,14,"RITA"
0,2059.35520946673,6,"RITA"
0,0,1,"RITA"
0,345.401931512225,3,"RITA"
1,576.023670835338,4,"RITA"
0,234.02105821341,9,"RITA"
0,1371.37760963489,2,"RITA"
0,349.2945976316,11,"RITA"
0,1235.95930739721,5,"RITA"
0,361.641877772157,3,"RITA"
0,2464.08278134412,14,"RITA"
0,0,3,"RITA"
0,1037.03659736035,8,"RITA"
0,703.455460047878,1,"RITA"
0,689.998279297458,10,"RITA"
0,406.996203142096,20,"RITA"
0,21.5401762846368,3,"RITA"
0,1168.28729658742,1,"RITA"
0,0,2,"RITA"
0,1227.36374037053,5,"RITA"
0,1182.84616440135,5,"RITA"
0,319.164046468341,1,"RITA"
0,873.052428566821,5,"RITA"
0,2498.95095879973,21,"RITA"
0,914.075380495652,17,"RITA"
0,0,3,"RITA"
0,3451.99176278527,5,"RITA"
0,2014.58262201623,20,"RITA"
0,1104.49786212442,3,"RITA"
0,275.53979546438,11,"RITA"
0,0,22,"RITA"
0,1041.39992459531,5,"RITA"
0,1482.83554366571,1,"RITA"
0,360.833974948675,4,"RITA"
0,940.63806230391,9,"RITA"
0,712.005322074412,8,"RITA"
0,802.487923130586,4,"RITA"
0,3261.93841014416,15,"RITA"
0,901.415693242863,3,"RITA"
0,799.962313277211,8,"RITA"
0,316.488549540677,1,"RITA"
0,778.693508365304,5,"RITA"
0,1535.02865007515,9,"RITA"
0,998.309746882892,20,"RITA"
0,0,7,"RITA"
0,0,1,"RITA"
1,689.287580461332,15,"RITA"
0,0,6,"RITA"
0,413.044941828257,20,"RITA"
0,1529.47139989401,4,"RITA"
0,1211.33023234728,23,"RITA"
0,163.292766208666,11,"RITA"
0,436.224887365247,6,"RITA"
0,305.180497789536,17,"RITA"
1,508.529379713864,14,"RITA"
