"pia","ida","contacts","simid","strategy"
0,3431.97535307878,24,"8039","Random"
0,651.504871737745,16,"4881","Random"
0,891.411185735737,6,"5365","Random"
0,0,20,"8950","Random"
0,2561.97416319994,16,"6150","Random"
0,207.970133580885,10,"5888","Random"
0,2753.20088413975,10,"9116","Random"
0,235.433571810064,24,"1166","Random"
0,0,4,"557","Random"
0,0,5,"4832","Random"
0,32.7372901845315,14,"3508","Random"
0,1283.60718030451,11,"4756","Random"
0,0,30,"5815","Random"
0,419.076765133309,13,"9977","Random"
0,2478.3160323618,4,"7010","Random"
0,120.152068796674,1,"4353","Random"
0,5567.31782437535,10,"2805","Random"
0,0,5,"7785","Random"
0,1089.2777524871,35,"6009","Random"
0,0,6,"9630","Random"
0,993.453074254841,10,"2178","Random"
0,930.630042155389,20,"7189","Random"
1,517.407204835516,9,"4206","Random"
0,387.381603108832,9,"7018","Random"
0,0,1,"3845","Random"
0,972.345425353367,13,"6113","Random"
0,0,5,"4556","Random"
0,0,5,"27","Random"
0,2715.85276732979,11,"7328","Random"
0,0,10,"4673","Random"
0,1549.43226592012,26,"5334","Random"
0,700.518048952061,7,"9398","Random"
0,3592.6686915686,48,"2137","Random"
0,1171.02397722871,30,"822","Random"
0,236.271902686197,13,"6011","Random"
0,2698.21110308799,21,"1766","Random"
0,0,6,"4460","Random"
0,1422.71589756058,5,"9268","Random"
0,2377.14365468579,19,"1698","Random"
0,484.377482129303,1,"8522","Random"
0,0,11,"8083","Random"
0,423.167019377698,26,"5770","Random"
0,0,5,"3820","Random"
0,0,17,"8215","Random"
0,2182.51925520059,27,"4249","Random"
0,1972.93073911885,1,"1523","Random"
0,0,4,"3079","Random"
1,397.397067470325,2,"341","Random"
0,0,9,"8521","Random"
0,642.035527582783,1,"2357","Random"
0,1020.06664468689,5,"7333","Random"
0,0,22,"9213","Random"
0,0,8,"2560","Random"
0,803.672830705167,1,"4970","Random"
0,2224.02470036407,2,"8763","Random"
0,0,14,"5127","Random"
0,0,16,"7879","Random"
0,1819.53047449207,1,"8581","Random"
0,0,13,"280","Random"
0,735.587120577096,16,"4933","Random"
0,1043.55998959152,7,"5785","Random"
0,0,1,"9424","Random"
0,0,18,"2904","Random"
1,135.112945158322,1,"100","Random"
0,1371.71008128334,17,"8100","Random"
0,990.280596061608,3,"7270","Random"
0,734.104382487204,15,"3877","Random"
0,264.432080291323,22,"8793","Random"
0,1871.82697559387,6,"8800","Random"
0,0,25,"1227","Random"
0,614.046107134962,22,"9609","Random"
0,890.200791679864,37,"920","Random"
0,130.577081760586,3,"3144","Random"
0,4593.05931038516,1,"5648","Random"
0,1042.26506223999,2,"9634","Random"
0,8.5876971170253,19,"4051","Random"
0,1160.85881162881,15,"7201","Random"
0,0,3,"509","Random"
0,0,39,"384","Random"
0,1044.5306659513,1,"168","Random"
0,169.954735518822,4,"8348","Random"
0,777.500942504092,41,"5710","Random"
0,862.900555406371,5,"1543","Random"
0,1141.94596124405,5,"2934","Random"
0,0,12,"4109","Random"
0,1396.66421599231,19,"3679","Random"
0,382.542788645003,18,"6643","Random"
0,0,18,"4870","Random"
0,1235.55114467916,29,"1145","Random"
0,426.601820078042,6,"4627","Random"
0,924.03404968234,1,"1587","Random"
0,0,3,"29","Random"
0,0,4,"5145","Random"
0,0,15,"3975","Random"
0,2099.05671166858,4,"1740","Random"
0,1086.20251869947,3,"9946","Random"
1,707.067309109129,4,"2520","Random"
0,1406.43252108432,1,"9390","Random"
0,0,3,"5996","Random"
0,0,4,"8416","Random"
0,0,3,"5771","Random"
1,716.289017559169,15,"946","Random"
0,0,1,"4291","Random"
0,1287.62062471928,4,"2326","Random"
0,0,16,"5960","Random"
0,66.3004532099794,11,"4013","Random"
0,689.998279297458,10,"64","Random"
0,291.788168627467,10,"3711","Random"
0,0,15,"1882","Random"
0,284.237652777826,14,"8629","Random"
0,0,8,"6123","Random"
0,1128.62322430107,11,"424","Random"
0,2720.10214531412,25,"7542","Random"
0,496.21119650558,12,"464","Random"
0,517.800699374523,16,"4564","Random"
0,0,4,"6975","Random"
0,2528.68926236185,20,"9816","Random"
2,729.922581470615,4,"223","Random"
0,45.6910324868386,14,"7739","Random"
0,1860.70010743788,23,"4249","Random"
0,365.473556203533,4,"7881","Random"
0,28.4944085037425,1,"1884","Random"
0,2787.91118621527,10,"162","Random"
0,629.461165381475,5,"914","Random"
0,0,19,"6623","Random"
0,642.74804075621,1,"1281","Random"
0,0,3,"3440","Random"
0,0,6,"7288","Random"
0,0,6,"7462","Random"
0,279.997429613238,7,"7293","Random"
1,325.188020873237,11,"7030","Random"
0,0,11,"2164","Random"
0,2733.06686954113,1,"2867","Random"
0,424.588125523307,5,"5857","Random"
0,2107.98871117181,11,"3255","Random"
0,1137.57737292727,14,"9507","Random"
0,3588.78640610152,7,"2292","Random"
0,0,9,"9296","Random"
0,846.198454208246,7,"4084","Random"
0,499.580807194672,5,"8570","Random"
0,0,2,"7736","Random"
0,1840.12076381337,7,"2869","Random"
0,3775.3342009421,21,"3629","Random"
0,507.148066772905,14,"1890","Random"
0,0,21,"2326","Random"
0,1077.07127874454,15,"2805","Random"
0,0,8,"6632","Random"
0,1017.79794542009,32,"7843","Random"
0,568.332957640402,18,"7075","Random"
0,0,8,"5151","Random"
0,0,3,"8706","Random"
0,2953.11242859001,1,"9280","Random"
1,631.871201969397,11,"3682","Random"
0,0,6,"657","Random"
0,0,6,"7189","Random"
0,2019.57842610223,9,"1889","Random"
0,0,2,"4804","Random"
0,816.724307466113,12,"9334","Random"
1,89.6629872111794,10,"1421","Random"
1,2443.9280312685,14,"297","Random"
0,0,10,"7412","Random"
0,175.963710930275,9,"2662","Random"
0,4525.4988298892,7,"8688","Random"
0,379.732752217818,7,"5611","Random"
0,252.993733729796,23,"9954","Random"
0,231.944391432395,22,"6651","Random"
0,1007.67995444301,3,"2631","Random"
1,5605.32588731086,26,"7397","Random"
0,614.66533329385,18,"8871","Random"
0,639.290348892434,6,"1711","Random"
0,2841.4231357486,18,"1698","Random"
0,3100.85682808898,56,"4917","Random"
0,1164.51465779341,6,"3240","Random"
0,7470.19085444964,12,"5126","Random"
1,260.725948703109,12,"971","Random"
0,0,1,"2536","Random"
0,0,22,"1534","Random"
0,0,12,"1183","Random"
0,1457.70198343601,2,"7822","Random"
0,44.4115874597678,41,"5188","Random"
0,0,6,"2629","Random"
0,0,10,"2202","Random"
2,0,33,"3072","Random"
0,3070.93691529449,24,"2137","Random"
1,76.0653685719071,10,"9755","Random"
0,985.474223195285,34,"424","Random"
0,1551.71451956809,45,"5553","Random"
0,1431.97605827502,14,"179","Random"
0,69.7994619651517,1,"1212","Random"
0,3040.9286693822,14,"657","Random"
0,0,27,"6027","Random"
0,0,7,"3933","Random"
0,894.42267541099,17,"8363","Random"
0,605.951883722139,1,"876","Random"
0,232.988714078888,6,"9946","Random"
0,1242.98542287574,5,"1259","Random"
1,0,14,"8655","Random"
0,906.395315102299,33,"5636","Random"
0,196.322584086754,3,"1521","Random"
0,1868.99346393775,11,"7407","Random"
0,0,4,"5715","Random"
0,822.591944445629,4,"5989","Random"
0,664.630389590675,5,"1157","Random"
0,0,11,"166","Random"
0,1453.50810581495,7,"8098","Random"
0,0,27,"6499","Random"
0,0,13,"3738","Random"
0,780.683385959289,9,"6162","Random"
0,8670.05710077291,1,"1796","Random"
0,0,9,"9528","Random"
0,2028.03807113285,18,"2682","Random"
0,0,35,"1951","Random"
0,0,5,"5052","Random"
0,2000.73684661392,16,"545","Random"
0,75.6741100222262,1,"6289","Random"
0,0,1,"3111","Random"
0,0,12,"5414","Random"
0,3873.62499006193,4,"9726","Random"
0,141.711003081683,10,"5634","Random"
0,0,3,"5908","Random"
0,344.635970307122,1,"5482","Random"
0,644.245123372527,5,"7372","Random"
0,3683.56099998652,11,"4238","Random"
0,848.041914815115,4,"6596","Random"
0,1045.32285159858,3,"392","Random"
0,913.837579779084,15,"6706","Random"
0,2928.16775188837,32,"5909","Random"
0,2215.03579400258,3,"9299","Random"
0,570.326954531482,3,"5954","Random"
0,0,10,"2358","Random"
0,7.93576358243968,4,"7529","Random"
0,897.054435623202,9,"1390","Random"
0,495.676019049724,18,"2064","Random"
0,937.823116422582,25,"1957","Random"
0,131.992260030454,12,"6786","Random"
