"pia","puta","contacts","strategy"
0,3263.64663318747,1,"Random"
0,4850.10740087364,40,"Random"
0,1439.09759309249,1,"Random"
0,2272.91897039392,2,"Random"
0,0,3,"Random"
0,0,12,"Random"
0,827.646116045737,2,"Random"
0,858.592507206302,5,"Random"
1,2154.26003882112,18,"Random"
0,1032.46142074286,16,"Random"
0,0,9,"Random"
0,0,3,"Random"
0,4206.49770408435,10,"Random"
0,0,6,"Random"
0,2069.90880804507,1,"Random"
0,0,16,"Random"
0,132.307847868268,13,"Random"
0,0,11,"Random"
0,3078.05447919264,10,"Random"
0,0,2,"Random"
0,0,7,"Random"
0,773.114826768615,4,"Random"
0,167.337413723495,14,"Random"
0,0,13,"Random"
0,0,9,"Random"
0,0,7,"Random"
0,0,11,"Random"
0,0,2,"Random"
0,444.080165396933,26,"Random"
0,1138.77801393913,6,"Random"
0,0,20,"Random"
0,683.219955108513,1,"Random"
0,0,17,"Random"
0,5612.32958385813,34,"Random"
0,262.828501826108,7,"Random"
0,0,18,"Random"
0,53.4101051571142,1,"Random"
0,784.915083816703,1,"Random"
0,200.070309662873,16,"Random"
0,0,2,"Random"
1,0,8,"Random"
0,3700.41269498728,11,"Random"
0,1900.30676918088,1,"Random"
0,1664.50898535771,9,"Random"
0,4285.94418963795,21,"Random"
0,2943.69173914829,7,"Random"
0,2309.59268570877,9,"Random"
0,1134.63336433417,6,"Random"
0,546.410042743738,8,"Random"
0,2170.65655617623,22,"Random"
0,366.850015801586,7,"Random"
0,757.840635117127,1,"Random"
0,0,8,"Random"
0,1598.47499782132,2,"Random"
0,1358.40405977628,33,"Random"
0,297.722112590951,6,"Random"
0,0,11,"Random"
0,3103.97281022043,1,"Random"
0,0,4,"Random"
1,1147.42327115629,12,"Random"
0,0,15,"Random"
0,154.407784683758,16,"Random"
0,2935.31743368082,10,"Random"
0,0,8,"Random"
0,0,18,"Random"
0,0,16,"Random"
0,1398.9656660845,16,"Random"
0,1708.72875247169,14,"Random"
0,454.382852696399,3,"Random"
0,596.085821822431,4,"Random"
1,93.6242672746514,3,"Random"
1,4853.48553109564,9,"Random"
0,0,12,"Random"
0,261.430816972968,7,"Random"
0,0,16,"Random"
0,0,13,"Random"
0,0,1,"Random"
0,1987.92546744342,7,"Random"
0,0,2,"Random"
0,679.222996807162,10,"Random"
0,2449.42182780162,16,"Random"
0,4150.47897464118,10,"Random"
0,2427.14053440459,10,"Random"
0,3457.76389202339,17,"Random"
0,5122.70624245653,7,"Random"
1,0,14,"Random"
0,816.835462118158,13,"Random"
0,1628.09897903935,9,"Random"
0,2304.26804073685,4,"Random"
0,1237.45857557106,5,"Random"
0,0,19,"Random"
0,310.701845750789,2,"Random"
0,0,5,"Random"
0,1230.91814597965,68,"Random"
0,1403.65736937421,4,"Random"
0,0,1,"Random"
0,4535.49600986557,19,"Random"
0,0,7,"Random"
0,1678.34755453313,6,"Random"
0,1425.3273870861,20,"Random"
0,0,42,"Random"
0,0,1,"Random"
0,422.274577695364,26,"Random"
0,145.25011736535,3,"Random"
0,0,1,"Random"
0,352.966152757373,7,"Random"
1,3224.2535674092,2,"Random"
0,48.0699267356149,5,"Random"
0,1111.91363040994,21,"Random"
0,2755.54510151281,9,"Random"
0,159.051840477046,9,"Random"
0,0,14,"Random"
0,1250.71578168765,10,"Random"
2,196.355457331042,30,"Random"
0,8.5846390603856,5,"Random"
0,1920.67015051143,1,"Random"
0,0,5,"Random"
0,1455.35972344877,6,"Random"
0,1345.8883312649,6,"Random"
0,531.192336013079,5,"Random"
0,633.035290616753,17,"Random"
0,1063.51859678231,7,"Random"
0,1838.97524513333,1,"Random"
0,123.653652026546,14,"Random"
0,0,2,"Random"
0,459.281646802668,11,"Random"
0,0,6,"Random"
0,1053.61408255414,11,"Random"
0,865.014810360745,28,"Random"
0,0,7,"Random"
0,2497.55030987562,10,"Random"
0,0,3,"Random"
0,0,3,"Random"
0,0,4,"Random"
0,4060.68707865292,1,"Random"
0,0,10,"Random"
0,0,1,"Random"
0,1671.75998922383,11,"Random"
0,0,2,"Random"
0,1244.13373081307,14,"Random"
0,0,12,"Random"
0,0,2,"Random"
0,772.405715652461,10,"Random"
0,0,11,"Random"
0,3228.24571003805,12,"Random"
0,626.600799495964,11,"Random"
0,0,10,"Random"
0,0,8,"Random"
0,0,1,"Random"
0,1454.3608901613,9,"Random"
0,0,19,"Random"
0,0,7,"Random"
0,3432.539157397,15,"Random"
2,250.088132851681,11,"Random"
0,5884.65011007863,5,"Random"
0,0,6,"Random"
0,385.991571835738,11,"Random"
0,537.302832036326,11,"Random"
0,0,1,"Random"
0,384.145822509975,3,"Random"
0,3818.80068466314,13,"Random"
0,11.9815299390384,3,"Random"
0,0,4,"Random"
0,123.259582820285,1,"Random"
0,0,4,"Random"
0,1472.59471863103,25,"Random"
0,155.585715455664,9,"Random"
0,2558.77767235625,4,"Random"
0,449.177591043293,1,"Random"
0,1203.08539422477,9,"Random"
0,1130.94939159412,14,"Random"
0,0,1,"Random"
0,4110.37928874109,17,"Random"
0,1124.86352422062,25,"Random"
0,12.6143670954407,11,"Random"
0,1442.6067574635,3,"Random"
0,0,18,"Random"
0,0,2,"Random"
0,906.391471578841,9,"Random"
0,186.173842631192,34,"Random"
0,2451.40017724973,79,"Random"
0,888.288749382101,4,"Random"
0,0,39,"Random"
0,466.948615298234,38,"Random"
0,2340.83844678701,12,"Random"
0,1704.38664623864,7,"Random"
0,286.775646185029,4,"Random"
0,2191.36052608458,5,"Random"
0,0,14,"Random"
0,0,12,"Random"
0,73.3786215195396,15,"Random"
0,719.417187365608,15,"Random"
0,143.723927667432,1,"Random"
0,0,6,"Random"
0,1246.54275613647,14,"Random"
0,135.776437827094,9,"Random"
0,0,5,"Random"
0,324.335197343925,17,"Random"
0,0,8,"Random"
0,4342.01483899503,7,"Random"
0,4151.02429219437,5,"Random"
0,2798.71674865382,22,"Random"
0,0,8,"Random"
2,0,8,"Random"
0,59.1066841906877,2,"Random"
0,126.084901359295,24,"Random"
0,283.736775498062,2,"Random"
0,0,41,"Random"
0,3055.4831791176,1,"Random"
0,428.579894677703,27,"Random"
0,213.885965571076,1,"Random"
0,46.0965888354176,1,"Random"
0,75.4637557777714,27,"Random"
0,1344.20838408901,8,"Random"
0,319.164046468341,1,"Random"
0,1011.58966485533,14,"Random"
0,1446.22005491754,7,"Random"
0,181.858722549316,1,"Random"
0,993.396799175214,28,"Random"
0,1419.20573525956,5,"Random"
0,0,14,"Random"
0,0,18,"Random"
0,236.845816390072,12,"Random"
0,0,4,"Random"
0,793.895521909241,1,"Random"
0,2100.73230289483,12,"Random"
0,1611.70395968564,5,"Random"
0,0,3,"Random"
0,0,15,"Random"
0,0,7,"Random"
1,2606.35134105387,6,"Random"
0,0,1,"Random"
0,1736.00966164587,6,"Random"
0,160.79476948141,5,"Random"
0,0,6,"Random"
0,789.964481807829,5,"Random"
0,3485.83567204032,27,"Random"
0,2893.09895217656,1,"Random"
0,0,3,"Random"
0,1108.09650651976,17,"Random"
0,1127.78287580669,33,"Random"
0,0,19,"Random"
0,926.136308344977,7,"Random"
0,0,5,"Random"
0,0,23,"Random"
0,548.899795457682,8,"Random"
0,0,11,"Random"
0,0,9,"Random"
0,2357.9038785369,18,"Random"
0,551.970561163717,5,"Random"
0,0,5,"Random"
0,609.966784086149,8,"Random"
0,361.84018370398,4,"Random"
0,10.167289232383,14,"Random"
0,0,11,"Random"
0,589.052708259749,10,"Random"
0,510.098104373575,44,"Random"
0,0,14,"Random"
0,0,1,"Random"
0,0,36,"Random"
0,131.445906333245,5,"Random"
0,0,11,"Random"
0,1459.96455773898,8,"Random"
0,0,2,"Random"
0,675.997432771079,3,"Random"
0,234.406979469146,7,"Random"
0,0,1,"Random"
0,1674.86647451265,29,"Random"
0,0,2,"Random"
0,3775.3342009421,21,"Random"
1,88.290412316599,11,"Random"
0,492.674731340177,9,"Random"
0,940.63806230391,9,"Random"
0,1753.14260211579,10,"Random"
0,3456.3210647922,12,"Random"
0,3072.65938442473,6,"Random"
0,0,5,"Random"
1,2943.15660883003,11,"Random"
0,2076.52168484215,6,"Random"
0,0,14,"Random"
0,1468.9470289538,9,"Random"
0,103.942111176809,11,"Random"
0,3329.47715050617,9,"Random"
0,0,7,"Random"
0,375.578025104478,1,"Random"
0,0,11,"Random"
0,0,2,"Random"
0,1647.4823086823,20,"Random"
0,0,16,"Random"
0,1275.60388957437,2,"Random"
0,1085.69706367334,6,"Random"
0,0,17,"Random"
0,350.905024835374,6,"Random"
0,3619.09968852674,10,"Random"
0,9.88834391472028,3,"Random"
0,1149.52484830758,14,"Random"
0,1726.77257424824,15,"Random"
0,4522.60535625054,2,"Random"
0,356.79735047949,19,"Random"
0,1995.17825948181,1,"Random"
0,0,11,"Random"
0,0,16,"Random"
0,0,12,"Random"
0,0,1,"Random"
0,1550.30715683997,22,"Random"
0,385.17281751648,5,"Random"
0,1440.04841628929,10,"Random"
0,3462.64841381021,36,"Random"
0,3561.20030863985,8,"Random"
0,1214.6637084419,57,"Random"
0,3708.30205995576,13,"Random"
0,2609.97219486855,29,"Random"
0,0,16,"Random"
0,0,4,"Random"
1,1062.39937621933,9,"Random"
0,1478.83879989265,3,"Random"
0,2487.31927872902,6,"Random"
1,440.080064216258,10,"Random"
0,0,16,"Random"
0,0,27,"Random"
0,0,7,"Random"
0,3809.8074679121,84,"Random"
0,0,1,"Random"
0,389.987988332859,2,"Random"
0,688.662939545365,5,"Random"
0,1162.43054487756,13,"Random"
0,0,9,"Random"
0,0,8,"Random"
0,0,10,"Random"
0,828.742592251306,17,"Random"
0,0,17,"Random"
0,562.1042983649,4,"Random"
0,3042.85682176127,7,"Random"
0,0,15,"Random"
0,1060.95499442617,15,"Random"
0,2355.11487498915,14,"Random"
2,61.3251490434322,12,"Random"
0,2811.80543766976,17,"Random"
0,0,16,"Random"
0,0,13,"Random"
0,0,15,"Random"
0,363.773578558792,1,"Random"
0,2047.26204129264,20,"Random"
0,0,2,"Random"
0,0,8,"Random"
0,3386.75406973557,23,"Random"
0,2077.93902799468,9,"Random"
0,3109.16528973804,10,"Random"
1,1278.40051958616,10,"Random"
0,0,16,"Random"
0,2863.39259412347,6,"Random"
0,2101.17542487029,5,"Random"
0,1108.80990888471,21,"Random"
0,12.9340104400044,1,"Random"
0,0,43,"Random"
0,2076.45202312686,6,"Random"
0,487.986775710534,11,"Random"
0,99.0868314838858,1,"Random"
0,0,15,"Random"
0,0,13,"Random"
0,0,8,"Random"
0,159.161086696604,15,"Random"
0,1611.3347201993,10,"Random"
0,835.232556627679,13,"Random"
0,0,2,"Random"
0,211.403345305482,18,"Random"
0,1370.55275092844,14,"Random"
0,284.009187005194,17,"Random"
0,278.681778503135,5,"Random"
0,112.438656885093,2,"Random"
0,1551.10443315118,3,"Random"
0,1466.00176033293,4,"Random"
0,1126.49151367028,12,"Random"
0,414.340704470257,2,"Random"
0,2680.70884990724,19,"Random"
0,1384.45867248868,8,"Random"
0,844.061116386385,5,"Random"
0,695.45846385241,13,"Random"
0,0,10,"Random"
0,0,11,"Random"
0,1123.60610156378,24,"Random"
0,1137.77560732763,9,"Random"
0,158.137715708178,14,"Random"
0,0,14,"Random"
0,1045.47856709508,1,"Random"
0,2329.69068731572,8,"Random"
0,1445.60047494711,15,"Random"
0,0,9,"Random"
0,110.245937333431,8,"Random"
0,2609.37066632296,14,"Random"
0,1456.91278572737,14,"Random"
0,0,1,"Random"
0,0,7,"Random"
0,0,1,"Random"
0,0,11,"Random"
0,2923.77710373796,8,"Random"
0,1120.33213297024,8,"Random"
0,681.468053858121,31,"Random"
0,58.402896409737,9,"Random"
0,0,7,"Random"
0,292.89431876302,2,"Random"
0,0,4,"Random"
0,0,12,"Random"
0,0,31,"Random"
0,0,1,"Random"
0,0,14,"Random"
0,4215.34820823992,1,"Random"
0,1235.95930739721,5,"Random"
0,42.526039467764,14,"Random"
0,238.246929870799,4,"Random"
0,1654.14069571167,6,"Random"
0,4571.39753837553,17,"Random"
0,671.189881317849,6,"Random"
0,0,2,"Random"
0,2435.92554121632,16,"Random"
0,524.19776536373,15,"Random"
0,3176.60461392364,23,"Random"
0,1575.24500788147,1,"Random"
0,0,6,"Random"
0,3162.38470868088,14,"Random"
0,3778.73118559487,4,"Random"
0,2812.55613171166,1,"Random"
0,0,2,"Random"
0,586.345671373773,4,"Random"
0,689.716332718898,1,"Random"
0,0,10,"Random"
0,0,3,"Random"
0,1941.68891939592,1,"Random"
0,1367.08439095992,10,"Random"
0,2142.48569235416,1,"Random"
1,260.725948703109,12,"Random"
0,104.690164707326,46,"Random"
0,0,1,"Random"
0,495.185207654239,24,"Random"
0,993.800722105585,8,"Random"
0,13.7097051256678,5,"Random"
0,3968.65902732097,22,"Random"
0,0,9,"Random"
0,0,1,"Random"
0,0,1,"Random"
0,1067.14346380707,7,"Random"
0,20.9256110557581,11,"Random"
0,1655.95021988138,11,"Random"
0,392.958779199315,11,"Random"
0,1447.67296345686,7,"Random"
0,1818.95318635755,1,"Random"
0,0,14,"Random"
0,2098.3948718181,1,"Random"
0,0,18,"Random"
0,0,1,"Random"
0,0,6,"Random"
1,289.585814068713,14,"Random"
0,0,16,"Random"
0,2174.87536185105,5,"Random"
0,215.473842976238,13,"Random"
0,215.000201323597,8,"Random"
0,924.281893241165,1,"Random"
0,72.4445326973805,5,"Random"
0,3828.70554907484,5,"Random"
0,1458.57935630628,5,"Random"
0,2123.1562867747,6,"Random"
0,262.793345660061,1,"Random"
0,2140.51120050299,14,"Random"
0,398.705472320991,37,"Random"
0,949.432101983182,39,"Random"
0,0,2,"Random"
0,1000.08766624586,1,"Random"
0,326.612828812444,1,"Random"
0,699.348088571663,7,"Random"
0,1522.26355147686,17,"Random"
0,0,12,"Random"
0,1158.77998519467,15,"Random"
0,0,10,"Random"
0,149.551814525996,2,"Random"
0,115.417437580137,7,"Random"
0,422.46737699058,10,"Random"
0,1286.05592969407,14,"Random"
0,0,9,"Random"
0,0,6,"Random"
0,0,2,"Random"
0,0,14,"Random"
0,0,8,"Random"
0,2203.40692843724,7,"Random"
0,1228.77438365456,14,"Random"
1,451.414459614721,17,"Random"
0,0,6,"Random"
0,2560.04991656837,8,"Random"
1,3406.08241661138,6,"Random"
0,0,16,"Random"
0,0,9,"Random"
0,0,13,"Random"
0,438.100612692015,11,"Random"
0,659.902136340596,15,"Random"
0,0,17,"Random"
0,1633.09482390399,21,"Random"
0,1201.21893202949,14,"Random"
0,0,7,"Random"
0,4301.76842173752,15,"Random"
0,701.145732343312,5,"Random"
1,1561.39967299904,3,"Random"
0,0,2,"Random"
0,343.633431724752,14,"Random"
0,923.736689305183,10,"Random"
0,0,5,"Random"
0,623.522587273887,13,"Random"
0,2669.360366926,5,"Random"
0,0,25,"Random"
0,2088.31132381864,1,"Random"
0,1613.6580074203,9,"Random"
0,907.301817986623,10,"Random"
0,3277.02011677427,24,"Random"
0,0,1,"Random"
0,553.608573941044,1,"Random"
0,0,29,"Random"
0,1495.49300963248,38,"Random"
0,1006.68622034105,11,"Random"
1,0,14,"Random"
0,992.33141926402,8,"Random"
0,2678.92495735712,1,"Random"
0,0,3,"Random"
1,2876.17152096536,20,"Random"
0,2117.15529099966,4,"Random"
0,838.801027111905,14,"Random"
0,0,7,"Random"
0,3606.42436416929,16,"Random"
0,0,4,"Random"
0,591.550765672077,19,"Random"
0,0,1,"Random"
0,2108.20579021709,4,"Random"
0,0,13,"Random"
0,0,1,"Random"
0,0,20,"Random"
0,2629.1648589681,25,"Random"
0,1780.6832653824,3,"Random"
0,0,6,"Random"
0,538.364411377852,4,"Random"
0,3620.17363206187,4,"Random"
0,0,4,"Random"
0,1386.46665009343,8,"Random"
0,0,2,"Random"
0,395.568731821431,6,"Random"
0,0,2,"Random"
0,0,3,"Random"
0,1057.38348722185,8,"Random"
0,992.419985922878,7,"Random"
0,0,24,"Random"
0,2751.67852864843,16,"Random"
0,1129.71516556766,17,"Random"
0,0,1,"Random"
0,0,11,"Random"
1,5651.08472813147,14,"Random"
0,182.129322226897,1,"Random"
0,0,3,"Random"
0,142.152538614562,10,"Random"
0,0,6,"Random"
0,0,12,"Random"
0,1742.85624172024,7,"Random"
0,369.086044941866,9,"Random"
0,2082.13126536447,16,"Random"
0,1629.9988206384,4,"Random"
0,664.808314952943,13,"Random"
0,1657.70328238121,2,"Random"
0,3881.08561737075,14,"Random"
0,130.206501794621,15,"Random"
0,2549.48044364498,8,"Random"
1,3460.42220535656,5,"Random"
0,3753.79780808296,20,"Random"
0,0,13,"Random"
0,0,14,"Random"
0,0,12,"Random"
0,0,7,"Random"
0,0,9,"Random"
0,658.157091801855,7,"Random"
1,689.859062908985,10,"Random"
0,138.693596542202,11,"Random"
0,5071.53573218065,14,"Random"
0,1153.27480637593,15,"Random"
0,495.676019049724,18,"Random"
0,1398.74687958711,23,"Random"
0,0,12,"Random"
0,470.941440965342,4,"Random"
0,210.633862037476,6,"Random"
0,1033.66156703298,13,"Random"
1,343.111496337358,3,"Random"
0,950.45507935256,10,"Random"
0,368.220063345052,18,"Random"
0,659.472434667064,5,"Random"
0,0,6,"Random"
0,0,24,"Random"
0,3843.60862265362,13,"Random"
1,0,1,"Random"
0,2498.92928575896,10,"Random"
0,270.141709673673,9,"Random"
0,0,6,"Random"
0,1916.74818555651,1,"Random"
0,419.611387748558,4,"Random"
0,2285.84610023734,16,"Random"
0,524.47327979467,14,"Random"
0,0,13,"Random"
0,2644.83533149138,13,"Random"
0,98.07062255659,1,"Random"
0,3260.85805599256,7,"Random"
0,2317.19850390513,8,"Random"
0,0,12,"Random"
0,1113.48677877724,6,"Random"
0,0,4,"Random"
0,451.501809029398,7,"Random"
0,1841.28681713897,9,"Random"
0,0,9,"Random"
0,1260.89779583953,20,"Random"
0,3196.32205726892,7,"Random"
0,1287.61930659244,7,"Random"
0,1696.84148592585,11,"Random"
0,3.15008154071006,9,"Random"
0,726.621988424604,13,"Random"
0,2478.60621785398,14,"Random"
