"Strategy","Units","Contacts_Small","Contacts_Large"
"Size=5,D=0.005",406,2110.71774341823,4171.41654169659
"Size=2,D=0.005",2090,11164.4697933249,11400.075898734
"Growth,size=5,W=6mo,D=0.01",20,100.252479542939,184.429100103371
"Random allocation",30,104.700189265951,104.700189265951
"RITA",3730,12216.7086344233,12216.7086344233
"Network,partners>4",5620,28509.8676440671,28509.8676440671
