"Strategy","Units","Contacts_Small","Contacts_Large"
"Size=5,D=0.005",378,1946,3754
"Size=2,D=0.005",2102,11152,11195
"Growth,size=5,W=6mo,D=0.01",14,74,124
"Random,10%",3658,11989,11989
"RITA",3783,12451,12451
"Network,partners>4",26842,379101,379101
