"simid","intervention","ida_per_contact","pia_per_contact","ida_random","pia_random","ida_diff","pia_diff","ida_ratio","pia_ratio","ida_pct_change","pia_pct_change"
1,"network",80.837585410521,0,8.10319987486507,0,72.7343855356559,0,9.9760078313343,NA,897.60078313343,NA
18,"network",64.7048804303327,0,328.084314055355,0,-263.379433625022,0,0.197220280453321,NA,-80.2779719546679,NA
22,"network",20.2947858877868,0,40.9626864545098,0,-20.667900566723,0,0.495445676160051,NA,-50.4554323839949,NA
24,"network",113.11628678469,0,48.789824858582,0,64.3264619261081,0,2.31844010739041,NA,131.844010739041,NA
27,"network",128.865253221667,0,0,0,128.865253221667,0,NA,NA,NA,NA
28,"network",109.297055299892,0,119.00833030069,0,-9.71127500079808,0,0.918398359373153,NA,-8.16016406268473,NA
29,"network",86.8833135527153,0.025,871.913068418175,0,-785.02975486546,0.025,0.0996467614716901,NA,-90.035323852831,NA
32,"network",11.8563123711672,0,12.3168758375189,0,-0.460563466351639,0,0.962607119497892,NA,-3.73928805021075,NA
34,"network",54.8549624754063,0,114.604990523257,0,-59.7500280478511,0,0.47864375037206,NA,-52.135624962794,NA
42,"network",24.6267070831228,0,24.6267070831228,0,0,0,1,NA,0,NA
46,"network",55.9022405568332,0,176.005912953151,0,-120.103672396318,0,0.317615696080125,NA,-68.2384303919875,NA
56,"network",53.3505738833647,0.0087719298245614,129.629574670044,0,-76.2790007866791,0.0087719298245614,0.411561744448842,NA,-58.8438255551158,NA
62,"network",42.536583285177,0,0,0,42.536583285177,0,NA,NA,NA,NA
64,"network",58.4130286423196,0,47.1860192254675,0,11.2270094168521,0,1.2379308447955,NA,23.7930844795499,NA
65,"network",77.3718464690464,0,0,0,77.3718464690464,0,NA,NA,NA,NA
68,"network",102.413749822507,0.012987012987013,306.364439479329,0,-203.950689656822,0.012987012987013,0.334287327852282,NA,-66.5712672147718,NA
72,"network",80.3230187891656,0,319.164046468341,0,-238.841027679175,0,0.251666876886564,NA,-74.8333123113436,NA
73,"network",79.0757312412732,0,578.719656981375,0,-499.643925740102,0,0.13663909681889,NA,-86.3360903181109,NA
