"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median","Low","High","PIA","PIA_Low","PIA_High"
"Size=5,D=0.005","small",2110.71774341823,754409.901779895,357.418657294346,266.038479056303,0,852.180647943167,0.0689655172413793,0,0
"Size=5,D=0.005","large",4171.41654169659,754409.901779895,180.852210331664,145.094175801135,0,417.286088686753,0.0689655172413793,0,0
"Size=2,D=0.005","small",11164.4697933249,2865781.69455081,256.687666105222,183.96882740363,0,663.839805021247,0.0641148325358852,0,0
"Size=2,D=0.005","large",11400.075898734,2865781.69455081,251.382685519581,182.359864927814,0,654.066312986454,0.0641148325358852,0,0
"Growth,size=5,W=6mo,D=0.01","small",100.252479542939,63669.267335127,635.089203034195,450.969980622311,136.923783094176,1336.61891097534,0.2,0,1
"Growth,size=5,W=6mo,D=0.01","large",184.429100103371,63669.267335127,345.223542810982,252.710278696929,62.1578322161542,878.212725641497,0.2,0,1
"Random allocation","-",104.700189265951,28520.5351979295,272.401945000157,107.812323021808,0,775.681634151641,0,0,0
"RITA","-",12216.7086344233,3886200.61043832,318.105369189871,221.567556691672,0,881.696712330555,0.0563002680965147,0,1
"Network,partners>4","-",28509.8676440671,6323528.06921136,221.801382881105,126.303508741637,0,598.73307292355,0.048932384341637,0,0.19999910119658
