"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median_PUTA","Low_PUTA","High_PUTA","Total_PIA","PIA/contact","Median_PIA","Low_PIA","High_PIA"
"Size=5,D=0.005","small",1945.82807060624,739285.720678625,379.93373199118,303.688246845957,6.21124804151446,864.374245617565,26,0.0133619205071389,0,0,0
"Size=5,D=0.005","large",3753.59115777911,739285.720678625,196.954247173802,154.98685487397,2.90342042307791,475.579166926006,26,0.00692670003394387,0,0,0
"Size=2,D=0.005","small",11152.4804540241,2931557.76622539,262.861502273929,192.767913680944,0,683.778292835405,177,0.0158709087838961,0,0,0
"Size=2,D=0.005","large",11195.333102671,2931557.76622539,261.855340912186,192.193692550446,0,685.094980510077,177,0.0158101593205629,0,0,0
"Growth,size=5,W=6mo,D=0.01","small",74.0398502381433,62553.0777833693,844.856892365021,885.569637087086,302.929874892864,1198.41170843016,5,0.067531200885981,0,0,0.2
"Growth,size=5,W=6mo,D=0.01","large",123.959493891655,62553.0777833693,504.625146647041,446.699291615427,176.711028021269,1417.55450733063,5,0.0403357568107706,0,0,0.157127144462493
"Random,10%","-",11929.2941069607,3126465.15938491,262.082997648674,115.317656334725,0,783.160438923299,128,0.0107298888645316,0,0,0
"RITA","-",12685.01043061,4038690.07731213,318.38287397592,242.889465251423,0,858.208313258793,332,0.0261726233349289,0,0,0
"Network,partners>4","-",379101,25520703.3752167,67.3190083255299,36.0230570750962,0,241.996669578813,1365,0.0036006235805234,0,0,0
