donor,recipient,distance,timetransmission,contacttype,simid
0,0.3,0.016,220.98235658074566,F,56
0,0.4,0.01,636.1282945283617,F,56
0,0.5,0.002,2260.609045851837,G,56
0.1,0.1.1,0.001,795.8408063424182,G,56
0.1,0.1.2,0.0,1374.4481076661943,G,56
0.2,0.2.1,0.002,243.95496099076388,G,56
0.2,0.2.2,0.001,498.42314095861957,G,56
0.3,0.3.1,0.001,442.4968657402982,G,56
0.3,0.3.2,0.006,882.0735478302217,F,56
0.1.2,0.1.2.1,0.002,1432.7949536005056,G,56
0.2.1,0.2.1.1,0.001,500.0788685458605,G,56
0.2.2,0.2.2.1,Inf,683.1690632508011,F,56
0.3.2,0.3.2.1,0.004,2318.8039124655124,F,56
0.2.1.1,0.2.1.1.1,0.001,512.8495551414609,G,56
0.2.1.1,0.2.1.1.2,0.002,1132.4598320168802,G,56
0.3.2.1,0.3.2.1.1,0.003,3541.3366733419466,G,56
0.3.2.1,0.3.2.1.2,0.005,4349.736622480394,F,56
0.3.2.1,0.3.2.1.3,0.003,5066.034574920938,F,56
,,,,,57
,,,,,58
0,0.1,0.004,172.03798001655022,G,59
0.1,0.1.1,0.0,2122.4183801320087,H,59
0.1,0.1.2,0.005,2159.2382670514876,G,59
0,0.1,0.0,559.7963127224358,G,60
0.1,0.1.1,0.009,835.9067573296846,G,60
0.1.1,0.1.1.1,0.013,1129.0878364022703,F,60
0.1.1,0.1.1.2,Inf,1667.9365553380483,F,60
0.1.1.1,0.1.1.1.1,0.005,2520.4062770446585,F,60
0.1.1.2,0.1.1.2.1,Inf,2162.416736930245,F,60
0,0.1,0.0,447.1655331590789,H,61
,,,,,62
,,,,,63
,,,,,64
0,0.1,0.005,235.18610748562085,G,65
0,0.1,0.004,357.61088424255155,G,66
,,,,,67
,,,,,68
0,0.1,Inf,119.85152544359795,G,69
0,0.2,0.001,127.98753303305581,G,69
0.1,0.1.1,Inf,1420.960245515884,G,69
0.1,0.1.2,Inf,1645.3585155609205,H,69
0.1,0.1.3,Inf,3179.5730335513435,G,69
0.1,0.1.4,Inf,3901.560092441678,G,69
0.1.2,0.1.2.1,0.023,3029.8357498139853,H,69
0.1.2,0.1.2.2,0.004,4294.301722808183,G,69
0.1.4,0.1.4.1,0.01,4244.949542776935,G,69
0.1.2.1,0.1.2.1.1,0.007,3455.6096344805037,F,69
0.1.4.1,0.1.4.1.1,0.007,4418.434228133988,G,69
0.1.4.1,0.1.4.1.2,0.016,4470.658200531694,G,69
0.1.4.1,0.1.4.1.3,0.007,5587.077490454097,G,69
0.1.4.1,0.1.4.1.4,0.005,6011.7800034553675,G,69
0.1.4.1,0.1.4.1.5,0.007,6557.202542598828,H,69
0,0.1,0.008,509.38437374589614,G,70
0,0.2,0.001,1673.5488795636552,G,70
0.1,0.1.1,0.003,1313.4872011798964,G,70
0.1.1,0.1.1.1,0.0,1837.698325767297,G,70
,,,,,71
0,0.1,0.002,320.01331907979835,G,72
0,0.2,0.0,603.8093969899181,G,72
0,0.1,0.01,162.82439292985686,G,73
0.1,0.1.1,0.006,281.67881816544104,G,73
,,,,,74
,,,,,75
0,0.1,0.004,42.678011541162874,G,76
0.1,0.1.1,0.006,113.3605924479098,F,76
0,0.1,0.007,330.73566505200097,G,77
0,0.1,0.008,345.0064437316574,G,78
0.1,0.1.1,0.002,364.724086327401,G,78
0.1.1,0.1.1.1,0.001,382.1793000776293,F,78
0.1.1,0.1.1.2,0.011,1255.2606203216403,G,78
0.1.1.1,0.1.1.1.1,0.005,641.0816445452166,F,78
0.1.1.2,0.1.1.2.1,0.019,1392.6484665510477,G,78
0.1.1.2,0.1.1.2.2,0.009,1737.79919589071,G,78
,,,,,79
0,0.1,0.004,46.31083148063887,G,80
0,0.2,0.005,238.36847300468878,G,80
0.1,0.1.1,0.008,217.59321778683008,F,80
0,0.1,0.002,90.2809645619559,G,81
0.1,0.1.1,0.002,613.4145953748268,G,81
,,,,,82
0,0.1,0.006,1092.9396567984145,G,83
0,0.2,0.004,1184.337583582336,G,83
0,0.3,0.007,1499.154059171364,G,83
0.2,0.2.1,0.009,1249.7225347081853,G,83
0.3,0.3.1,0.011,1719.8891749868917,G,83
0.2.1,0.2.1.1,0.003,1419.9550185817097,G,83
0.3.1,0.3.1.1,Inf,2376.8433499680286,F,83
0.3.1.1,0.3.1.1.1,Inf,2612.3304634798774,H,83
0.3.1.1,0.3.1.1.2,Inf,2706.2044154682626,H,83
0.3.1.1,0.3.1.1.3,Inf,4672.717294527396,G,83
0,0.1,Inf,805.7968271190144,G,84
0,0.1,0.001,2073.052786512881,G,85
0,0.1,0.006,647.4156447337446,G,86
0.1,0.1.1,0.005,1067.291422364045,G,86
,,,,,87
0,0.1,0.012,717.9474256164741,G,88
0,0.1,0.001,310.0236482197205,F,89
,,,,,90
,,,,,91
0,0.1,0.005,268.9565271031783,F,92
0.1,0.1.1,0.007,510.29129688662306,F,92
0.1,0.1.2,0.013,649.5886883816037,F,92
0.1.1,0.1.1.1,0.01,969.1908321751336,F,92
0.1.2,0.1.2.1,0.006,896.5881220692894,G,92
0,0.1,0.007,626.4278139075651,G,93
