donor,recipient,distance,timetransmission,contacttype,simid
0.2.1.1,0.2.1.1.3,0.005,879.9377726817736,F,29
0.2.2.1,0.2.2.1.1,0.015,1749.1213401752468,F,29
0.2.2.1,0.2.2.1.2,0.009,1876.6153480105545,F,29
0.2.2.1,0.2.2.1.3,0.01,1882.1134084340704,F,29
0.2.3.1,0.2.3.1.1,0.0,3484.5767610693824,G,29
0.2.1.1.1,0.2.1.1.1.1,0.0,809.9341359090781,F,29
0.2.1.1.2,0.2.1.1.2.1,0.0,831.0649136428257,G,29
0.2.2.1.2,0.2.2.1.2.1,0.006,1924.1721823730934,G,29
0.2.2.1.3,0.2.2.1.3.1,0.009,1983.8442000344064,F,29
0.2.1.1.1.1,0.2.1.1.1.1.1,0.005,915.0750886333091,F,29
0,0.1,0.002,144.69663425296332,G,30
0,0.1,0.003,792.8139614124422,G,31
0,0.1,0.001,1468.6868599795675,G,32
0.1,0.1.1,0.003,2019.341478999357,G,32
0.1.1,0.1.1.1,0.003,2112.07599636764,F,32
0,0.1,0.023,153.1595323860041,F,34
0.1,0.1.1,0.006,781.810649112945,F,34
0.1,0.1.2,0.011,1389.8638629524883,F,34
0.1.1,0.1.1.1,0.006,1105.3182739601727,F,34
0.1.1.1,0.1.1.1.1,0.005,1593.955335141793,F,34
0,0.1,0.001,227.44463013209437,G,37
0,0.2,0.006,404.1004904962404,H,37
0,0.1,0.004,854.5185557607574,G,39
0,0.2,0.003,1826.4919785681711,G,39
0.2,0.2.1,0.003,2076.7877071238227,G,39
0,0.1,Inf,1863.1315707208478,G,40
0.1,0.1.1,0.006,2398.899788511125,G,40
0,0.1,0.007,236.5054380677776,G,42
0.1,0.1.1,0.003,323.2172744926348,G,42
0,0.1,0.012,171.47338024289317,G,46
0.1,0.1.1,0.015,458.4410227979283,G,46
0.1,0.1.2,0.01,738.4360560504821,G,46
0.1.2,0.1.2.1,0.015,1039.867363221432,G,46
0.1.2,0.1.2.2,0.006,1657.2550174576593,G,46
0.1.2.2,0.1.2.2.1,0.004,1768.2310946267278,F,46
0.1.2.2,0.1.2.2.2,0.002,1892.7361740322121,F,46
0.1.2.2.1,0.1.2.2.1.1,0.007,2476.455221310673,F,46
0.1.2.2.2,0.1.2.2.2.1,0.008,1916.4729150072817,F,46
0.1.2.2.1.1,0.1.2.2.1.1.1,0.013,2831.997575420344,F,46
0.1.2.2.1.1,0.1.2.2.1.1.2,0.004,2849.7871938622757,F,46
0.1.2.2.1.1,0.1.2.2.1.1.3,0.012,3352.0076363569665,F,46
0,0.1,0.001,1250.9983538427948,F,47
0,0.1,0.0,1712.9547895030762,G,49
0,0.1,Inf,63.29153013729998,G,51
0,0.1,0.006,465.7921496650577,G,52
0,0.1,0.009,44.32024735823712,F,56
0,0.2,0.003,130.45016228303479,F,56
0,0.3,0.004,912.888717825957,F,56
0.1,0.1.1,0.004,222.36506337721886,F,56
0.1.1,0.1.1.1,0.006,307.11502788344626,F,56
0.1.1.1,0.1.1.1.1,0.005,492.3155321546202,F,56
0.1.1.1.1,0.1.1.1.1.1,0.002,521.5300848343179,G,56
0.1.1.1.1.1,0.1.1.1.1.1.1,0.003,545.914219263956,G,56
0.1.1.1.1.1,0.1.1.1.1.1.2,0.002,881.5312633946176,G,56
0,0.1,Inf,617.4234596658474,G,62
0,0.2,Inf,1543.1326523183495,F,62
0,0.3,Inf,2405.814789250496,F,62
0.1,0.1.1,Inf,777.0286179048106,G,62
0.3,0.3.1,Inf,2949.6164028905355,H,62
0.3,0.3.2,Inf,4231.784225430782,F,62
0.3.1,0.3.1.1,0.0,3229.75574543012,G,62
0.3.2,0.3.2.1,0.002,5114.167422670166,F,62
0,0.1,0.015,265.8769465096173,G,64
0.1,0.1.1,0.02,801.2619000095672,G,64
0.1.1,0.1.1.1,0.011,1011.7782927156813,G,64
