pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0.4.2.1.1,2290.2341807436414,2280.64833614948,1325.1448748373548,4,1,3,0.036502761059657246,17
0.4.2.2.1,3127.1839615918266,3127.0837965740766,1432.281701211224,4,1,3,4.505104906257219e-6,17
0.4.2.2.2,Inf,3957.594189559966,1514.4313198216262,4,0,1,0.004497469975146228,17
0.4.2.2.3,1989.3429155015117,1976.4042695278952,1838.274415727306,4,1,1,0.002181139660187149,17
0.4.2.2.4,2388.886561886569,2367.6351143554607,2073.126957253343,4,2,0,5.3166857855509025e-6,17
0.4.2.2.5,2628.4916054878922,2626.0668669232664,2079.612908059962,4,0,2,7.205557828931268e-7,17
0.5.1.1.1,760.3450074614196,722.2412061585826,688.575562673049,4,1,2,0.019049220738670613,17
0.5.1.2.1,3903.179508419009,3865.3399870999765,1004.5688973395243,4,1,0,0.000557582587471336,17
0.5.1.2.2,Inf,4216.647451477664,1032.1844539621459,4,1,0,0.009376797499720129,17
0.5.1.2.3,2790.276224960903,2753.4264071808375,2374.214558853639,4,1,1,0.006181538440056875,17
0.5.1.2.4,5243.151785351669,5225.01042220614,2412.2038066975574,4,1,0,0.02300655364232103,17
0.6.1.1.1,4439.7641770261425,4413.664625736925,3550.2384651420666,4,1,1,0.002505455353421854,17
0.6.1.2.1,Inf,4275.212227853541,3448.5362330719367,4,1,3,0.0014098211057442715,17
0.6.1.2.2,6125.033209108807,6117.702860348694,4870.908328045752,4,1,3,0.0014769588390988963,17
0,1624.026064264007,1590.0447043518566,0.0,0,0,1,0.06141334793786044,18
0,871.2549631396245,792.4854410398498,0.0,0,0,1,0.0029211343633965964,19
0,1822.0965063684764,1777.1843209945398,0.0,0,0,3,0.0038367449117674562,20
0.1,1191.810857392752,1116.910454042425,339.23026606125626,1,1,3,4.652947283144035e-6,20
0.1.1,2075.3724759891793,2065.960904521243,373.7066560714177,2,0,3,0.018411328599336366,20
0.1.2,1125.727929271938,1125.5058358733734,420.4477332970393,2,0,3,0.00041512944672048756,20
0.1.3,1693.1704408395033,1691.1395539991286,469.1608276478992,2,0,1,0.006564267796153331,20
0,2008.3023239768895,2006.7449190904877,0.0,0,1,2,0.038041281577508655,21
0.1,Inf,2740.240408344555,215.63808501594355,1,1,0,0.00028523376879202865,21
0.2,1791.2103860091543,1786.7378476383815,624.3374857295701,1,0,3,4.7550698507357685e-5,21
0,2848.7356659547154,2676.5005763421277,0.0,0,0,3,0.0015446228924191486,22
0.1,4394.169386740496,4363.791249235566,157.8252091513638,1,0,2,0.00018995948400544487,22
0.2,2409.7927652491117,2406.299663840753,244.31274386620987,1,1,3,2.2673350111128658e-10,22
0.3,3661.8413298825044,3654.0040609312427,1984.3966034465848,1,0,2,0.004144016604594026,22
0.1.1,2601.814059226709,2580.3088534735552,1982.9347249271416,2,1,3,0.0010083976920712368,22
0.2.1,3333.946835319527,3332.912308874408,262.20722172393266,2,1,1,9.87886651710325e-7,22
0.2.2,964.9280589397488,953.52726717994,315.79875881662025,2,1,2,0.03374184015129161,22
0.2.3,3329.0934053216183,3324.232760083002,1890.5697627643879,2,0,3,0.12241902185813516,22
0.2.4,3450.8228544708927,3434.7166752964235,2033.7943469493925,2,1,1,0.01993948589758032,22
0.3.1,5557.873800499414,5557.112309037347,3570.447872038016,2,1,2,0.0349426629133718,22
0.1.1.1,4138.190245942859,4137.195481092293,1987.374971024685,3,0,2,0.0010353542574990072,22
0.1.1.2,2669.651418923344,2647.1480819663157,2138.8177629213455,3,1,0,0.05568915343107129,22
0.2.1.1,3870.621072039214,3820.721569014003,275.22972202211,3,0,2,0.03493352736050468,22
0.2.2.1,4854.142696532825,4836.032558982454,600.1714284696814,3,0,3,0.01734081882538254,22
0.2.3.1,4014.7791837062778,3995.973345553043,2221.5954422142754,3,0,0,0.02964917070027164,22
0.2.3.2,4505.894697467849,4499.805379459785,2438.935265647499,3,0,1,0.21325362728671443,22
0.2.3.3,3529.641587908009,3473.9977554971333,2650.7348616063127,3,0,1,1.0409869057538935e-6,22
0.2.3.4,4503.34205999765,4486.244716811256,3110.4132805562153,3,1,1,0.0003700087931388774,22
0.3.1.1,5424.971600461711,5407.459900027781,3978.7082011249468,3,1,3,0.03817629532703165,22
0.1.1.1.1,2673.05085413892,2655.5591295760555,2170.5256693203232,4,0,1,0.00014936268377170806,22
0.2.2.1.1,1360.1009731326217,1357.786847723281,1029.4713841703165,4,1,3,0.03699095423785611,22
0.2.2.1.2,1327.4919474355024,1323.754064310764,1323.5467739001963,4,0,2,0.022595897173221264,22
0.2.2.1.3,4840.73185129576,4828.902762134906,3709.5036790811578,4,1,2,0.03713779019763828,22
0.2.2.1.4,4309.011077470187,4289.0946461794965,4265.522079081463,4,1,2,0.007884699317070564,22
0.3.1.1.1,Inf,6787.749672031041,4271.195057599124,4,0,3,0.023823719239383163,22
0.3.1.1.2,7734.279727594564,7715.742629383731,5241.733304421653,4,1,0,0.01846517394493576,22
0,1016.3147830914131,983.4950632718776,0.0,0,0,1,0.01026485857880513,23
0,275.04225894941015,271.7379123356791,0.0,0,0,3,0.018910159198489065,24
0,2321.0769534502883,2307.401379535443,0.0,0,0,2,1.729877044013101e-6,25
0,38.251810365831076,30.944790761364672,0.0,0,1,3,0.0011797510396793457,26
0,69.34184083510719,55.5428852312082,0.0,0,0,3,2.467516131813942e-7,27
0,251.50642002994138,183.73953909082928,0.0,0,0,2,0.000383893251342501,28
0,189.6864100808531,145.81956098953887,0.0,0,0,1,2.1852456900915387e-10,29
0,1955.8104414713025,1950.0788579208493,0.0,0,0,2,0.05550254249952834,30
0,670.0783181231699,607.8779373592912,0.0,0,1,2,2.495639396420145e-5,31
0.1,958.4536909152331,951.6041232453513,226.83754394341923,1,1,3,1.2810999919660751e-5,31
0.1.1,1714.2878734068056,1713.8313664086886,490.29698093095135,2,1,3,0.001770344164460359,31
0.1.2,1920.5185756057053,1914.315152990448,836.2116797040932,2,1,0,2.492355302617251e-5,31
0.1.1.1,3573.9358326661295,3523.9796884420393,1404.9785670525523,3,1,1,0.09811258172131898,31
0.1.1.1.1,3813.5324835665388,3744.6886238239636,3206.3700652056623,4,1,3,0.09509138999409945,31
0,738.4139553136074,735.6986391573821,0.0,0,0,2,0.06226109200706666,32
0.1,326.09101426947024,317.20073924769486,116.58970509981305,1,0,3,0.10813068429640141,32
0.1.1,2300.032295876811,2291.31301700724,411.069826997924,2,0,2,0.045010155322508405,32
0.1.1.1,1771.6548443054392,1730.6419194748273,1339.1088040265422,3,1,1,0.00010039175302041785,32
0.1.1.2,2690.39216186405,2674.196903265748,1434.149838173735,3,1,2,0.03776360730688709,32
0,Inf,1119.2528372683496,0.0,0,0,2,1.771090125299579e-9,33
0,252.2304571982746,199.1036805944209,0.0,0,0,3,0.0560915932848178,34
0,919.8429636325352,881.8823799208856,0.0,0,0,1,0.024553769318757957,35
0,187.11883185592905,171.61278189321234,0.0,0,0,2,0.0011977002628153347,36
0,1578.4093922128495,1560.4801912560242,0.0,0,0,1,0.007231629779197067,37
0,2230.467916440177,2228.9339465456305,0.0,0,1,3,0.0007560674201114416,38
0.1,1946.243791325596,1921.1638309794673,163.70934930316295,1,1,3,0.0005667225071440216,38
0.2,495.1008579992367,446.7630213417541,171.41354562985723,1,0,1,0.04899721916247756,38
0.3,878.5186326533078,824.6976944595892,687.3110249322883,1,0,2,4.9148458036066355e-5,38
0.4,3857.4703913157073,3855.7429094444446,2115.9652036028074,1,1,0,0.08294178365730502,38
0.1.1,3101.6554439656757,3089.7060300630287,1836.9091849536371,2,2,1,0.03567894000602847,38
0.1.2,4225.459566422604,4225.362363490214,1902.175112604169,2,0,1,1.1610036352474398e-5,38
0.1.1.1,Inf,4052.1191443355387,2049.4047802929003,3,1,3,0.04568115922244179,38
0.1.1.1.1,3274.0482453394197,3226.712874940073,2176.523329098433,4,0,3,0.12398253195502675,38
0.1.1.1.2,Inf,4842.741659261399,2753.880084579491,4,1,3,0.05202266067434344,38
0.1.1.1.3,4724.830051977209,4713.515377273898,3730.2464999830686,4,1,0,0.010471846207099277,38
0.1.1.1.4,4740.572793489948,4703.0690650116285,3788.194867363827,4,1,0,0.10080483866094485,38
0,2820.100353299647,2818.0534298176635,0.0,0,0,1,0.006672195686219922,39
0.1,2184.625204250229,2166.2381160981354,231.59927771493656,1,0,1,0.039318157868022785,39
0.1.1,2434.501589301966,2379.2791347501766,1711.3566016372188,2,0,1,0.002384979034715303,39
0,816.9812821470571,803.0126732819188,0.0,0,1,3,1.0697844900670934e-5,40
0.1,1577.0098831321864,1560.898201866476,188.57295451937858,1,1,1,0.00014279724184382598,40
0,794.6918675771409,792.7765780909999,0.0,0,1,3,0.00018244934098125005,41
0.1,886.5718109948233,842.8251520178803,58.32701823735097,1,1,3,0.0025564631937319377,41
0.2,1024.922031463482,1007.4200290186911,206.6051969440456,1,0,2,0.00041884031494409464,41
0.3,4443.6779408221755,4386.131065004365,307.5218166110521,1,1,3,0.00014804180380671543,41
0.1.1,1104.4990108589664,1089.2917477932813,842.7684699731856,2,1,3,8.239712062575206e-12,41
0.3.1,2825.7745040438335,2796.6153742424635,2650.2527185922972,2,2,2,0.0005169795747571866,41
0.3.2,2883.1217562399543,2850.834111522829,2652.5747038544073,2,1,1,0.2514065259856979,41
0.1.1.1,3270.6633501967785,3187.8133226920336,1174.3951222811236,3,1,0,0.09967322669077615,41
0.3.1.1,2840.449921365099,2787.2489946808405,2763.700375078134,3,0,1,0.0004000447873484731,41
0.3.2.1,3085.4423898961245,3046.511372866061,2841.7574681075553,3,1,0,1.6386281954232731e-6,41
0.3.2.1.1,3691.9992191216884,3689.563851913166,2841.9388926833003,4,1,1,0.002797803703425001,41
0,396.865903890248,383.94494111600375,0.0,0,0,1,0.010922212156301308,42
0,1457.0734619870043,1425.9778699986628,0.0,0,0,3,0.0002774831599017404,43
0.1,1243.718080220685,1218.8867667371292,610.7106406211412,1,0,3,0.11630292752282535,43
0,737.2274291464825,730.123999453298,0.0,0,0,3,0.025446004477791433,44
0.1,659.8262383362476,634.6490278972857,223.37363422106682,1,0,3,0.1142549297033462,44
0,686.6239810342441,659.7925041429039,0.0,0,1,1,0.08499459414072598,45
0,110.5374758303673,99.11702113801533,0.0,0,1,2,5.0700745231199595e-8,46
0,497.515325720636,489.69545126073785,0.0,0,1,3,0.004371629765877144,47
0,915.8346276156146,913.7013835219134,0.0,0,0,1,0.11457680837417789,48
0,289.67307834733134,267.8313272162826,0.0,0,1,2,0.014944253726191943,49
0,1614.8155652922371,1608.9789166935852,0.0,0,1,2,0.00514786320665956,50
0.1,1984.9558762682886,1954.8012603661318,1210.4452640491654,1,1,0,0.017849129043234834,50
0.2,1862.8943799264796,1777.4847773516715,1513.2940534422803,1,1,1,0.2155731969283863,50
0,953.8901556987627,929.8347084252619,0.0,0,0,1,6.116437308731639e-6,51
0,687.6852973968529,683.104382971208,0.0,0,0,1,3.0661127656942314e-6,52
0,1910.9244227338409,1909.4395967149203,0.0,0,1,2,0.03083742550962311,53
0.1,1575.1644931815094,1555.311269246401,12.54464475676656,1,1,0,0.03638606704336561,53
0.2,873.5012902781192,844.308738342429,445.26019692530986,1,1,3,0.006071986213191378,53
0.1.1,1618.8165794202905,1605.618137567561,875.1046127200545,2,1,3,0.00020686979147132347,53
0.2.1,3896.1379169153656,3888.880713357988,797.2707268505976,2,1,0,0.0008729373536311279,53
0,904.2763917962354,873.1595250565301,0.0,0,1,1,0.17413679398507664,54
0.1,2607.5002287744874,2606.3956314005623,560.8431213213013,1,1,0,0.036905736817616865,54
0.1.1,4902.195622418932,4832.583435777968,1954.7318536109865,2,1,0,0.0005364721611801625,54
0.1.1.1,4330.222225377475,4326.507792127788,2453.734330883302,3,1,0,0.000425774113890612,54
0,1240.0526301595082,1238.4452003635897,0.0,0,0,1,0.002316278738421737,55
0,341.05525436241794,330.5662019769883,0.0,0,1,2,0.10781052717449274,56
0.1,1024.7785379216864,997.3176882037376,122.53955899553996,1,1,0,0.0489811422053487,56
0,1050.6267691297978,929.9940529901323,0.0,0,1,3,9.600267841467161e-5,57
0.1,1847.0441752931447,1840.6375675327797,138.09908568467853,1,0,3,0.18994205421431265,57
0.2,2251.4838340009505,2251.0548591225242,728.8422714969355,1,1,2,0.0006899968061223228,57
0.1.1,3033.1509375595965,3032.440707129642,657.4581080229345,2,0,0,0.04654950585639376,57
0.2.1,1409.616694972951,1364.1546507318158,731.0457218256252,2,1,1,0.0961747757586341,57
0.2.1.1,1507.9196618677367,1503.3794152485111,935.547625593617,3,1,0,0.06302588549390147,57
0.2.1.2,1051.469114402703,1011.9016369377383,1004.3810682074942,3,1,0,0.15365143235765844,57
0,1463.814436366732,1457.859882278152,0.0,0,0,1,0.0026451337559379494,58
0,1203.2933888809976,1200.2302322006244,0.0,0,0,3,1.4704032043232085e-5,59
0.1,1072.633663807006,996.2691946897874,26.39619381927437,1,0,1,0.008451448279525969,59
0.2,1511.1486399612377,1510.4246690947593,978.3256359227039,1,0,2,0.025507700428598665,59
0,1103.673931713473,1073.0306212714074,0.0,0,0,3,0.00010201617196726635,60
0.1,1466.885632257705,1443.0915558055722,1028.6603966162902,1,1,1,0.0007928579603320385,60
0,542.6475002530195,531.7474446802928,0.0,0,1,3,0.0009491265246740996,61
0.1,1195.6701469088039,1164.0712570090288,564.0701834987084,1,0,3,0.02149918374602769,61
0,529.2821969001875,520.3482062333746,0.0,0,0,3,0.007415717768652666,62
0,325.2343126268797,236.06756544509915,0.0,0,1,2,0.01817129772263156,63
0,750.7462751700597,750.5206241756891,0.0,0,0,2,4.115617146369517e-7,64
0,Inf,2238.8040313233905,0.0,0,0,1,1.1844843043886614e-6,65
0,780.8858043211587,777.0375527949652,0.0,0,0,2,0.09286841131461594,66
0.1,1562.4327705820074,1562.3985580161086,424.7095873636037,1,1,0,0.10287457357218792,66
0.1.1,4054.64006339876,4019.5960641364013,1178.757718171186,2,0,1,0.3306326349584057,66
0.1.1.1,1333.695406313473,1310.4079268453122,1261.916571375218,3,0,3,0.01078612148095489,66
0.1.1.2,4094.190923450286,4000.325725928575,2414.5015481634373,3,0,0,0.01971195350812244,66
0,938.7823348024873,921.9055353141214,0.0,0,1,2,0.00957530048729571,67
0.1,563.8467041719589,531.9575471783021,77.88795125225289,1,1,0,0.019965380690842294,67
0.2,2063.0619523810897,2024.1336137057106,105.28766892299971,1,0,1,0.061866908018615434,67
0.2.1,Inf,3636.2955662880836,1067.213728268954,2,1,3,1.1499078213932592e-5,67
0.2.1.1,2113.3964022088035,2029.8914457530582,1433.0976956223594,3,1,1,0.06318357625587993,67
0,1519.885985390032,1505.8941069349992,0.0,0,1,1,0.03994520920508408,68
0,107.32837203231153,72.06297034016814,0.0,0,0,3,8.958420404258906e-7,69
0,559.723389161876,507.46606692616353,0.0,0,1,3,0.15988923390637041,70
0.1,919.5093363059761,917.3674110271161,48.36894644550628,1,1,1,0.21429220821269268,70
0.1.1,1380.3397067711226,1375.139895990032,112.58838005390184,2,1,1,1.037603420767641e-7,70
0.1.2,647.7805389114279,635.1126673160782,347.6017623232827,2,1,1,0.19418831007921578,70
0.1.3,594.7220476803366,592.8212041698738,519.6054543453719,2,0,0,0.040507528299397084,70
0.1.4,955.1814140348299,940.400891326053,606.4738654856693,2,1,3,0.0023637121773610655,70
0.1.2.1,623.4607019663422,542.2226901251174,353.4824364036252,3,1,3,0.007882191933408066,70
0,507.3729867884926,504.1324607216602,0.0,0,1,3,0.013808457054448922,71
0,496.53921604061196,467.88951436092486,0.0,0,0,3,0.0008147829923109102,72
0.1,962.8545769578917,952.0945982129203,111.35859559261247,1,0,1,0.00016490397451553022,72
0,769.0512091277213,759.8662983709964,0.0,0,0,3,1.7848892868620645e-5,73
0.1,2395.2489339538943,2391.000156344501,253.09422334566224,1,0,2,0.010188748007693794,73
0.1.1,2259.6020113800796,2258.975305662065,2146.1541155600776,2,1,1,0.004005283006097176,73
0,1263.3817704619564,1248.5468040137425,0.0,0,1,1,0.0013317852771358894,74
0,1124.8756164109268,1119.249183222039,0.0,0,0,1,0.0039763616871858485,75
0,772.480688507387,767.6982376749772,0.0,0,0,3,0.018818629608874312,76
0,1195.188854883528,1184.6103236657173,0.0,0,1,2,0.003346827986611088,77
0.1,2006.9254698674167,1994.996066862493,346.9708863825492,1,1,0,0.0033202386041087627,77
0.2,507.689449907184,466.12638520167553,451.54548826289664,1,1,0,0.05089486868998067,77
0,699.1446521183365,623.5133338286817,0.0,0,1,2,0.0002692023426955381,78
0.1,83.78242768065986,79.99571792351438,9.297791129099192,1,1,1,0.0002568559676762388,78
0.2,428.91249213704185,393.272524052158,181.96150096375501,1,0,2,0.0002607889260370557,78
0.3,553.6434961907428,533.5766608973631,279.0859997421045,1,1,2,0.0012238402584157987,78
0.4,465.66238214295305,463.18197446905174,307.4706027877846,1,1,2,0.0050608585546644946,78
0.5,2709.3069256171293,2614.5735292582995,371.62736026063385,1,1,3,0.015304723487484634,78
0.6,2253.5127387489997,2248.575211804796,672.6432482692767,1,1,3,0.000256807239994846,78
0.4.1,808.2718059630546,781.7041416634663,358.07545614939295,2,2,2,0.00013396411307645668,78
0.4.2,1224.6762250457202,1169.3635798783062,542.6895608875578,2,2,1,0.0018984286923703732,78
0.5.1,Inf,2166.668817663809,497.3963981143183,2,0,3,0.21131591047953127,78
