pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid,simnum
0,709.9488617410218,677.895521821341,0.0,0,1,2,0.0009288715624632774,1,1
0,3271.269648535811,3270.4346243292803,0.0,0,1,1,0.0025329108786528755,2,2
0,193.53226102165772,184.72271895241934,0.0,0,0,3,0.012681790284052988,3,3
