pid,timesequenced,timediagnosed,timeinfected,generation,Fdegree,Gdegree,Hdegree,simid
0,226.49456384934226,179.92462083218547,0.0,0,0,1,0.0009175765166186933,1
0,839.2839279415975,837.8182796838944,0.0,0,0,3,0.008330049451369365,2
0.1,1613.4694880920795,1588.0488856452912,586.646322049871,1,0,3,1.0072007907664306e-5,2
0.1.1,991.0056444859881,979.8340580007581,610.721204482053,2,0,2,0.00019353668263306518,2
0,1547.5003434273572,1506.4715743547276,0.0,0,1,2,0.01680627273063303,3
0.1,1700.730282396061,1685.5999082283188,150.44795841026547,1,0,2,0.01849549078681924,3
0.2,3022.3590590789136,3010.495761994297,1338.3612418091056,1,0,3,6.520403706562107e-5,3
0.2.1,3122.396288564988,3104.3136122235455,1642.898387377326,2,0,3,0.12370365893650666,3
0.2.2,4516.406472156909,4497.510544073323,2577.8384161967547,2,0,2,0.00014794040084192898,3
0.2.1.1,5993.428946199635,5960.391405887555,2813.6675993087692,3,0,3,4.752410686885388e-6,3
0.2.1.2,4814.582941048599,4794.183819677423,2924.9661306575654,3,1,3,0.024375361164511968,3
0.2.1.1.1,Inf,6209.424965074268,3859.5774933884727,4,0,1,0.006248735129436902,3
0.2.1.1.2,6527.939501334487,6463.621540898383,5757.768120888045,4,0,3,0.0005621849620374533,3
0.2.1.2.1,4281.019588891801,4270.0651452345055,3091.200736392928,4,1,3,0.08498283209667214,3
0.2.1.2.2,3928.836059743724,3926.163046147867,3096.0174243700526,4,0,1,0.009510917139888612,3
0.2.1.2.3,3368.516636896418,3364.2366903926663,3207.893189266528,4,1,0,0.001340265290296212,3
0,228.18534323145175,183.75269814605994,0.0,0,1,3,0.0002796392387842679,4
0,195.94855670606327,190.65565849505595,0.0,0,1,3,1.5741677727773018e-5,5
0.1,3598.2984635941407,3540.844831932479,11.182887605934695,1,0,1,0.018800766623333718,5
0.1.1,230.40285750670378,205.92389481172867,12.939283371233197,2,1,1,0.022887934536661523,5
0,1313.4189517888387,1283.3909118346733,0.0,0,1,1,0.018149115629653465,6
0,238.28192374637138,189.7365265180751,0.0,0,0,2,0.004387565225387119,7
0,166.53336958503417,153.78888803589402,0.0,0,0,2,0.16744365364463035,8
0,57.215959108422595,39.95724121684273,0.0,0,0,3,0.001724669312884806,9
0,590.1748610130043,550.0059630786061,0.0,0,0,1,0.0007830705012221602,10
0,1473.3513152476476,1471.838778831569,0.0,0,0,2,0.009215731123911683,11
0,Inf,661.3911397858567,0.0,0,0,2,0.008470895937647157,12
0,1054.5275728631532,1041.0305353121091,0.0,0,0,1,0.00018398703140090402,13
0.1,124.65834144439228,101.60884818509842,58.22099102865207,1,1,3,0.0001855669406765964,13
0,4183.341430619045,4160.8118316181735,0.0,0,0,1,2.5470257215460435e-7,14
0.1,Inf,2434.617120678492,910.2303734829634,1,1,1,6.341628235247843e-6,14
0,53.194470296187006,10.897229398856535,0.0,0,0,2,0.009608156243251254,15
0,1357.1384839970601,1343.1597287812647,0.0,0,0,1,0.06851890738305556,16
0.1,3821.2726034018965,3776.763172815676,1554.58922148286,1,1,0,0.005140562418285527,16
0.1.1,Inf,2445.0525174239315,1675.6583881598085,2,1,0,0.00015498817873192173,16
0,2418.0438652694083,2414.3190650349625,0.0,0,1,2,0.0942692338046603,17
0.1,2451.496424830275,2437.09196168831,21.727518956586486,1,1,1,6.3975572064452365e-6,17
0,2920.7323973105304,2907.883732779992,0.0,0,0,2,0.0024896008683190883,18
0.1,Inf,2837.393428727354,1365.6306893404317,1,0,2,0.015226366388039685,18
0.2,3212.28243039331,3212.2536602959135,2568.342896099193,1,1,2,1.840903305342775e-5,18
0,1697.998859769852,1682.7655744766284,0.0,0,0,1,1.3239524721187988e-6,19
0,1356.1522756855434,1348.0170675049426,0.0,0,0,3,0.002300759972357489,20
0.1,747.1264094298019,671.5988133585867,592.2574326764234,1,0,3,6.798609665657792e-10,20
0,991.1597546966817,934.066392396777,0.0,0,1,1,0.043469848357679995,21
0.1,3466.1902907918807,3459.6414350787963,147.4004500093759,1,1,0,0.0009043661636465306,21
0.2,1108.0810502841246,1031.080362705302,511.9367298020673,1,1,0,0.011454363409535968,21
0.1.1,2920.3915211907442,2824.7244298415726,849.7618774160015,2,1,1,0.004057830076951256,21
0.1.2,2054.1939693125146,2026.9386721438048,2021.532452694866,2,1,0,0.005718931329867486,21
0.2.1,1308.186560138409,1307.350496477281,968.2450243144643,2,1,0,0.009875848243566422,21
0.1.1.1,2108.770505111973,2099.7618090203387,1868.7508019107697,3,1,0,0.0018314119616020404,21
0,2631.7687092458045,2620.346054621512,0.0,0,0,3,0.0020513644307859325,22
0,534.3771534210571,532.4445410888471,0.0,0,0,1,0.023401436473146856,23
0,2366.2396950670613,2320.4418435797143,0.0,0,2,3,0.004344275748704404,24
0.1,2295.2878615409923,2292.4195045136944,1464.8451452319077,1,1,0,8.958330777556225e-5,24
0.2,3456.9008125104842,3455.7159427121414,2075.334608628172,1,0,3,2.971261421215364e-5,24
0.3,4268.54378841385,4254.446243984454,2365.4107377663154,1,1,2,0.008834552043710862,24
0.2.1,3648.805359487087,3644.3317051327303,2446.189643333434,2,0,1,0.06117285058233052,24
0.2.2,3368.795129499591,3368.1472435106743,2563.1612476904993,2,0,3,0.060872955951209895,24
0.3.1,2757.9882938120863,2744.035517945194,2605.3637718241584,2,1,1,0.08760228588350066,24
0.3.2,4026.4450399148973,4011.5237393359903,3717.460699107319,2,1,3,0.00019718303278636504,24
0.3.3,5832.3548987942595,5828.0390516190155,4438.54267531469,2,0,2,0.028018599832063302,24
0.2.2.1,Inf,3836.4277541585147,2678.642396994477,3,1,3,0.00027834418842985373,24
